
[00:00:00.000 --> 00:00:03.480]  在上個禮拜
[00:00:03.480 --> 00:00:13.680]  我們在受苦節和復活節的時候紀念主
[00:00:13.680 --> 00:00:19.320]  我們感謝主耶穌所賜的救恩
[00:00:19.320 --> 00:00:26.420]  這是他第一次來到這個世界要做的事情
[00:00:26.420 --> 00:00:31.980]  但是主耶穌已經離開了這個世界
[00:00:31.980 --> 00:00:40.100]  回到天父的右邊時常為我們代禱
[00:00:40.100 --> 00:00:50.480]  但在聖經裏面主耶穌也曾經要求門徒去預備好
[00:00:50.480 --> 00:00:57.700]  去預備好迎接他再次來到這個世界
[00:00:57.700 --> 00:00:59.120]  同樣
[00:00:59.120 --> 00:01:04.360]  今天他要求我們要做好準備
[00:01:04.360 --> 00:01:09.860]  做一個忠心而有見識的僕人
[00:01:09.860 --> 00:01:19.100]  我們看《馬太福音》第24章44節和45節
[00:01:19.100 --> 00:01:20.580]  所以你們也要預備
[00:01:20.580 --> 00:01:23.900]  因為你們想不到的時候 人子就來了
[00:01:23.900 --> 00:01:26.220]  誰是忠心有見識的僕人
[00:01:26.220 --> 00:01:31.120]  為主人所派管理家裡的人按時分糧給他們呢?
[00:01:31.120 --> 00:01:37.000]  如果主耶穌再來的時候祂期望門徒是怎樣呢?
[00:01:37.000 --> 00:01:40.040]  主耶穌再來的時候祂期望門徒是怎樣呢?
[00:01:40.040 --> 00:01:46.400]  或者是主耶穌期望門徒做好什麼事呢?
[00:01:46.400 --> 00:01:50.360]  或者是主耶穌期望門徒能夠做好些什麼事情呢?
[00:01:50.360 --> 00:01:56.640]  第一件事我們要預備好主隨時會再回來
[00:01:56.640 --> 00:02:00.260]  第一件事我們要預備好主隨時會再回來
[00:02:00.260 --> 00:02:02.920]  主耶穌一定會回來
[00:02:02.920 --> 00:02:06.880]  但祂什麼時候回來我們不知道
[00:02:06.880 --> 00:02:13.680]  因為祂說你們想不到的時候 人子就來了
[00:02:13.680 --> 00:02:16.800]  但主耶穌再來的時候
[00:02:16.800 --> 00:02:26.440]  祂期望門徒可以隨時準備好去迎見祂
[00:02:26.440 --> 00:02:33.000]  好像一個僕人等候主人回來
[00:02:33.000 --> 00:02:38.000]  如果我們好像一個忠心的僕人一樣
[00:02:38.000 --> 00:02:42.680]  是忠於主人所託預先做好祂指定的事的話
[00:02:42.680 --> 00:02:47.680]  是忠於主人所託預先做好祂指定的事的話
[00:02:47.680 --> 00:02:50.840]  是忠於主人所託預先做好祂指定的事的話
[00:02:50.840 --> 00:02:57.560]  這樣的話 我們就可以得到主耶穌的讚賞
[00:02:57.560 --> 00:03:02.280]  因為祂在46、47節這樣講
[00:03:02.280 --> 00:03:06.400]  主人來到看見祂這樣行 那僕人就有福了
[00:03:06.400 --> 00:03:10.640]  我實在告訴你們 主人要佩哀祂管理一切所有的
[00:03:10.640 --> 00:03:15.640]  今天我打算稍後提出一個忠心的僕人行事的方式
[00:03:15.640 --> 00:03:19.680]  我等一下會提出一個忠心的僕人要行事的方法
[00:03:19.680 --> 00:03:24.720]  至於怎樣才是一個既忠心又有見識的僕人
[00:03:24.720 --> 00:03:28.480]  到底怎樣才是一個又忠心又有見識的僕人呢?
[00:03:28.480 --> 00:03:32.520]  我會在下一次再進一步講解這個經文
[00:03:32.520 --> 00:03:35.360]  我會在下一次再進一步講解這個經文
[00:03:35.360 --> 00:03:39.200]  詳細去探討怎樣做一個有見識的僕人
[00:03:39.200 --> 00:03:42.880]  詳細去探討怎樣做一個有見識的僕人
[00:03:42.880 --> 00:03:45.760]  我們知道長期的等候是很痛苦的
[00:03:45.760 --> 00:03:48.600]  我們知道長期的等候是很痛苦的
[00:03:48.600 --> 00:03:53.080]  舉個例子 父母等兒女回家是很痛苦的
[00:03:53.080 --> 00:03:58.280]  舉個例子 父母等兒女回家是很痛苦的事
[00:03:58.280 --> 00:04:02.000]  你是兒女的時候 你應該體會父母的心情
[00:04:02.000 --> 00:04:05.040]  你是兒女的話 你應該體會父母的心情
[00:04:05.040 --> 00:04:08.360]  特別是那些少女
[00:04:08.360 --> 00:04:11.560]  更加令父母擔心
[00:04:11.560 --> 00:04:15.080]  特別是那些犯了事的子女
[00:04:15.080 --> 00:04:18.520]  也會令父母等候的時候非常擔心
[00:04:18.520 --> 00:04:21.600]  特別是那些犯了事的子女
[00:04:21.600 --> 00:04:24.320]  父母等他們回家是特別讓他們擔心的
[00:04:24.320 --> 00:04:29.520]  但如果我們真正持守信仰的時候
[00:04:29.520 --> 00:04:34.040]  假如我們堅定相信主耶穌託付我們的話
[00:04:34.040 --> 00:04:37.960]  假如我們堅定相信主耶穌託付我們的話
[00:04:37.960 --> 00:04:40.760]  就要有心理準備
