
[00:00:00.000 --> 00:00:04.000]  我們再一次到主的面前禱告
[00:00:04.000 --> 00:00:21.000]  耶穌我求祢來搶奪我們的心
[00:00:21.000 --> 00:00:32.000]  讓我們的心完全歸祢
[00:00:32.000 --> 00:00:37.000]  耶穌求祢來吸引我
[00:00:37.000 --> 00:00:43.000]  我們就快跑跟隨祢
[00:00:43.000 --> 00:00:46.000]  求聖靈自由運行
[00:00:46.000 --> 00:00:53.000]  釋放所有被捆綁的心靈
[00:00:53.000 --> 00:00:57.000]  讓真理運行的時候
[00:00:57.000 --> 00:01:00.000]  讓每一個聽到真理的人
[00:01:00.000 --> 00:01:02.000]  得著自由
[00:01:02.000 --> 00:01:05.000]  歸向基督
[00:01:05.000 --> 00:01:08.000]  這樣祈禱完全靠賴
[00:01:08.000 --> 00:01:12.000]  基督耶穌得聖榮耀的名字祈求
[00:01:12.000 --> 00:01:14.000]  阿們
[00:01:14.000 --> 00:01:16.000]  我們來欣賞一下詩篇
[00:01:16.000 --> 00:01:21.000]  我今年會講最後應該是12月
[00:01:21.000 --> 00:01:23.000]  這個132篇
[00:01:23.000 --> 00:01:26.000]  我希望透過這幾次可以大家學習一下
[00:01:26.000 --> 00:01:28.000]  欣賞一下詩篇
[00:01:28.000 --> 00:01:31.000]  未進入這個欣賞詩篇之前
[00:01:31.000 --> 00:01:33.000]  想先讀一節經文
[00:01:33.000 --> 00:01:35.000]  去啟示錄那裡
[00:01:35.000 --> 00:01:39.000]  但你要夾住剛才的132篇
[00:01:39.000 --> 00:01:41.000]  可以再看
[00:01:41.000 --> 00:01:43.000]  啟示錄21章
[00:01:44.000 --> 00:01:46.000]  三節
[00:01:46.000 --> 00:01:48.000]  是一個
[00:01:48.000 --> 00:01:52.000]  我覺得很漂亮的圖畫
[00:01:52.000 --> 00:01:56.000]  是啟示錄21章三節
[00:01:56.000 --> 00:02:00.000]  我們用一個溫柔的聲音去讀
[00:02:00.000 --> 00:02:01.000]  21章
[00:02:01.000 --> 00:02:03.000]  啟示錄是最後的卷書
[00:02:03.000 --> 00:02:04.000]  新約裡面
[00:02:04.000 --> 00:02:05.000]  21章
[00:02:05.000 --> 00:02:07.000]  第三節
[00:02:07.000 --> 00:02:12.000]  我們溫柔地讀
[00:02:12.000 --> 00:02:17.000]  我聽見有大聲音從寶座出來說
[00:02:17.000 --> 00:02:21.000]  看那神的帳幕在人間
[00:02:21.000 --> 00:02:23.000]  他要與人同住
[00:02:23.000 --> 00:02:26.000]  他們要作他的子民
[00:02:26.000 --> 00:02:29.000]  神要親自與他們同在
[00:02:29.000 --> 00:02:31.000]  作他們的神
[00:02:31.000 --> 00:02:33.000]  夠了
[00:02:33.000 --> 00:02:35.000]  後面那些還沒來
[00:02:35.000 --> 00:02:37.000]  不過你慢慢有機會再讀這裡
[00:02:37.000 --> 00:02:42.000]  其實在接下來分享的132篇裡面
[00:02:42.000 --> 00:02:44.000]  都會提到很多神的居所
[00:02:44.000 --> 00:02:45.000]  同在
[00:02:45.000 --> 00:02:46.000]  約會
[00:02:46.000 --> 00:02:48.000]  寶座的事情
[00:02:48.000 --> 00:02:51.000]  其實我不知道如果有人問你
[00:02:51.000 --> 00:02:55.000]  請問你神永恆的心意是什麼
[00:02:55.000 --> 00:02:58.000]  我不知道你心裡的答案是什麼
[00:02:58.000 --> 00:03:02.000]  在暑假我們都學習了一些屬靈的事的時候
[00:03:02.000 --> 00:03:06.000]  我覺得我會回答這個答案
[00:03:06.000 --> 00:03:08.000]  我願意回答這個答案
[00:03:08.000 --> 00:03:12.000]  原來神永恆的心意就是要與人同在
[00:03:12.000 --> 00:03:14.000]  或者與人同住
[00:03:14.000 --> 00:03:17.000]  所以他必須解決罪的問題
[00:03:17.000 --> 00:03:21.000]  罪本身不是很重要的東西
[00:03:21.000 --> 00:03:24.000]  不過因為罪就是隔絕了
[00:03:24.000 --> 00:03:26.000]  神和我們住在一起
[00:03:26.000 --> 00:03:28.000]  所以必須解決它
[00:03:28.000 --> 00:03:31.000]  所以我希望今天我們都思想這件事
[00:03:31.000 --> 00:03:33.000]  神同在是什麼事
[00:03:33.000 --> 00:03:35.000]  但神永恆的心意就是說
[00:03:35.000 --> 00:03:38.000]  祂要永遠和我們在一起
[00:03:38.000 --> 00:03:39.000]  而且剛才的第三個字就是說
[00:03:39.000 --> 00:03:42.000]  祂要作我們的神
[00:03:42.000 --> 00:03:44.000]  我們要作祂的民
[00:03:44.000 --> 00:03:47.000]  我不知道我們作為基督徒的時候
[00:03:47.000 --> 00:03:48.000]  我不知道在你生命裡面
[00:03:48.000 --> 00:03:49.000]  你心底深處
[00:03:49.000 --> 00:03:53.000]  這幅是不是你永恆地追尋的一個目標呢
[00:03:53.000 --> 00:03:55.000]  是不是你在打拼世界的時候
[00:03:55.000 --> 00:03:57.000]  你朝著的目標呢
[00:03:57.000 --> 00:03:59.000]  甚至你在跟別人傳福音的時候
[00:03:59.000 --> 00:04:01.000]  你是不是想說
[00:04:01.000 --> 00:04:02.000]  很棒啊這幅圖畫
[00:04:02.000 --> 00:04:04.000]  我們一起朝著
[00:04:04.000 --> 00:04:05.000]  所以我們要努力傳福音
[00:04:05.000 --> 00:04:07.000]  因為我們都想祂們知道
[00:04:07.000 --> 00:04:10.000]  並且神很想和祂們一起住
[00:04:10.000 --> 00:04:13.000]  是我們一群人朝著這個目標
