
[00:00:00.000 --> 00:00:06.000]  弟兄姊妹們,主內平安!
[00:00:06.000 --> 00:00:13.000]  感謝神帶領我們進入到第二天的聚會中,
[00:00:13.000 --> 00:00:21.000]  也相信在短短的一天,一天多的中間,
[00:00:21.000 --> 00:00:28.000]  上帝已經透過不同的講源,更重要的藉著祂的靈,藉著祂的話,
[00:00:28.000 --> 00:00:33.000]  在我們每一個人的心中,我們的生命當中來工作。
[00:00:33.000 --> 00:00:37.000]  透過不同的講源,當然更加重要就是透過神自己的靈,
[00:00:37.000 --> 00:00:40.000]  神自己的話語,在我們的生命當中有重要的工作。
[00:00:40.000 --> 00:00:43.000]  在這九堂的當中,神特別帶領我,
[00:00:43.000 --> 00:00:49.000]  願意從單一裡書跟大家一起來思想信息。
[00:00:49.000 --> 00:00:52.000]  在我負責的這九堂的講道當中,
[00:00:52.000 --> 00:00:56.000]  神特別帶領我藉著單一裡和單一裡書跟大家分享信息。
[00:00:56.000 --> 00:01:03.000]  這九個信息的主題就是「單一裡神在異邦的器皿」。
[00:01:03.000 --> 00:01:07.000]  九堂的主題是「單一裡神在異邦的器皿」。
[00:01:07.000 --> 00:01:11.000]  我希望到了第九堂結束的時候,
[00:01:11.000 --> 00:01:20.000]  我們不單單是看到單一裡怎麼樣成為神在異邦所使用的器皿,
[00:01:20.000 --> 00:01:29.000]  我們也能夠思想今天神要怎麼樣同樣的使用你,
[00:01:29.000 --> 00:01:33.000]  且使用我在我們個別的崗位上。
[00:01:33.000 --> 00:01:44.000]  神在異邦的器皿。
[00:01:44.000 --> 00:01:54.000]  今天早晨的時間,我們要把我們的注意力放在單一裡書的第二章。
[00:01:54.000 --> 00:01:58.000]  或許在比較詳細分享信息之前,
[00:01:58.000 --> 00:02:02.000]  我可以做幾個初步的觀察以及解釋。
[00:02:02.000 --> 00:02:06.000]  在詳細講解經文信息之前,我想分享幾個初步的觀察。
[00:02:06.000 --> 00:02:08.000]  若是你帶著你自己的聖經,
[00:02:08.000 --> 00:02:13.000]  無論是帶著傳統的聖經或者帶著你的手機來,
[00:02:13.000 --> 00:02:25.000]  在第二章的一開始就告訴我們尼布賈尼撒在位的第二年。
[00:02:25.000 --> 00:02:30.000]  你會看到第二章一開始說尼布賈尼撒在位第二年。
[00:02:30.000 --> 00:02:34.000]  我相信有不少人讀到這裡就會有一點困惑。
