
[00:00:00.000 --> 00:00:01.900]  弟兄姊妹,新年快樂
[00:00:01.900 --> 00:00:06.300]  我深信在新幾十年
[00:00:06.300 --> 00:00:13.300]  當我們說要和上帝、要和人結連
[00:00:13.300 --> 00:00:17.300]  第一件事令我想起的是溝通
[00:00:17.300 --> 00:00:22.400]  溝通其實對於我們每一個人
[00:00:22.400 --> 00:00:25.300]  無論在我們的社交
[00:00:25.300 --> 00:00:28.500]  又或者我們的自我形象
[00:00:28.500 --> 00:00:31.900]  甚至有些人說在我們的身心發展
[00:00:31.900 --> 00:00:34.100]  其實都是很重要的
[00:00:34.100 --> 00:00:37.300]  有一位很權威的心理治療師
[00:00:37.300 --> 00:00:40.700]  他叫做薩提爾
[00:00:40.700 --> 00:00:42.800]  他曾經這樣說過
[00:00:42.800 --> 00:00:48.000]  他說人其實不可以不和人溝通
[00:00:48.000 --> 00:00:51.000]  不用專家說我們都知道
[00:00:51.000 --> 00:00:52.800]  但如果我們去想想
[00:00:52.800 --> 00:00:55.200]  究竟在溝通當中
[00:00:55.200 --> 00:00:59.400]  有什麼主要的元素在其中呢?
[00:00:59.400 --> 00:01:05.400]  當然會有發出訊息那邊
[00:01:05.400 --> 00:01:10.000]  然後反過來就是接收那個
[00:01:10.000 --> 00:01:14.400]  中間當然有那個訊息的內容
[00:01:14.400 --> 00:01:17.400]  甚至你是用什麼渠道
[00:01:17.400 --> 00:01:20.600]  來將這個訊息去傳遞
[00:01:20.600 --> 00:01:22.600]  這些都是基本的
[00:01:22.600 --> 00:01:26.600]  但對於接收訊息的人來說
[00:01:26.600 --> 00:01:29.400]  我深信他能不能夠收得到
[00:01:29.400 --> 00:01:31.600]  又或者聽不聽得入呢?
[00:01:31.600 --> 00:01:33.600]  如果你去撇除了一些
[00:01:33.600 --> 00:01:38.600]  他不能夠控制的一些外在元素的話
[00:01:38.600 --> 00:01:43.100]  其實究竟他有沒有做好準備去聽
[00:01:43.100 --> 00:01:45.600]  又或者他有沒有用心聽
[00:01:45.600 --> 00:01:48.400]  其實是很重要的
[00:01:48.400 --> 00:01:50.600]  一個很簡單的例子
[00:01:50.600 --> 00:01:52.600]  有很多時候
[00:01:52.600 --> 00:01:54.600]  特別在節期的時候
[00:01:54.600 --> 00:01:57.600]  我們都會在街上
[00:01:57.600 --> 00:02:00.600]  我們都會見到一些廣告
[00:02:00.600 --> 00:02:02.600]  或者收聽到一些廣告
[00:02:02.600 --> 00:02:05.600]  叫人不要走後駕駛
[00:02:05.600 --> 00:02:08.600]  但是在大時大節
[00:02:08.600 --> 00:02:10.600]  往往總是有人不聽的
[00:02:10.600 --> 00:02:13.600]  結果就釀成交通意外
[00:02:13.600 --> 00:02:15.600]  不過反過來
[00:02:15.600 --> 00:02:17.600]  如果有一個人說
[00:02:17.600 --> 00:02:20.600]  我今天要去面試了
[00:02:20.600 --> 00:02:25.600]  無論你是在學校去面試也好
[00:02:25.600 --> 00:02:28.600]  你要找工作去面試也好
[00:02:28.600 --> 00:02:30.600]  你一定非常留心
[00:02:30.600 --> 00:02:34.600]  究竟對面要問你問題的人
[00:02:34.600 --> 00:02:36.600]  其實是怎樣問
[00:02:36.600 --> 00:02:38.600]  問些什麼
[00:02:38.600 --> 00:02:41.600]  你一定會很專心聽的
[00:02:41.600 --> 00:02:44.600]  今天我要和大家分享的
[00:02:44.600 --> 00:02:46.600]  正如剛才主席所說
[00:02:46.600 --> 00:02:49.600]  開始我們會講希伯來書
