
[00:00:00.000 --> 00:00:02.820]  今天跟大家分享的一個題目是
[00:00:02.820 --> 00:00:04.100]  一生保障
[00:00:04.100 --> 00:00:06.660]  在《二創下書記》第四十六章
[00:00:06.660 --> 00:00:10.500]  最近和一些班員吃飯的時候
[00:00:10.500 --> 00:00:12.540]  有一個班員去旅行
[00:00:12.540 --> 00:00:14.340]  遺失了行李
[00:00:14.340 --> 00:00:16.900]  已經回來過幾個月
[00:00:16.900 --> 00:00:18.180]  到今天為止
[00:00:18.180 --> 00:00:19.460]  這個行李
[00:00:19.460 --> 00:00:21.500]  本來應該帶到巴黎
[00:00:21.500 --> 00:00:23.560]  但巴黎不見了
[00:00:23.560 --> 00:00:25.080]  到今天為止
[00:00:25.080 --> 00:00:27.140]  都是音訊全無
[00:00:27.640 --> 00:00:31.220]  有個班員就說其實你可以放一隻
[00:00:31.220 --> 00:00:33.280]  智能藍牙的追蹤器
[00:00:33.280 --> 00:00:35.320]  在行李的裏面
[00:00:35.320 --> 00:00:37.880]  不會遺失,因為你會追蹤到
[00:00:37.880 --> 00:00:42.480]  當然有些姐妹就開玩笑,這個追蹤器應該放在丈夫的
[00:00:42.480 --> 00:00:44.800]  西裝袋的裏面,以致
[00:00:44.800 --> 00:00:47.360]  你可以隨時追蹤到他
[00:00:47.360 --> 00:00:52.720]  今天很多科技實在帶給我們有很多安全的保障
[00:00:54.000 --> 00:00:57.840]  未來會有長洲的太平清朝
[00:00:57.840 --> 00:01:02.440]  人們湧進去的時間當然是一個旅遊活動或者商業活動
[00:01:02.440 --> 00:01:05.260]  但是很多人都會買平安包
[00:01:05.260 --> 00:01:09.100]  是不是吃得平安包越多就越平安呢
[00:01:09.100 --> 00:01:11.660]  是不是買得越多就越平安呢
[00:01:11.660 --> 00:01:14.480]  能夠得到平安的保障呢
[00:01:14.480 --> 00:01:17.040]  聖經裏面告訴我們
[00:01:17.040 --> 00:01:22.160]  得平安是要認識神,就得平安,福氣也必臨到你
[00:01:23.180 --> 00:01:29.320]  今天我們會有十三節的經文,我們一齊讀出這一段經文
[00:01:29.320 --> 00:01:33.420]  彼勒屈身彼波彎腰
[00:01:33.420 --> 00:01:37.520]  巴比倫的偶像,駝在獸和牲畜上
[00:01:37.520 --> 00:01:41.100]  他們所抬的如今成鳥重駝
[00:01:41.100 --> 00:01:43.400]  使牲畜疲乏
[00:01:43.400 --> 00:01:47.760]  都一同彎腰屈身不能保存重駝
[00:01:47.760 --> 00:01:49.800]  自己倒被老去
[00:01:50.320 --> 00:01:54.420]  阿國家以色列家一切如盛的要聽我言
[00:01:54.420 --> 00:01:56.460]  你們自從生下
[00:01:56.460 --> 00:01:58.000]  就蒙我補抱
[00:01:58.000 --> 00:02:01.080]  自從出胎變蒙我懷差
[00:02:01.080 --> 00:02:03.120]  直到你們年老
