
[00:00:00.000 --> 00:00:05.080]  我不知大家在世上最關心的事是甚麼
[00:00:05.080 --> 00:00:07.920]  我相信今天大部份弟兄姊妹
[00:00:07.920 --> 00:00:11.600]  都不會為柴米油鹽擔憂
[00:00:11.600 --> 00:00:14.960]  我們最關心的是甚麼呢?
[00:00:14.960 --> 00:00:19.400]  會否是自己的工作、職業
[00:00:19.400 --> 00:00:23.040]  會否關心何時買屋買屋好呢?
[00:00:23.040 --> 00:00:25.360]  或者何時退休好呢?
[00:00:25.360 --> 00:00:27.720]  下輩子換架車呢?
[00:00:27.720 --> 00:00:29.760]  換架甚麼車好些呢?
[00:00:29.760 --> 00:00:33.440]  電車還是混合車好呢?
[00:00:33.440 --> 00:00:37.120]  有些年輕兒女的家長
[00:00:37.120 --> 00:00:39.560]  可能要考慮搬到哪裏住
[00:00:39.560 --> 00:00:44.880]  要考慮兒女的教育問題
[00:00:44.880 --> 00:00:46.920]  又或者已經退休的
[00:00:46.920 --> 00:00:53.320]  可能考慮下次去旅行去哪裏好呢?
[00:00:53.320 --> 00:00:56.640]  我有位已經退休的朋友
[00:00:56.640 --> 00:00:59.440]  我不知道他自己是否喜歡去旅行
[00:00:59.440 --> 00:01:01.240]  但他太太是很喜歡去旅行的
[00:01:01.240 --> 00:01:06.040]  時時約一班志同道合的朋友到處去
[00:01:06.040 --> 00:01:07.520]  環遊世界
[00:01:07.520 --> 00:01:09.440]  去年去了Greenland
[00:01:09.440 --> 00:01:13.200]  今年剛剛去完印度回來
[00:01:13.200 --> 00:01:18.640]  這些事可能是我們現代人關心的事
[00:01:18.640 --> 00:01:21.600]  但在主耶穌的時代
[00:01:21.600 --> 00:01:24.080]  猶太人特別關心的事
[00:01:24.080 --> 00:01:27.400]  可能是天國的降臨
[00:01:27.400 --> 00:01:29.760]  我們怎知道呢?
[00:01:29.760 --> 00:01:33.760]  在《馬可福音》一章十四到十五節
[00:01:33.760 --> 00:01:38.080]  記載了主耶穌一出來傳道的時候
[00:01:38.080 --> 00:01:39.840]  祂是這樣說的
[00:01:39.840 --> 00:01:45.640]  耶穌來到加利利村講「上帝的福音」
[00:01:45.640 --> 00:01:47.760]  甚麼是「上帝的福音」呢?
[00:01:47.760 --> 00:01:52.480]  「日期滿了,上帝的國近了」
[00:01:52.480 --> 00:01:57.000]  「你們要悔改順福音」
[00:01:57.000 --> 00:01:59.480]  很多時候我讀到這節經文的時候
[00:01:59.480 --> 00:02:02.200]  我就在想
[00:02:02.200 --> 00:02:04.680]  「既然我效法主耶穌」
[00:02:04.680 --> 00:02:08.160]  「我走到人多的地方,去到市中心」
[00:02:08.160 --> 00:02:11.400]  「站在那裡,帶著過音機大聲說」
[00:02:11.400 --> 00:02:16.480]  「天國近了,你們要悔改順福音」
[00:02:16.480 --> 00:02:21.400]  大家認為這樣傳福音會不會有果效呢?
[00:02:21.400 --> 00:02:25.880]  會不會吸引到很多人來聽福音呢?
[00:02:25.880 --> 00:02:28.280]  我相信不會有果效
[00:02:28.280 --> 00:02:31.280]  還可能惹人討厭
[00:02:31.280 --> 00:02:33.120]  在耶穌的時代
[00:02:33.120 --> 00:02:36.480]  這個方法似乎很有效果
[00:02:36.480 --> 00:02:39.280]  耶穌就是這樣傳福音的
[00:02:39.280 --> 00:02:42.640]  招收了很多門徒跟隨祂
[00:02:42.640 --> 00:02:44.640]  在《馬太福音》第五章
