
[00:00:00.000 --> 00:00:03.000]  在致敬道之前,我們同心來祈禱
[00:00:03.000 --> 00:00:07.000]  神是獨生兒子,耶穌基督
[00:00:07.000 --> 00:00:12.000]  願祢來施恩,可憐這個罪人
[00:00:12.000 --> 00:00:16.000]  願祢主耶穌基督的寶血,來做一次潔淨
[00:00:16.000 --> 00:00:22.000]  願祢來公聽主的聖言,祢聖靈開啟我們的心竅
[00:00:22.000 --> 00:00:26.000]  讓我們能夠得著智慧
[00:00:26.000 --> 00:00:32.000]  將以下環節交託:仰望,願神保守,恩領
[00:00:32.000 --> 00:00:37.000]  祈禱,禮奉耶穌基督聖名,祈給阿門
[00:00:37.000 --> 00:00:49.000]  隨著科技的進步,隨著時間的進程
[00:00:50.000 --> 00:00:56.000]  理應我們活在地球上更加安全
[00:00:56.000 --> 00:01:00.000]  但事實卻並非如此
[00:01:00.000 --> 00:01:06.000]  我們發覺,我們處身一個高風險的社會
[00:01:06.000 --> 00:01:10.000]  世衛組織、世界網頁都可以說
[00:01:10.000 --> 00:01:19.000]  2017年是充滿衝突、自然災害、疫情造成突發事件的一年
[00:01:21.000 --> 00:01:32.000]  從摩蘇爾(伊拉克北部)到孟加拉(東南部)
[00:01:32.000 --> 00:01:40.000]  從霍亂到鼠疫,不斷發生不同的事件
[00:01:40.000 --> 00:01:45.000]  如果我們不加以防範、預防和及時應對
[00:01:45.000 --> 00:01:48.000]  2018年將會更糟糕
[00:01:48.000 --> 00:01:52.000]  而事實,2018年所發生的事
[00:01:52.000 --> 00:01:58.000]  卻是我們目不暇給、一見還有一見
[00:01:58.000 --> 00:02:02.000]  很多危險是人可以預防的
[00:02:02.000 --> 00:02:05.000]  通常都是人為
[00:02:05.000 --> 00:02:10.000]  我們沒有想過流行感冒、流行性感冒、打一個噴嚏
[00:02:10.000 --> 00:02:17.000]  或者一場嚴重的流感,可以達到數百萬人死亡
[00:02:17.000 --> 00:02:24.000]  摧毀一個百分點以上全球的國內生產總值
[00:02:24.000 --> 00:02:28.000]  在19世紀到20世紀
[00:02:28.000 --> 00:02:36.000]  西班牙流行感冒,導致多達一億人死亡
[00:02:36.000 --> 00:02:45.000]  一個流感的疫情,在一百年裏面,一億人死亡
[00:02:45.000 --> 00:02:57.000]  以前我看書,講到霍亂、白喉、痢疾、腦膜炎、黃葉病
[00:02:57.000 --> 00:03:02.000]  他都介紹一些圖案、圖片
[00:03:02.000 --> 00:03:05.000]  不過最後一句說話都是
[00:03:05.000 --> 00:03:09.000]  這些病症已經絕種、已經絕跡
[00:03:09.000 --> 00:03:12.000]  因為已經找到疫苗
[00:03:12.000 --> 00:03:21.000]  但怎知這些疫症重新走回舞台的前面
[00:03:21.000 --> 00:03:29.000]  這段時間,接觸一些年輕人
[00:03:29.000 --> 00:03:31.000]  我們做婚前輔導
[00:03:31.000 --> 00:03:35.000]  或者跟一些已經結婚很久的,跟他們聊天
[00:03:35.000 --> 00:03:42.000]  問他們為何還未有小朋友呢?他們的答案是甚麼呢?
[00:03:42.000 --> 00:03:45.000]  他們說地球是很危險的
[00:03:45.000 --> 00:03:51.000]  他們說養一個小朋友,很怪他們養不起
[00:03:51.000 --> 00:03:55.000]  他們說養一個小朋友要四百萬
[00:03:55.000 --> 00:03:58.000]  這些是廣告所講的,四百萬
[00:03:58.000 --> 00:04:06.000]  我都懷疑我現在的生活,借四百萬已經說是借去,實在只是講一個事情
[00:04:06.000 --> 00:04:11.000]  是讓我們明白這是一件不容易的事
[00:04:11.000 --> 00:04:20.000]  主席讀了聖經,讓我看到耶穌和門徒渡過一個難忘的海上旅程
[00:04:20.000 --> 00:04:25.000]  很多人讀了聖經,甚至是我初信的時間
[00:04:25.000 --> 00:04:31.000]  我在說,門徒當中彼得、約翰、雅各
[00:04:31.000 --> 00:04:37.000]  他們借去未蒙召之前,他們是甚麼職業呢?
[00:04:37.000 --> 00:04:39.000]  漁夫來的嘛
[00:04:39.000 --> 00:04:46.000]  我說為甚麼他們不會不知道大風浪將會來到
[00:04:46.000 --> 00:04:49.000]  為甚麼還要借去坐船出海
[00:04:49.000 --> 00:04:57.000]  他們借去,要耶穌出來救場,要有一幕平靜風浪
[00:04:57.000 --> 00:05:04.000]  在這段經文,我們要看到人生需要面對的旅程裏面
[00:05:04.000 --> 00:05:09.000]  有兩個基本的信念,就是聖經教導我們
[00:05:09.000 --> 00:05:13.000]  人生是充滿了風浪
[00:05:13.000 --> 00:05:17.000]  正如引賢所講,我們要有好的準備
[00:05:17.000 --> 00:05:24.000]  看回地形,嘉利利湖,其實是湖,不是海
[00:05:24.000 --> 00:05:32.000]  是四面環山,加上湖面的水平線
[00:05:32.000 --> 00:05:39.000]  湖面的水平線是平常的280米以下
[00:05:39.000 --> 00:05:44.000]  就好像一個洞一樣,周圍是山,中間凹陷了下去
[00:05:44.000 --> 00:05:49.000]  所以當風在兩岸刮起的時候
[00:05:49.000 --> 00:05:56.000]  突然間就可以因為地勢的緣故,令到風加劇
[00:05:56.000 --> 00:06:00.000]  突然可以形成風暴
[00:06:00.000 --> 00:06:08.000]  加上周圍四面環山的時候,溫差和氣壓
[00:06:08.000 --> 00:06:14.000]  突然間可以捲起10級的大風
[00:06:14.000 --> 00:06:20.000]  我們可以講5月至10月是香港打風的季節
[00:06:20.000 --> 00:06:27.000]  每當颱風進入800海里的時間,我們會掛1號風級
[00:06:27.000 --> 00:06:32.000]  即是表示熱帶氣旋將會接近香港
[00:06:32.000 --> 00:06:39.000]  如果是400海里就掛多少號呢?400海里就掛3號
[00:06:39.000 --> 00:06:44.000]  然後100海里就掛8號風球
[00:06:44.000 --> 00:06:50.000]  當門徒有東西來坐船出發的時候
[00:06:50.000 --> 00:06:55.000]  在沒有預告或突然而來,即刻掛起8號風球
[00:06:55.000 --> 00:06:59.000]  即是沒有1號,沒有3號,突然間就8號
[00:06:59.000 --> 00:07:06.000]  門徒都來一個措手不及的情景
[00:07:06.000 --> 00:07:13.000]  我們可以想像2017年掛了3次的8號風球
[00:07:13.000 --> 00:07:15.000]  不知道大家記不記得
[00:07:15.000 --> 00:07:19.000]  強烈熱帶風暴是苗柏
