
[00:00:00.000 --> 00:00:02.000]  我們做一個禱告
[00:00:02.000 --> 00:00:05.300]  主耶穌,我們真的求祢幫助我們
[00:00:05.300 --> 00:00:07.300]  在我們的生命中體會
[00:00:07.300 --> 00:00:10.000]  甚麼叫做「因典作王」
[00:00:10.000 --> 00:00:14.500]  在我們的生命之中體會基督生命的那份豐富
[00:00:14.500 --> 00:00:17.000]  今天一段聽到的時間
[00:00:17.000 --> 00:00:18.600]  求祢對我們說話
[00:00:18.600 --> 00:00:21.000]  禱告奉耶穌基督名
[00:00:21.000 --> 00:00:25.000]  好,我們就說這節的經文
[00:00:25.000 --> 00:00:28.000]  文章十二到耶一節是羅馬
[00:00:28.000 --> 00:00:33.000]  寶羅的任何一卷書都有難解的地方
[00:00:33.000 --> 00:00:35.000]  這個十二節到耶一節
[00:00:35.000 --> 00:00:38.000]  就可以說是難解中的難解
[00:00:38.000 --> 00:00:40.000]  這段經文不但難解
[00:00:40.000 --> 00:00:46.000]  而且在教義上是很重要的一段經文
[00:00:46.000 --> 00:00:48.000]  我們所謂
[00:00:48.000 --> 00:00:51.000]  可能你聽過所謂賢序這個問題
[00:00:51.000 --> 00:00:53.000]  很多時候歸到這一段經文
[00:00:53.000 --> 00:00:55.000]  如何去了解
[00:00:55.000 --> 00:00:56.000]  剛才讀的時候
[00:00:56.000 --> 00:00:58.000]  我不知道你是否感受到
[00:00:58.000 --> 00:01:02.000]  好像一人、眾人、多人、一人、一、一、一
[00:01:02.000 --> 00:01:04.000]  很多個一、很多個眾
[00:01:04.000 --> 00:01:07.000]  到底寶羅在說甚麼呢
[00:01:07.000 --> 00:01:12.000]  這段經文大概可以分開三部份
[00:01:12.000 --> 00:01:17.000]  細節我們稍後會看看
[00:01:17.000 --> 00:01:19.000]  無論細節是怎樣
[00:01:19.000 --> 00:01:21.000]  大概輪廓是知道的
[00:01:21.000 --> 00:01:23.000]  這段經文是說兩個人
[00:01:23.000 --> 00:01:25.000]  一個叫亞當,一個叫耶穌
[00:01:25.000 --> 00:01:27.000]  對寶羅來說
