
[00:00:00.000 --> 00:00:02.800]  我相信如果你不是第一次來匯點
[00:00:02.800 --> 00:00:05.440]  你知道我們現在在討論一個很熱門的題目
[00:00:05.440 --> 00:00:08.320]  是Facebook的臉書
[00:00:08.320 --> 00:00:10.560]  上市了幾個月
[00:00:10.560 --> 00:00:13.640]  當然一上市之後不斷插水
[00:00:13.640 --> 00:00:16.280]  但是無可否認這個臉書
[00:00:16.280 --> 00:00:22.160]  它是一個不斷在成長當中的賺錢機器
[00:00:22.160 --> 00:00:24.640]  上一次我開始和大家分享的時候
[00:00:24.640 --> 00:00:30.880]  8.45 Billion 8億5千萬的用戶
[00:00:30.880 --> 00:00:33.280]  最近昨天我再查一查
[00:00:33.280 --> 00:00:36.600]  有些人估計已經是9億5千萬
[00:00:36.600 --> 00:00:38.840]  很快就到10億了
[00:00:38.840 --> 00:00:43.440]  這是一個發展得很快的社交網站
[00:00:43.440 --> 00:00:44.960]  為什麼發展得這麼快呢?
[00:00:44.960 --> 00:00:46.480]  其中一件事我相信
[00:00:46.480 --> 00:00:49.000]  我講到臉書傳奇
[00:00:49.000 --> 00:00:55.960]  臉書其實是代表著言論自由的一個平台
[00:00:55.960 --> 00:00:59.760]  當你開了一個臉書的用戶之後
[00:00:59.760 --> 00:01:03.640]  你可以隨意將自己喜歡的照片、短片
[00:01:03.640 --> 00:01:06.040]  自己的想法、感受
[00:01:06.040 --> 00:01:09.320]  甚至對社會的不滿、批評
[00:01:09.320 --> 00:01:11.760]  甚至如果你覺得社會有很多問題
[00:01:11.760 --> 00:01:12.840]  得啖笑
[00:01:12.840 --> 00:01:15.280]  諷刺一下社會的時弊
[00:01:15.280 --> 00:01:16.680]  絕對沒有問題的
[00:01:16.680 --> 00:01:20.240]  你可以隨意地放在自己的臉書上
[00:01:20.240 --> 00:01:22.080]  沒有人會禁止你
[00:01:22.080 --> 00:01:26.000]  所以越來越多人喜歡這樣的做法
[00:01:26.000 --> 00:01:28.720]  原來人就是這樣的傾向
[00:01:28.720 --> 00:01:34.160]  我們渴求可以隨意去發揮自己
[00:01:34.160 --> 00:01:35.480]  表達自我
[00:01:35.480 --> 00:01:37.120]  這樣的自由
[00:01:37.120 --> 00:01:38.920]  有些人公開不敢做
[00:01:38.920 --> 00:01:41.000]  在臉書上可以做到這些事情
[00:01:41.000 --> 00:01:41.920]  想做就做
[00:01:41.920 --> 00:01:42.880]  想講就講
[00:01:42.880 --> 00:01:49.600]  給我們一種生活在一個很自由的環境裏面的感覺
[00:01:49.600 --> 00:01:53.600]  有些自由的氣息透過這個活動流露出來
[00:01:53.600 --> 00:01:57.520]  好像我們不需要受任何東西的限制
[00:01:57.520 --> 00:01:59.800]  你上臉書的時候是不是這樣?
[00:01:59.800 --> 00:02:01.600]  上臉書的時候是不是這樣?
[00:02:01.600 --> 00:02:04.600]  但是很奇怪的
[00:02:04.600 --> 00:02:07.360]  當我們講到教會的時候
[00:02:07.360 --> 00:02:09.480]  特別講到要信耶穌
[00:02:09.480 --> 00:02:12.560]  不知為何總是給我們一個感覺
[00:02:12.560 --> 00:02:13.520]  信耶穌?
[00:02:13.520 --> 00:02:14.640]  信耶穌之後
[00:02:14.640 --> 00:02:17.400]  好像有些事情就沒有什麼自由了
[00:02:17.400 --> 00:02:19.640]  有些事情我們會失去自由的
[00:02:19.640 --> 00:02:20.800]  因為信耶穌
[00:02:20.800 --> 00:02:24.840]  不能夠再做平時自己習慣去做的事情
[00:02:24.840 --> 00:02:27.040]  有很多想做的事情以後就不能做了
[00:02:27.040 --> 00:02:28.000]  不如先做了
[00:02:28.000 --> 00:02:29.120]  才信主吧
[00:02:29.120 --> 00:02:30.160]  有沒有這樣的人?
[00:02:30.160 --> 00:02:34.000]  可能我們以前也曾經有這樣的想法
[00:02:34.000 --> 00:02:36.320]  但是這個就很矛盾了
[00:02:36.320 --> 00:02:37.240]  為什麼呢?
[00:02:37.240 --> 00:02:40.200]  因為原來耶穌來到這個世界上
[00:02:40.200 --> 00:02:41.800]  做了一件很重要的工作是什麼?
[00:02:42.600 --> 00:02:45.320]  原來耶穌來到就要set a tree
[00:02:45.320 --> 00:02:47.840]  耶穌來到就要我們得自由
[00:02:47.840 --> 00:02:51.400]  但是我們覺得信耶穌好像會失去自由
[00:02:51.400 --> 00:02:52.440]  你說多麼矛盾
[00:02:52.440 --> 00:02:57.800]  所以我們看看聖經裡面是怎樣教導我們呢?
[00:02:57.800 --> 00:03:00.360]  耶穌來到原來才會得到自由的
[00:03:00.360 --> 00:03:02.400]  我們看看《約翰福音》第八章
[00:03:02.400 --> 00:03:05.680]  31至36節
[00:03:05.680 --> 00:03:06.640]  不如一起讀吧
[00:03:06.640 --> 00:03:09.240]  《約翰福音》第八章31至36節
[00:03:09.240 --> 00:03:10.560]  你看你的Outline也可以
[00:03:10.560 --> 00:03:11.640]  看螢光幕也可以
[00:03:11.640 --> 00:03:12.640]  一起讀吧
[00:03:12.640 --> 00:03:16.240]  「耶穌對信他的猶太人說:
[00:03:16.240 --> 00:03:19.360]  你們若常常遵守我的教導
[00:03:19.360 --> 00:03:21.920]  就真是我的門徒了
[00:03:21.920 --> 00:03:23.960]  你們會認識真理
[00:03:23.960 --> 00:03:26.560]  真理會使你們得自由
[00:03:26.560 --> 00:03:28.000]  他們回答:
[00:03:28.000 --> 00:03:30.640]  我們是阿伯拉罕的子孫
[00:03:30.640 --> 00:03:33.320]  我們沒作過誰的奴僕
[00:03:33.320 --> 00:03:35.880]  你說你們會得自由
[00:03:35.880 --> 00:03:38.280]  這話是什麼意思呢?
[00:03:38.280 --> 00:03:40.200]  耶穌對他們說:
[00:03:40.200 --> 00:03:42.680]  我鄭重地告訴你們
[00:03:42.680 --> 00:03:46.520]  每個犯罪的人都是罪的奴僕
[00:03:46.520 --> 00:03:50.480]  奴隸在家庭裡沒有穩固的地位
[00:03:50.480 --> 00:03:53.440]  兒子卻始終屬於家庭
[00:03:53.440 --> 00:03:57.160]  要是上帝的兒子使你們得自由
[00:03:57.160 --> 00:04:00.000]  你們就真自由了」
[00:04:00.000 --> 00:04:01.680]  這段聖經一開始
[00:04:01.680 --> 00:04:04.720]  耶穌對那些信他的猶太人說
[00:04:04.720 --> 00:04:06.760]  「你們常常遵守我的教導
[00:04:06.760 --> 00:04:08.200]  就真是我的門徒了」
[00:04:08.200 --> 00:04:09.240]  然後32節
[00:04:09.240 --> 00:04:11.320]  「你們會認識真理
[00:04:11.320 --> 00:04:13.400]  真理會使你們得自由」
[00:04:13.400 --> 00:04:14.600]  所以我剛才說
[00:04:14.600 --> 00:04:15.880]  原來耶穌來
[00:04:15.880 --> 00:04:18.560]  其實是一個很重要的工作
[00:04:18.560 --> 00:04:21.600]  就是要使我們得到自由
[00:04:21.600 --> 00:04:25.520]  他想我們相信他是猶太人得自由
[00:04:25.520 --> 00:04:26.520]  但是很奇怪
[00:04:26.520 --> 00:04:28.080]  聖經剛才我們看下去的時候
[00:04:28.080 --> 00:04:31.080]  那些猶太人似乎有另一種看法
[00:04:31.080 --> 00:04:33.520]  或者根本不明白耶穌說什麼
[00:04:33.520 --> 00:04:34.880]  因為他們覺得
[00:04:34.880 --> 00:04:36.120]  我沒有失自由而已
