
[00:00:00.000 --> 00:00:04.520]  我們稱呼神,通常今天我們稱呼神為天父
[00:00:04.520 --> 00:00:06.200]  天父、爸爸親切一點
[00:00:06.200 --> 00:00:09.000]  有時候你想道地一點,地道一點
[00:00:09.000 --> 00:00:10.480]  你就說Daddy神
[00:00:10.480 --> 00:00:13.840]  這些都是一種對上帝的稱呼
[00:00:13.840 --> 00:00:16.200]  神是我們的天父
[00:00:16.200 --> 00:00:19.600]  耶穌是我們的主
[00:00:19.600 --> 00:00:22.400]  是我們的救主,這是我們很熟悉的
[00:00:22.400 --> 00:00:26.360]  但是耶穌在聖經裡面記載有一個身份
[00:00:26.360 --> 00:00:30.240]  是我們比較少去留意
[00:00:30.240 --> 00:00:32.680]  或者我們少去用的
[00:00:32.680 --> 00:00:34.920]  但這個也是聖經裡面有記載的
[00:00:34.920 --> 00:00:39.320]  就是耶穌其實是神的長子
[00:00:39.320 --> 00:00:41.720]  也是我們宿靈裡面
[00:00:41.720 --> 00:00:43.960]  我們可以稱他為兄長
[00:00:43.960 --> 00:00:47.560]  這個關係是我們比較少講
[00:00:47.560 --> 00:00:49.000]  但是聖經裡面是有的
[00:00:49.000 --> 00:00:50.760]  我想用兩節的聖經
[00:00:50.760 --> 00:00:52.600]  請牟威
[00:00:52.600 --> 00:00:55.440]  第一段經文希伯來書
[00:00:55.440 --> 00:00:57.600]  這段經文我們一起讀一次
[00:01:25.840 --> 00:01:30.960]  這裏主要講耶穌作為元帥
[00:01:30.960 --> 00:01:33.000]  救我們元帥的身份
[00:01:33.000 --> 00:01:35.360]  受苦難完成了
[00:01:35.360 --> 00:01:36.880]  然後他講一件事
[00:01:36.880 --> 00:01:41.640]  他說哪個使人成聖的和得以成聖的
[00:01:41.640 --> 00:01:43.960]  他講的是兩種人
[00:01:43.960 --> 00:01:45.880]  使人成聖的是基督
[00:01:45.880 --> 00:01:51.920]  是祂令我們在神的面前成聖
[00:01:51.920 --> 00:01:54.000]  得以成聖的就是誰
[00:01:54.000 --> 00:01:55.080]  就是我們
[00:01:55.080 --> 00:01:56.360]  我們因為耶穌的緣故
[00:01:56.360 --> 00:01:58.880]  我們都是成為聖
[00:01:58.880 --> 00:01:59.840]  所以他說
[00:01:59.840 --> 00:02:01.480]  因為使人成聖的基督
[00:02:01.480 --> 00:02:03.000]  和得以成聖的我們
[00:02:03.000 --> 00:02:04.720]  神的兒女們
[00:02:04.720 --> 00:02:06.000]  都是出於一
[00:02:06.000 --> 00:02:07.680]  都是出於父神
[00:02:07.680 --> 00:02:09.000]  因為這樣的緣故
[00:02:09.000 --> 00:02:12.120]  他稱他們為弟兄也不以為恥
[00:02:12.120 --> 00:02:13.920]  就是說耶穌因為這樣的緣故
[00:02:13.920 --> 00:02:15.400]  都是出於一的緣故
[00:02:15.400 --> 00:02:17.240]  稱我們為弟兄
[00:02:17.240 --> 00:02:19.280]  其實是恰當的
[00:02:19.280 --> 00:02:20.440]  可以的
[00:02:20.440 --> 00:02:22.800]  是不以為恥的
[00:02:22.800 --> 00:02:24.440]  用引述舊約的詩篇
[00:02:24.440 --> 00:02:26.760]  就是說我將你的名傳於我的弟兄
[00:02:26.760 --> 00:02:28.760]  在會中我要重揚你
[00:02:28.760 --> 00:02:31.960]  這是希伯來書其中一個觀念告訴我們
[00:02:31.960 --> 00:02:34.200]  耶穌基督是萬物的元帥
[00:02:34.200 --> 00:02:35.400]  我們的救主
[00:02:35.400 --> 00:02:38.200]  因為祂原本是神的獨生兒子
[00:02:38.200 --> 00:02:39.440]  獨生的
[00:02:39.440 --> 00:02:41.320]  但因為祂成就了救恩之後
[00:02:41.320 --> 00:02:44.200]  我和你都成為神的兒女
[00:02:44.200 --> 00:02:46.400]  突然間由獨生變成很多個
[00:02:46.400 --> 00:02:48.040]  弟弟妹妹
[00:02:48.040 --> 00:02:48.920]  屬靈的裏面
[00:02:48.920 --> 00:02:50.440]  我們是神的兒女
[00:02:50.440 --> 00:02:51.920]  所以我們有一個
[00:02:51.920 --> 00:02:56.600]  可以稱耶穌為我們屬靈上的大哥
[00:02:56.600 --> 00:02:57.200]  哥兄長
[00:02:57.200 --> 00:02:58.920]  不過我平時很少這樣說
[00:02:58.920 --> 00:03:03.960]  不過這個聖經其中有這樣的稱呼
[00:03:03.960 --> 00:03:05.200]  另外一節經文就是
[00:03:05.200 --> 00:03:08.040]  《羅馬書八章》二十九節
[00:03:08.040 --> 00:03:09.760]  這個就是這樣說的
[00:03:09.760 --> 00:03:12.960]  一起讀一次,好嗎?
[00:03:12.960 --> 00:03:15.640]  (因為他預先所知道的人)
[00:03:15.640 --> 00:03:19.560]  (就預先定下效法他自己的模樣)
[00:03:19.560 --> 00:03:21.960]  (以至他的兒子再許多其他種族)
[00:03:21.960 --> 00:03:23.760]  這裏有很多「他」,聽清楚
[00:03:23.760 --> 00:03:26.720]  因為第一個「他」就是父神
[00:03:26.720 --> 00:03:28.200]  他預先知道的
