
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹,平安。各位會友,大家好
[00:00:05.000 --> 00:00:09.000]  多謝師班唱出優美的詩歌
[00:00:09.000 --> 00:00:14.000]  這些詩歌裏面有一個主題
[00:00:14.000 --> 00:00:17.000]  人算是甚麼呢?
[00:00:17.000 --> 00:00:21.000]  我們身上背負罪惡的重擔
[00:00:21.000 --> 00:00:25.000]  我們心靈是背負著沉重的憂傷
[00:00:25.000 --> 00:00:28.000]  但是上帝竟然顧念我
[00:00:28.000 --> 00:00:33.000]  我們就用優美的詩歌引入今天的題目
[00:00:33.000 --> 00:00:37.000]  就是「我是誰」
[00:00:37.000 --> 00:00:40.000]  這個最初是人問的問題
[00:00:40.000 --> 00:00:42.000]  所以是一個哲學的問題
[00:00:42.000 --> 00:00:46.000]  但是我今天就要將重點
[00:00:46.000 --> 00:00:51.000]  下面的時間集中在這個問題的第二個部分
[00:00:51.000 --> 00:00:53.000]  就是這個是上帝問的問題
[00:00:53.000 --> 00:00:55.000]  這個是耶穌問的問題
[00:00:55.000 --> 00:00:58.000]  「我是誰」
[00:01:25.000 --> 00:01:29.000]  所以我們沒有機會在這裏和大家分享
[00:01:55.000 --> 00:02:01.000]  因為感想就是我們人生裏面有多少機會
[00:02:01.000 --> 00:02:04.000]  能夠回到從前
[00:02:04.000 --> 00:02:07.000]  雖然現在我們說的是兩個月前
[00:02:07.000 --> 00:02:10.000]  你有多少機會看到時光可以倒流
[00:02:10.000 --> 00:02:13.000]  給你另一個機會,是兩個月前的機會
[00:02:13.000 --> 00:02:15.000]  或者是兩年前的機會
[00:02:15.000 --> 00:02:18.000]  甚至很多時候我們重新來過的機會
[00:02:18.000 --> 00:02:20.000]  有多少次呢?
[00:02:20.000 --> 00:02:23.000]  不會很多的
[00:02:23.000 --> 00:02:26.000]  我今天就應該有第二次的機會
[00:02:26.000 --> 00:02:29.000]  這個很幸運
[00:02:29.000 --> 00:02:34.000]  一個機會和大家重新思想
[00:02:34.000 --> 00:02:36.000]  亦都是因為這個原因
[00:02:36.000 --> 00:02:40.000]  我看為甚麼上帝不讓我講道呢?
[00:02:40.000 --> 00:02:42.000]  當然是有些問題的
