
[00:00:00.000 --> 00:00:05.680]  今天有機會可以跟大家在這裏分享上帝的話語
[00:00:05.680 --> 00:00:10.120]  首先大家有沒有留意就是
[00:00:10.120 --> 00:00:20.960]  上個月在美國的俄勒岡州波特蘭市有一個種族侮辱的事件
[00:00:20.960 --> 00:00:22.160]  有沒有人留意到
[00:00:22.160 --> 00:00:24.840]  沒留意哈
[00:00:24.840 --> 00:00:25.560]  當時呢
[00:00:25.560 --> 00:00:29.800]  是有一位35歲的這個白人的男子了
[00:00:29.800 --> 00:00:36.880]  他就在火車上看到兩個穆斯林的女孩子就去大聲的侮辱他們
[00:00:36.880 --> 00:00:39.360]  就說回去你的沙地阿拉伯吧
[00:00:39.360 --> 00:00:42.680]  這樣或者一些其他的這些種族仇恨的話
[00:00:42.680 --> 00:00:43.160]  然後呢
[00:00:43.160 --> 00:00:48.440]  當時火車上有三個男士就上來阻止他了
[00:00:48.440 --> 00:00:49.200]  哇
[00:00:49.200 --> 00:00:54.320]  他立刻就拿刀立刻將三個人就刺傷
[00:00:54.320 --> 00:00:56.920]  當時兩個人就死亡
[00:00:56.920 --> 00:01:02.800]  一個呢就是23歲的梅時還有53歲的貝特斯
[00:01:02.800 --> 00:01:07.080]  那在這件令人傷感的事件裏面
[00:01:07.080 --> 00:01:14.240]  我們看到原來一句侮辱性的話帶來的後果是非常的嚴重
[00:01:14.240 --> 00:01:15.440]  很可怕
[00:01:15.440 --> 00:01:16.120]  但同時呢
[00:01:16.120 --> 00:01:18.480]  我們也看到人性的光輝
[00:01:18.480 --> 00:01:21.480]  那位23歲的梅時呢
[00:01:21.480 --> 00:01:27.440]  他堅毅勇爲捨身來保護這兩個無辜的少女
[00:01:27.440 --> 00:01:30.840]  他臨死的時候沒有說咒詛的話
[00:01:30.840 --> 00:01:33.160]  他而是說一些祝福的話
[00:01:33.160 --> 00:01:38.760]  他說我想讓火車上所有的人都知道我愛他們
[00:01:38.760 --> 00:01:40.880]  包括那個兇手
[00:01:40.880 --> 00:01:43.000]  他送院不久就死了
[00:01:43.000 --> 00:01:44.400]  他的媽媽呢
[00:01:44.400 --> 00:01:47.880]  就在練書上面就說
[00:01:47.880 --> 00:01:53.920]  我寶貴的兒子保護兩個年幼的回教女孩子被殺
[00:01:53.920 --> 00:01:55.000]  他是個英雄
[00:01:55.000 --> 00:01:56.720]  我永遠愛他
[00:01:56.720 --> 00:01:57.880]  他的媽媽呢
[00:01:57.880 --> 00:02:02.720]  還特地寫了一封信給總統
[00:02:02.720 --> 00:02:06.600]  特朗普說要採取行動譴責暴力
[00:02:06.600 --> 00:02:08.040]  特別呢
[00:02:08.040 --> 00:02:14.920]  要譴責那些從仇恨的言論和仇恨的羣體而產生的暴力
