
[00:00:00.000 --> 00:00:02.320]  各位聽聽姊妹 早安
[00:00:02.320 --> 00:00:05.040]  請聽我講 聖經都是神所物是的
[00:00:05.040 --> 00:00:08.680]  於教訓 督責 使人歸正 教導和學義
[00:00:08.680 --> 00:00:09.880]  都是有益的
[00:00:09.880 --> 00:00:13.680]  叫屬神的人得以完全預備行各樣的善事
[00:00:13.680 --> 00:00:16.360]  感謝著今天我們按照聖經的教導
[00:00:16.360 --> 00:00:18.360]  去學習一個主題就是
[00:00:18.360 --> 00:00:20.680]  你都可以做領導人
[00:00:20.680 --> 00:00:23.640]  你都可以做領導人
[00:00:23.640 --> 00:00:27.440]  有一位男士四十歲
[00:00:27.760 --> 00:00:30.200]  事業有成 收入可觀
[00:00:30.200 --> 00:00:33.280]  他的妻子很漂亮 兒女又很乖
[00:00:33.280 --> 00:00:37.760]  但過了十年之後 情況開始轉變
[00:00:37.760 --> 00:00:43.240]  他的公司雖然一人之下 萬人之上
[00:00:43.240 --> 00:00:48.840]  不過他的下屬開始搞工會 搞罷工
[00:00:48.840 --> 00:00:51.040]  跟他對著幹
[00:00:51.040 --> 00:00:55.600]  他的兒女開始進入青春期
[00:00:56.200 --> 00:01:01.000]  穿耳洞 紋身 講粗口
[00:01:01.000 --> 00:01:04.400]  甚至用粗口的說話來罵媽媽
[00:01:04.400 --> 00:01:07.080]  所以見到這樣的情況的時候
[00:01:07.080 --> 00:01:09.080]  他很想打他們一輩子
[00:01:09.080 --> 00:01:13.760]  他跟太太的關係都開始很疏離
[00:01:13.760 --> 00:01:17.080]  因為子女教育的方式不同
[00:01:17.080 --> 00:01:20.400]  大家雖然同在一個屋簷下
[00:01:20.400 --> 00:01:22.400]  卻是各懷心事
[00:01:23.680 --> 00:01:28.280]  在公司 在家 基本上是人生的全部
[00:01:28.280 --> 00:01:32.080]  不過他找不到安靜的地方
[00:01:32.080 --> 00:01:34.760]  如果你是護士
[00:01:34.760 --> 00:01:37.360]  今天你只是被病人投訴的話
[00:01:37.360 --> 00:01:40.040]  如果你是老師
[00:01:40.040 --> 00:01:42.960]  今天學生只是要抵制你的話
[00:01:42.960 --> 00:01:45.480]  如果你是父母
[00:01:45.480 --> 00:01:49.400]  你的孩子只是用各種說話去頂撞你的時候
[00:01:49.400 --> 00:01:52.760]  或者你稱為自己是生命的教練
[00:01:53.120 --> 00:01:55.400]  你的隊員已經不跟你合作
[00:01:55.400 --> 00:01:57.320]  在這個時候
[00:01:57.320 --> 00:02:01.440]  我以為他們出現了領導的問題
[00:02:01.440 --> 00:02:05.640]  我以為他們出現了領導的問題
[00:02:05.640 --> 00:02:08.160]  或者你這樣說
[00:02:08.160 --> 00:02:09.240]  牧師 你講領導
[00:02:09.240 --> 00:02:10.880]  你讀過管理學嗎?
[00:02:10.880 --> 00:02:13.320]  我這樣說
[00:02:13.320 --> 00:02:14.800]  我不是講管理學
[00:02:14.800 --> 00:02:17.120]  我講的是領導
[00:02:17.120 --> 00:02:19.520]  講管理
[00:02:19.520 --> 00:02:23.480]  很多時候我們會將人物化 死物化
[00:02:23.480 --> 00:02:28.120]  有時候老闆請了工人回來的時候
[00:02:28.120 --> 00:02:30.280]  就當他是一件物件
[00:02:30.280 --> 00:02:32.640]  在這八個小時之內
[00:02:32.640 --> 00:02:35.440]  麻煩你乖乖地幫我做完所有事情
[00:02:35.440 --> 00:02:39.920]  如果你做得不好 我解僱你
[00:02:39.920 --> 00:02:46.320]  當我們開始將人物化的時候
[00:02:46.320 --> 00:02:49.280]  人再不是一個人
[00:02:50.520 --> 00:02:52.760]  只是任由你操控的一個物件
[00:02:52.760 --> 00:02:56.640]  如果你在家裡經濟支柱的話
[00:02:56.640 --> 00:02:58.800]  有時候
[00:02:58.800 --> 00:03:01.840]  太太和丈夫或丈夫和太太說
[00:03:01.840 --> 00:03:04.600]  你花我的錢就要聽我的話
[00:03:04.600 --> 00:03:09.120]  有時候父母和孩子這樣說
[00:03:09.120 --> 00:03:14.000]  我養得你出
[00:03:14.000 --> 00:03:16.040]  生得你出 養得你大
[00:03:16.040 --> 00:03:18.760]  你就要跟我聽聽話
[00:03:20.520 --> 00:03:22.520]  無論老闆、父母
[00:03:22.520 --> 00:03:24.520]  有時候都會將我們的孩子
[00:03:24.520 --> 00:03:27.240]  將我們的員工 變成一個物件
[00:03:27.240 --> 00:03:30.400]  沒有好好去領導他們
[00:03:30.400 --> 00:03:34.000]  領導是什麼意思呢?
[00:03:34.000 --> 00:03:37.760]  領導是將你和你相處的
[00:03:37.760 --> 00:03:39.560]  和你相處的每一個人
[00:03:39.560 --> 00:03:43.440]  你看他為一個有血有肉的人
[00:03:43.440 --> 00:03:46.080]  有思想有感情的人
[00:03:47.800 --> 00:03:50.040]  他們極之的尊貴
[00:03:50.040 --> 00:03:52.560]  甚至尊貴的地步
[00:03:52.560 --> 00:03:54.560]  值得你為他寫明
[00:03:54.560 --> 00:03:58.200]  一講到寫明的時候
[00:03:58.200 --> 00:04:01.280]  我們很自然就想起主耶穌基督 是不是?
[00:04:01.280 --> 00:04:06.280]  耶穌基督在這個世界上最有影響力的人
[00:04:06.280 --> 00:04:09.800]  不是因為他有權勢
[00:04:09.800 --> 00:04:12.000]  他有學問
[00:04:12.000 --> 00:04:14.280]  他有地位
[00:04:14.280 --> 00:04:15.880]  他有金錢
[00:04:15.880 --> 00:04:17.360]  他什麼都沒有
[00:04:18.200 --> 00:04:21.200]  可以說他在世界上只有一個邊緣人士
[00:04:21.200 --> 00:04:23.200]  不過
[00:04:23.200 --> 00:04:26.600]  他將這個世界在邊緣裏面納入正軌之中
[00:04:26.600 --> 00:04:30.000]  他發揮的不是權力
[00:04:30.000 --> 00:04:31.800]  是影響力
[00:04:31.800 --> 00:04:35.800]  今天如果我們的公司
[00:04:35.800 --> 00:04:37.200]  我們的家庭
[00:04:37.200 --> 00:04:38.200]  學校
[00:04:38.200 --> 00:04:39.200]  我們的醫院
[00:04:39.200 --> 00:04:40.200]  我們的社會
[00:04:40.200 --> 00:04:41.200]  都出現問題的話
[00:04:41.200 --> 00:04:42.200]  很多時候
[00:04:42.200 --> 00:04:45.800]  都是因為我們太過崇拜權力
[00:04:45.800 --> 00:04:47.400]  崇拜管理
[00:04:47.400 --> 00:04:48.600]  而不是領導
