
[00:00:00.000 --> 00:00:03.000]  我們先安靜自己的祈禱
[00:00:03.000 --> 00:00:06.000]  去預備我們的心去領受主的道
[00:00:06.000 --> 00:00:11.000]  天父上帝我們感謝你
[00:00:11.000 --> 00:00:13.000]  你向我們啟示你自己
[00:00:13.000 --> 00:00:16.000]  你指引我們走永生的道路
[00:00:16.000 --> 00:00:20.000]  你指導教會在地上怎樣去為你作見證
[00:00:20.000 --> 00:00:22.000]  去分辨善惡
[00:00:22.000 --> 00:00:24.000]  去履行使命
[00:00:24.000 --> 00:00:27.000]  一切都因著你的話語給我們的幫助
[00:00:27.000 --> 00:00:29.000]  如今我們存在渴慕的心
[00:00:29.000 --> 00:00:31.000]  求聖靈幫助我們
[00:00:31.000 --> 00:00:33.000]  去明白你自己的話語的正義
[00:00:33.000 --> 00:00:35.000]  亦都知道我們自己的內心
[00:00:35.000 --> 00:00:38.000]  讓我們的心被你的話語去否開
[00:00:38.000 --> 00:00:40.000]  以致我們能夠得到潔淨
[00:00:40.000 --> 00:00:41.000]  得到見諒
[00:00:41.000 --> 00:00:43.000]  多謝主聽我們祈禱
[00:00:43.000 --> 00:00:44.000]  奉耶穌命卻
[00:00:44.000 --> 00:00:45.000]  阿們
[00:00:45.000 --> 00:00:47.000]  請大家先翻開今天我們所讀的聖經
[00:00:47.000 --> 00:00:50.000]  在《曼提福音》第十五章的一段經文
[00:00:50.000 --> 00:00:54.000]  今天講到的重點其實很簡單
[00:00:54.000 --> 00:00:56.000]  其實就是題目說了
[00:00:56.000 --> 00:00:59.000]  不因循求成性
[00:00:59.000 --> 00:01:01.000]  作為一個主一學的主日的題目
[00:01:01.000 --> 00:01:04.000]  我相信我們很需要去處理
[00:01:04.000 --> 00:01:10.000]  我們在學習聖經上面對信仰的知識的態度
[00:01:10.000 --> 00:01:14.000]  另一方面亦都需要去有正確的目標
[00:01:14.000 --> 00:01:17.000]  這兩個重點分別處理這兩方面
[00:01:17.000 --> 00:01:21.000]  第一方面關於不要因循
[00:01:21.000 --> 00:01:24.000]  我們知道我們學習聖經去理解真理
[00:01:24.000 --> 00:01:26.000]  不可以人云亦云
[00:01:26.000 --> 00:01:28.000]  不可以說那個人這樣說
[00:01:28.000 --> 00:01:29.000]  舊有的說法是這樣
[00:01:29.000 --> 00:01:30.000]  這麼多年都這樣說
[00:01:30.000 --> 00:01:32.000]  就一定是沒有錯
[00:01:32.000 --> 00:01:35.000]  我們需要很神秘地去分辨
[00:01:35.000 --> 00:01:38.000]  即使是在我們心目中很權威的人物的教導
[00:01:38.000 --> 00:01:39.000]  其實我們都知道
[00:01:39.000 --> 00:01:44.000]  隨著對聖經的研究有推陳出新的發言
[00:01:44.000 --> 00:01:46.000]  我們必須要去再思量
[00:01:46.000 --> 00:01:48.000]  那些對聖經的解釋
[00:01:48.000 --> 00:01:52.000]  或者一些流傳關於基督徒信仰的說法
[00:01:52.000 --> 00:01:57.000]  究竟是否能夠接受聖經的話語的考驗
[00:01:57.000 --> 00:02:01.000]  不因循的對聖經的學習
[00:02:01.000 --> 00:02:04.000]  在這段經文裏留心到
[00:02:04.000 --> 00:02:09.000]  有一班人帶著權威去指識耶穌的門徒
[00:02:09.000 --> 00:02:11.000]  去質詢耶穌
[00:02:11.000 --> 00:02:13.000]  這班人是法利賽人和經學家
[00:02:13.000 --> 00:02:17.000]  經文特別強調他們從耶路撒冷而來
[00:02:17.000 --> 00:02:18.000]  聖經學者告訴我們
[00:02:18.000 --> 00:02:21.000]  甚少這麼強調這件事
[00:02:21.000 --> 00:02:24.000]  當特別去highlight指出這件事的時候
[00:02:24.000 --> 00:02:28.000]  其實是想強調他們帶著一份權柄
[00:02:28.000 --> 00:02:30.000]  去作出一個質詢
[00:02:30.000 --> 00:02:33.000]  甚至要找耶穌的一些罪證
[00:02:33.000 --> 00:02:34.000]  一些把柄
[00:02:34.000 --> 00:02:36.000]  以至能夠去對付耶穌
[00:02:36.000 --> 00:02:38.000]  這班人來到就問耶穌一個問題
[00:02:38.000 --> 00:02:42.000]  你的門徒為什麼違背了古人的傳統
[00:02:42.000 --> 00:02:44.000]  在吃飯之前不洗手呢
[00:02:44.000 --> 00:02:47.000]  今時今日我們知道衛生署一定會提醒你
[00:02:47.000 --> 00:02:49.000]  要怎樣洗手
[00:02:49.000 --> 00:02:52.000]  古代的時候是法利賽人提醒你要洗手
[00:02:52.000 --> 00:02:57.000]  法利賽人所說的古人的傳統
[00:02:57.000 --> 00:03:02.000]  其實不是當時猶太人的一般傳統
[00:03:02.000 --> 00:03:05.000]  反而是法利賽派這班自顯為
[00:03:05.000 --> 00:03:07.000]  比別人更加聖潔
[00:03:07.000 --> 00:03:10.000]  更加潔淨的一班中派人士
[00:03:10.000 --> 00:03:12.000]  他們有一個這樣的傳統
[00:03:12.000 --> 00:03:15.000]  去要求人這樣做
[00:03:15.000 --> 00:03:17.000]  當耶穌面對這個質詢的時候
[00:03:17.000 --> 00:03:22.000]  他並沒有去直接回應這個答案
[00:03:22.000 --> 00:03:25.000]  反而是反過來說
[00:03:25.000 --> 00:03:29.000]  法利賽人所違背的是更重要的事情
