
[00:00:00.000 --> 00:00:04.500]  今日想同大家去一齊學習的題目是
[00:00:04.500 --> 00:00:06.500]  在因典裏面的施予
[00:00:06.500 --> 00:00:11.200]  這個我們將一些我們認為很重要的
[00:00:11.200 --> 00:00:13.200]  錢呀或者財物呀或者
[00:00:13.200 --> 00:00:16.500]  甚至我們的時間呀
[00:00:16.500 --> 00:00:19.500]  我們的力氣呀去幫助人
[00:00:19.500 --> 00:00:21.500]  這個都是我們一齊學的
[00:00:21.500 --> 00:00:23.500]  我們一齊有個禱告
[00:00:23.500 --> 00:00:25.500]  天父我們都多謝你
[00:00:25.500 --> 00:00:27.500]  讓我們一齊有你的話語
[00:00:27.500 --> 00:00:29.500]  去幫助我們 以致我們看到錢
[00:00:29.500 --> 00:00:32.500]  我們可以成為別人的祝福
[00:00:32.500 --> 00:00:35.500]  以致我們可以經歷你的恩典
[00:00:35.500 --> 00:00:38.500]  我們求主你教導我們
[00:00:38.500 --> 00:00:40.500]  祈禱奉主耶穌基督的名 阿門
[00:00:40.500 --> 00:00:47.500]  錢這個課題都很常常為人所傳頌
[00:00:47.500 --> 00:00:49.500]  記不記得許冠傑有首歌
[00:00:49.500 --> 00:00:51.500]  錢錢錢 是不是他唱的
[00:00:51.500 --> 00:00:59.500]  仔細歌詞你再想想 我都很有印象
[00:00:59.500 --> 00:01:01.500]  不過錢又不是萬能的
[00:01:01.500 --> 00:01:04.500]  所以披頭四就說錢買不到愛的
[00:01:04.500 --> 00:01:06.500]  記不記得那首歌
[00:01:06.500 --> 00:01:11.500]  無論怎樣都好 錢是很多人覺得很重要
[00:01:11.500 --> 00:01:15.500]  我們去消費 我們買一些日常所需要的
[00:01:15.500 --> 00:01:19.500]  但最近有一個學者就看到
[00:01:19.500 --> 00:01:26.500]  原來錢慢慢在現實的社會消費文化裡扭曲了
[00:01:26.500 --> 00:01:29.500]  不單是用錢去買一些物件
[00:01:29.500 --> 00:01:33.500]  以致我們日常生活可以享用
[00:01:33.500 --> 00:01:35.500]  還有一種特別的東西
[00:01:35.500 --> 00:01:37.500]  就是有些扭曲了的文化
[00:01:37.500 --> 00:01:39.500]  就是用錢去買一些特權
[00:01:39.500 --> 00:01:44.500]  譬如在美國加州有一間監獄
[00:01:44.500 --> 00:01:50.500]  非暴力的囚犯可以用一些錢換一間
[00:01:50.500 --> 00:01:57.500]  可以住一些更好的環境居住的地方
[00:01:57.500 --> 00:02:00.500]  這些我不知道大家有沒有聽過
[00:02:00.500 --> 00:02:03.500]  這些可能大家聽過
[00:02:03.500 --> 00:02:09.500]  就是有些名校有些學生成績一般
[00:02:09.500 --> 00:02:14.500]  但他們可以進去 原因是父母有很多錢
[00:02:14.500 --> 00:02:16.500]  是富有的人家
[00:02:16.500 --> 00:02:19.500]  然後捐一筆巨款就能進去
[00:02:19.500 --> 00:02:22.500]  不過你問所有大學會不會這樣做
[00:02:22.500 --> 00:02:23.500]  他們一定否認
[00:02:23.500 --> 00:02:27.500]  不過事實上就是有這樣的事情發生
[00:02:27.500 --> 00:02:31.500]  還有我們有時去一些主題式公園
[00:02:31.500 --> 00:02:33.500]  有時等很久隊
[00:02:33.500 --> 00:02:35.500]  也可以用錢搞定
[00:02:35.500 --> 00:02:37.500]  可以插隊
[00:02:37.500 --> 00:02:41.500]  有些負責人 主題式公園那些
[00:02:41.500 --> 00:02:44.500]  以免其他人引起騷亂
