
[00:00:00.000 --> 00:00:01.600]  在二月十二日
[00:00:01.600 --> 00:00:05.000]  當我預備星期三晚的教會祈禱會的時候
[00:00:05.000 --> 00:00:06.600]  那個上午
[00:00:06.600 --> 00:00:08.600]  神有一個感動給我
[00:00:08.600 --> 00:00:10.400]  那一晚在祈禱會的時候
[00:00:10.400 --> 00:00:14.200]  跟弟兄姊妹分享聖餐
[00:00:14.200 --> 00:00:18.400]  我們藉著聖餐與神相遇
[00:00:18.400 --> 00:00:20.000]  再一次與神聯合
[00:00:20.000 --> 00:00:23.400]  去求神保護我們的弟兄姊妹
[00:00:23.400 --> 00:00:24.800]  也在那一朝
[00:00:24.800 --> 00:00:27.800]  神感動我們用詩篇九十一篇
[00:00:27.800 --> 00:00:30.200]  之後很多次的祈禱
[00:00:30.200 --> 00:00:31.200]  直到今次的祈禱會
[00:00:31.200 --> 00:00:33.400]  我們都是用詩篇九十一篇
[00:00:33.400 --> 00:00:37.200]  去宣告神的保護同在在我們當中
[00:00:37.200 --> 00:00:38.800]  後來我們發現
[00:00:38.800 --> 00:00:40.800]  是由一月開始
[00:00:40.800 --> 00:00:44.400]  很多的講道都在講詩篇九十一篇
[00:00:44.400 --> 00:00:48.000]  茶經很多的資料都在講詩篇九十一篇
[00:00:48.000 --> 00:00:49.800]  我打算不要趁熱鬧了
[00:00:49.800 --> 00:00:50.800]  因為大家都在講
[00:00:50.800 --> 00:00:52.200]  我懶得講了
[00:00:52.200 --> 00:00:54.200]  直至有一天
[00:00:54.200 --> 00:00:58.400]  在我WhatsApp收到一位弟兄的短訊
[00:00:58.400 --> 00:01:00.400]  就是圖畫裡面那一張
[00:01:00.400 --> 00:01:02.800]  大家知道新型冠狀病毒
[00:01:02.800 --> 00:01:04.800]  COVID-19
[00:01:04.800 --> 00:01:06.400]  那次一看
[00:01:06.400 --> 00:01:09.800]  他好像是把COVID-19
[00:01:09.800 --> 00:01:13.200]  放在鏡子上反過來
[00:01:13.200 --> 00:01:17.800]  變成了九十一DIVORCE
[00:01:17.800 --> 00:01:20.600]  其實他也解釋了
[00:01:20.600 --> 00:01:22.400]  九十一是詩篇九十一篇
[00:01:22.400 --> 00:01:24.400]  然後DIVORCE
[00:01:24.400 --> 00:01:27.800]  就是Destroy Influenza Virus Outbreak Completely
[00:01:27.800 --> 00:01:29.000]  他用中文解釋
[00:01:29.000 --> 00:01:32.600]  就是完全消滅流感病毒的爆發
[00:01:32.600 --> 00:01:34.600]  我看的時候
[00:01:34.600 --> 00:01:36.400]  就好像聖靈再提一次
[00:01:36.400 --> 00:01:39.200]  你還是要講詩篇九十一篇
[00:01:39.200 --> 00:01:41.000]  其實有一些解釋中說
[00:01:41.000 --> 00:01:43.000]  詩篇九十篇和九十一篇
[00:01:43.000 --> 00:01:45.000]  同是摩西所作的
[00:01:45.000 --> 00:01:48.200]  九十篇可能是消極一點
[00:01:48.200 --> 00:01:52.000]  在人生的震怒之下
[00:01:52.000 --> 00:01:53.600]  人生很短
[00:01:53.600 --> 00:01:56.800]  但是詩篇九十一篇就很不同了
[00:01:56.800 --> 00:01:58.000]  有些解釋中說
[00:01:58.000 --> 00:02:01.800]  摩西看見約書亞和迦勒
[00:02:01.800 --> 00:02:06.000]  這兩個神所用的大能勇士
[00:02:06.000 --> 00:02:08.400]  神給他們的信心和能力
[00:02:08.400 --> 00:02:10.000]  因為他們很相信
[00:02:10.000 --> 00:02:12.400]  絕對相信神與他們同在
[00:02:12.400 --> 00:02:14.200]  所以無論他在哪裡
[00:02:14.200 --> 00:02:15.800]  神都與他一起
[00:02:15.800 --> 00:02:18.000]  保護他、帶領他
[00:02:18.000 --> 00:02:19.000]  領子會讓我們
[00:02:19.000 --> 00:02:20.800]  今天我們藉著詩篇九十一篇
[00:02:20.800 --> 00:02:23.000]  讓神的能力臨到我們當中
[00:02:23.000 --> 00:02:24.200]  那個信心
[00:02:24.200 --> 00:02:25.600]  我們倚靠神
[00:02:25.600 --> 00:02:27.600]  我們宣告神是大能的手
[00:02:27.600 --> 00:02:28.600]  去保護我們
[00:02:28.600 --> 00:02:30.400]  因為神是我們獨一無二的真神
[00:02:30.400 --> 00:02:31.600]  和我們一起說一門
[00:02:31.600 --> 00:02:32.800]  Amen
[00:02:32.800 --> 00:02:35.400]  經濟學人雜誌《Economist》
[00:02:35.400 --> 00:02:37.400]  發表2019年
[00:02:37.400 --> 00:02:42.000]  全世界最安全的城市的頭三位
[00:02:42.000 --> 00:02:44.400]  第一位就是東京
[00:02:44.400 --> 00:02:47.000]  第二位是新加坡
[00:02:47.000 --> 00:02:49.600]  第三位是大阪
[00:02:49.600 --> 00:02:52.000]  在此一時間美國調查機構
[00:02:52.000 --> 00:02:55.400]  「蓋洛普諮詢公司」(Gallup Organization)
[00:02:55.400 --> 00:03:00.800]  也發表了全世界最安全的國家頭三位
[00:03:00.800 --> 00:03:03.200]  第一位就是新加坡
[00:03:03.200 --> 00:03:06.400]  第二位是冰島
[00:03:06.400 --> 00:03:09.000]  第三位是紐西蘭
[00:03:09.000 --> 00:03:11.600]  讓姐妹們一起猜猜
[00:03:11.600 --> 00:03:18.400]  你覺得全世界最安全的交通工具是什麼呢?
[00:03:18.400 --> 00:03:19.800]  竟然是飛機
[00:03:19.800 --> 00:03:22.600]  飛機是全世界最安全的交通工具
[00:03:22.600 --> 00:03:25.200]  第二位才是火車
[00:03:25.200 --> 00:03:27.200]  提起安全
[00:03:27.200 --> 00:03:30.400]  自然會牽涉保護
[00:03:30.400 --> 00:03:33.800]  把保護人的生命
[00:03:33.800 --> 00:03:35.600]  保護人的財產
[00:03:35.600 --> 00:03:37.800]  使得他們免受威脅
[00:03:37.800 --> 00:03:39.000]  其實心理學家說
[00:03:39.000 --> 00:03:42.800]  人和動物都是一種本能去保護自己
[00:03:42.800 --> 00:03:44.600]  人就更加聰明了
[00:03:44.600 --> 00:03:47.600]  他懂得用很多條件去保護自己
[00:03:47.600 --> 00:03:50.000]  例如古代打仗的時候
[00:03:50.000 --> 00:03:52.200]  那些武士穿上盔甲
[00:03:52.200 --> 00:03:54.000]  連馬也穿上盔甲
[00:03:54.000 --> 00:03:55.400]  去保護他們
[00:03:55.400 --> 00:03:58.600]  今時今日在地盤工作
[00:03:58.600 --> 00:04:01.600]  可能穿上全新的保護衣服
[00:04:01.600 --> 00:04:04.000]  全新的裝備去保護自己
[00:04:04.000 --> 00:04:05.200]  我們作為消費者
[00:04:05.200 --> 00:04:09.800]  香港也有消費者委員會去保護我們的權益
[00:04:09.800 --> 00:04:11.200]  甚至我們的電腦
[00:04:11.200 --> 00:04:12.600]  我們的互聯網
[00:04:12.600 --> 00:04:14.200]  也有防火牆
[00:04:14.200 --> 00:04:18.200]  有不同的安全鎖去保護
[00:04:18.200 --> 00:04:19.800]  到現在
[00:04:19.800 --> 00:04:21.800]  香港現在面對這個世界
[00:04:21.800 --> 00:04:24.200]  面對不同的
[00:04:24.200 --> 00:04:26.200]  新型冠狀病毒的疫情
[00:04:26.200 --> 00:04:29.400]  其實有不同的人有不同的方法去保護自己
[00:04:29.400 --> 00:04:30.400]  我們一起看看
[00:04:30.400 --> 00:04:31.800]  這些特別
[00:04:31.800 --> 00:04:34.000]  好像和我們很不同的方法
[00:04:34.000 --> 00:04:35.000]  一起去看看
[00:04:35.000 --> 00:04:36.800]  這些不同的方法
[00:04:36.800 --> 00:04:39.800]  各種不同的形式去保護自己
[00:04:39.800 --> 00:04:42.000]  人有不同的需要
[00:04:42.000 --> 00:04:43.600]  大頂姐妹
[00:04:43.600 --> 00:04:45.400]  當我們去問自己的時候
[00:04:45.400 --> 00:04:50.000]  誰才是我們終極真正的保護者呢?
[00:04:50.000 --> 00:04:51.800]  詩篇91篇跟我們說
[00:04:51.800 --> 00:04:53.800]  就是我們所信的神
[00:04:53.800 --> 00:04:56.400]  讓我們一起看詩篇91篇二節
[00:04:56.400 --> 00:04:57.400]  等一會我們一起讀
[00:04:57.400 --> 00:04:58.600]  1、2、3
