
[00:00:00.000 --> 00:00:04.000]  今日講題是「跟耶穌面對死亡」
[00:00:04.000 --> 00:00:06.000]  其實可以講白一點
[00:00:06.000 --> 00:00:10.000]  題目可以這樣說「跟耶穌去死」
[00:00:10.000 --> 00:00:12.000]  哪有「跟耶穌去死」呢?
[00:00:12.000 --> 00:00:14.000]  大家先看一段經文
[00:00:14.000 --> 00:00:16.000]  就是《約翰福音》第十二章
[00:00:16.000 --> 00:00:18.000]  二十節到第二十六節
[00:00:18.000 --> 00:00:24.000]  《約翰福音》第十二章
[00:00:24.000 --> 00:00:26.000]  二十節到第二十六節
[00:00:30.000 --> 00:00:32.000]  請聽我讀出來
[00:00:32.000 --> 00:00:34.000]  我用和合本的修訂版來讀
[00:00:34.000 --> 00:00:40.000]  那時上來過節禮拜的人中
[00:00:40.000 --> 00:00:42.000]  有幾個希臘人
[00:00:42.000 --> 00:00:46.000]  他們來見加利利的白菜大人肥力
[00:00:46.000 --> 00:00:48.000]  請求他說
[00:00:48.000 --> 00:00:50.000]  先生,我們想見耶穌
[00:00:50.000 --> 00:00:53.000]  肥力去告訴安德烈
[00:00:53.000 --> 00:00:56.000]  然後安德烈和肥力去告訴耶穌
[00:00:59.000 --> 00:01:01.000]  耶穌回答他們說
[00:01:29.000 --> 00:01:31.000]  當跟從我
[00:01:31.000 --> 00:01:33.000]  我在那裡
[00:01:33.000 --> 00:01:35.000]  服侍我的人也要在那裡
[00:01:35.000 --> 00:01:37.000]  若有人服侍我
[00:01:37.000 --> 00:01:41.000]  我負必尊重他
[00:01:41.000 --> 00:01:45.000]  這個場合就是在耶路撒冷
[00:01:45.000 --> 00:01:47.000]  耶穌已經進入了耶路撒冷
[00:01:47.000 --> 00:01:49.000]  準備過如意節,面對十字架
[00:01:49.000 --> 00:01:51.000]  所以他後面說
[00:01:51.000 --> 00:01:53.000]  我得榮耀的時候到了
[00:01:53.000 --> 00:01:55.000]  《約翰福音》是講耶穌得榮耀的時候
[00:01:55.000 --> 00:01:59.000]  《約翰福音》開頭是講耶穌去迦納婚宴
[00:01:59.000 --> 00:02:02.000]  耶穌和那群門徒和祂的母親說
[00:02:02.000 --> 00:02:04.000]  我得榮耀的時候還沒到
[00:02:04.000 --> 00:02:06.000]  那時候是祂開始傳道的時候
[00:02:06.000 --> 00:02:09.000]  現在祂得榮耀的時候將到
[00:02:09.000 --> 00:02:11.000]  於是祂要釘十字架
[00:02:11.000 --> 00:02:14.000]  祂要來受死並且復活
[00:02:14.000 --> 00:02:16.000]  這是祂得榮耀的時候
[00:02:16.000 --> 00:02:17.000]  在這個場合
[00:02:17.000 --> 00:02:20.000]  有一群希臘人也去耶路撒冷
[00:02:20.000 --> 00:02:21.000]  去過這個節
[00:02:21.000 --> 00:02:24.000]  這裡沒有提及到這群希臘人
[00:02:24.000 --> 00:02:27.000]  是否歸信了猶太教
[00:02:27.000 --> 00:02:29.000]  或者他們什麼樣的宗教信仰
[00:02:29.000 --> 00:02:31.000]  但講明了他們是希臘人
[00:02:31.000 --> 00:02:34.000]  他們去到耶路撒冷過節
[00:02:34.000 --> 00:02:38.000]  耶穌知道這群人將會在耶路撒冷
[00:02:38.000 --> 00:02:41.000]  見證到耶穌基督的釘十字架
[00:02:41.000 --> 00:02:43.000]  並且復活
[00:02:43.000 --> 00:02:46.000]  這群希臘人去找菲力
[00:02:46.000 --> 00:02:48.000]  加里利人菲力
[00:02:48.000 --> 00:02:51.000]  菲力去找安德烈
[00:02:51.000 --> 00:02:54.000]  一起去引薦這群希臘人
[00:02:54.000 --> 00:02:57.000]  這幾個希臘人去見耶穌
[00:02:57.000 --> 00:03:01.000]  以下就是耶穌的講論
[00:03:01.000 --> 00:03:03.000]  希臘人有他自己的哲學思想
[00:03:03.000 --> 00:03:05.000]  有他的生死觀
[00:03:05.000 --> 00:03:08.000]  希臘的哲學思想也可以說是很高超
[00:03:08.000 --> 00:03:10.000]  他的神話故事
