
[00:00:00.000 --> 00:00:03.760]  可能今天大家覺得這個題目比較有趣
[00:00:03.760 --> 00:00:05.480]  要明白主的旨意
[00:00:05.480 --> 00:00:08.720]  基本上大家都很熟悉
[00:00:08.720 --> 00:00:10.680]  七要三不要
[00:00:10.680 --> 00:00:13.120]  爲什麼會有七要三不要呢
[00:00:13.120 --> 00:00:15.240]  一會兒聽我繼續分享的時候
[00:00:15.240 --> 00:00:17.840]  大家就會明白的了
[00:00:17.840 --> 00:00:22.240]  其實今天我們身處一個很複雜
[00:00:22.240 --> 00:00:24.040]  多變和急促
[00:00:24.040 --> 00:00:26.720]  而且令人容易迷失的時代
[00:00:26.720 --> 00:00:29.600]  香港人對這種感受是特別深的
[00:00:29.600 --> 00:00:31.280]  社會環境在變
[00:00:31.280 --> 00:00:33.080]  經濟環境在變
[00:00:33.080 --> 00:00:35.880]  家庭處境也在變
[00:00:35.880 --> 00:00:38.800]  教會的生態也在變
[00:00:38.800 --> 00:00:40.480]  人面對很多不確定
[00:00:40.480 --> 00:00:42.360]  前路應該怎樣走呢
[00:00:42.360 --> 00:00:44.040]  教會應該怎樣走呢
[00:00:44.040 --> 00:00:45.920]  家庭應該怎樣走呢
[00:00:45.920 --> 00:00:49.000]  我個人的信仰也要怎樣活下去呢
[00:00:49.000 --> 00:00:52.120]  今天很多人不是完全沒有方向
[00:00:52.120 --> 00:00:53.880]  而是方向太多
[00:00:53.880 --> 00:00:55.760]  不是完全沒有聲音
[00:00:55.760 --> 00:00:57.400]  而是聲音太多
[00:00:57.400 --> 00:00:59.400]  不是完全沒有選擇
[00:00:59.400 --> 00:01:01.440]  而是選擇太多
[00:01:01.440 --> 00:01:04.280]  但在選擇越來越多的時代
[00:01:04.280 --> 00:01:06.760]  人卻未必越來越清楚
[00:01:06.760 --> 00:01:09.680]  相反我們可能會越來越焦慮
[00:01:09.680 --> 00:01:11.080]  越來越疲憊
[00:01:11.080 --> 00:01:13.080]  越來越迷茫
[00:01:13.080 --> 00:01:15.960]  所以今天這段經文非常切合我們
[00:01:15.960 --> 00:01:17.200]  保羅不是向一羣
[00:01:17.200 --> 00:01:19.800]  活在安穩年代的人說話
[00:01:19.800 --> 00:01:22.840]  而是向一羣身處異教文化
[00:01:22.840 --> 00:01:24.040]  價值混亂
[00:01:24.040 --> 00:01:27.160]  靈性爭戰中的門徒說話
[00:01:27.160 --> 00:01:30.840]  他提醒當時的人
[00:01:30.840 --> 00:01:32.280]  也提醒我們
[00:01:32.280 --> 00:01:34.480]  你們不要活得糊塗
[00:01:34.480 --> 00:01:36.360]  不要活得無知
[00:01:36.360 --> 00:01:38.600]  不要被世界拖着走
[00:01:38.600 --> 00:01:40.560]  你們要作智慧人
[00:01:40.560 --> 00:01:43.440]  要明白主的旨意
[00:01:43.440 --> 00:01:45.600]  今天我會用一個很清楚的結構
[00:01:45.600 --> 00:01:47.400]  來傳講這段經文
[00:01:47.400 --> 00:01:49.280]  這個七要三不要
[00:01:49.280 --> 00:01:52.240]  總共有十個提醒
[00:01:52.240 --> 00:01:54.440]  這個不是零碎的道德命令
[00:01:54.440 --> 00:01:57.720]  而是一幅完整的屬靈生命的圖畫
[00:01:57.720 --> 00:01:59.680]  教導我們個人如何活
[00:01:59.680 --> 00:02:01.720]  也教導教會羣體
[00:02:01.720 --> 00:02:04.160]  如何尋求神的方向
[00:02:04.160 --> 00:02:06.480]  而今天我想特別強調的一點
[00:02:06.480 --> 00:02:08.360]  就是講到明白主的旨意
[00:02:08.360 --> 00:02:10.640]  不單止是個人層面的問題
[00:02:10.640 --> 00:02:14.880]  也是關於教會羣體辨識的問題
[00:02:14.880 --> 00:02:17.120]  我們先看這個圖
[00:02:17.120 --> 00:02:19.440]  我們看到藍色字
[00:02:19.440 --> 00:02:21.240]  有三個不要
[00:02:21.240 --> 00:02:22.280]  第一個不要
[00:02:22.280 --> 00:02:25.080]  就是不要仗無知的人
[00:02:25.080 --> 00:02:27.840]  相對就是要作智慧的人
[00:02:27.840 --> 00:02:29.120]  第二個不要
[00:02:29.120 --> 00:02:31.640]  就是不要作糊塗人
[00:02:31.640 --> 00:02:32.800]  相對來說
[00:02:32.800 --> 00:02:35.800]  就是要明白主的旨意如何
[00:02:35.800 --> 00:02:37.040]  第三個不要
[00:02:37.040 --> 00:02:38.920]  就是不要醉酒
[00:02:38.920 --> 00:02:41.600]  相對就是要被聖靈充滿
[00:02:41.600 --> 00:02:44.440]  這個就是三不要
[00:02:44.440 --> 00:02:46.920]  那麼七個要是什麼呢
[00:02:46.920 --> 00:02:49.240]  七個要在紅色字那裏
[00:02:49.240 --> 00:02:51.280]  要謹慎行事
[00:02:51.280 --> 00:02:53.400]  要仗智慧的人
[00:02:53.400 --> 00:02:55.200]  要把握時機
[00:02:55.200 --> 00:02:57.400]  要明白主的旨意
[00:02:57.400 --> 00:02:59.400]  要被聖靈充滿
[00:02:59.400 --> 00:03:02.560]  要口唱深和地讚美主
[00:03:02.560 --> 00:03:05.200]  要常常感謝
[00:03:05.200 --> 00:03:07.040]  大家很清楚了
[00:03:07.040 --> 00:03:09.640]  題目是七要三不要
[00:03:09.640 --> 00:03:11.840]  大家就知道什麼是不要
[00:03:11.840 --> 00:03:13.760]  什麼是要
[00:03:13.760 --> 00:03:15.520]  我們首先去看一下
[00:03:15.520 --> 00:03:17.080]  什麼叫三不要
[00:03:17.080 --> 00:03:20.560]  就是要離開錯誤的生命狀態
[00:03:20.560 --> 00:03:23.680]  經文說我們不要仗無知的人
[00:03:23.680 --> 00:03:26.440]  無知的人不是說他的智力不足
[00:03:26.440 --> 00:03:29.840]  而是缺乏屬靈智慧和分辨
[00:03:29.840 --> 00:03:31.040]  經文提醒我們
[00:03:31.040 --> 00:03:33.800]  不可以只懂得世界的方法
[00:03:33.800 --> 00:03:36.600]  卻不懂得神的道路
[00:03:36.600 --> 00:03:38.040]  在我個人來說
[00:03:38.040 --> 00:03:40.320]  我們作決定的時候
[00:03:40.320 --> 00:03:42.000]  是不是按真理
[00:03:42.000 --> 00:03:44.360]  或者是按我們的情緒呢
[00:03:44.360 --> 00:03:46.960]  我們是不是隻是得過忘字
[00:03:46.960 --> 00:03:48.880]  而不清醒呢
[00:03:48.880 --> 00:03:52.720]  作爲教會教會是否只是重策劃
[00:03:52.720 --> 00:03:54.480]  輕土告呢
[00:03:54.480 --> 00:03:57.240]  其實無論是策劃或者土告
[00:03:57.240 --> 00:03:59.080]  兩者都是重要的
[00:03:59.080 --> 00:04:01.320]  但是我們要分清優次
[00:04:01.320 --> 00:04:03.200]  就是在教會行事
[00:04:03.200 --> 00:04:05.320]  我們要先着重土告
[00:04:05.320 --> 00:04:08.480]  然後之後我們就去策劃
[00:04:08.480 --> 00:04:11.400]  我們是否只是學外面的模式
[00:04:11.400 --> 00:04:13.640]  卻少民主的心意呢
[00:04:13.640 --> 00:04:16.560]  傳道人其中一個最有趣的話題
[00:04:16.560 --> 00:04:18.200]  我們經常都講的
[00:04:18.200 --> 00:04:21.200]  就是究竟一間成功教會的策略
[00:04:21.200 --> 00:04:22.960]  應該是怎樣的呢
[00:04:22.960 --> 00:04:26.160]  有幾個傳道人就在一起聊天
[00:04:26.160 --> 00:04:28.200]  大家就互相問
[00:04:28.200 --> 00:04:29.240]  杜牧師
[00:04:29.240 --> 00:04:31.440]  你間教會有多少人呀
[00:04:31.440 --> 00:04:33.760]  我說某某有多少人呀
[00:04:33.760 --> 00:04:34.400]  接着
[00:04:34.400 --> 00:04:35.080]  麥牧師
[00:04:35.080 --> 00:04:36.200]  你間教會有多少人呀
[00:04:36.200 --> 00:04:37.200]  哇一千人呀
[00:04:37.200 --> 00:04:39.040]  哇一千人好厲害哦
[00:04:39.040 --> 00:04:40.080]  接着呢
[00:04:40.080 --> 00:04:41.600]  接着問第三個牧師
[00:04:41.600 --> 00:04:43.120]  那個牧師小小聲說
[00:04:43.120 --> 00:04:43.920]  我教會呀
[00:04:43.920 --> 00:04:45.760]  一百人而已
