
[00:00:00.000 --> 00:00:06.000]  起來,走吧,你的信救了你
[00:00:06.000 --> 00:00:09.000]  我們同心妥告
[00:00:09.000 --> 00:00:15.000]  親愛的主,懇求你讓我們眾弟兄姊妹們
[00:00:15.000 --> 00:00:19.000]  都能夠有愛慕你的心
[00:00:19.000 --> 00:00:22.000]  都能夠有美好的耳朵
[00:00:22.000 --> 00:00:25.000]  能夠聽見你的話語
[00:00:25.000 --> 00:00:27.000]  能夠相信你的話語
[00:00:27.000 --> 00:00:29.000]  主一求你憐憫我們
[00:00:29.000 --> 00:00:31.000]  求你幫助我們
[00:00:31.000 --> 00:00:33.000]  我這樣的祈禱
[00:00:33.000 --> 00:00:35.000]  是奉主耶穌基督的名字
[00:00:35.000 --> 00:00:37.000]  Amen
[00:00:37.000 --> 00:00:39.000]  過去的十一月份
[00:00:39.000 --> 00:00:44.000]  是教會傳統的感恩日子
[00:00:44.000 --> 00:00:48.000]  十二月份是我們要預備
[00:00:48.000 --> 00:00:50.000]  聖誕節來臨的日子
[00:00:50.000 --> 00:00:52.000]  我們都是用一個心情
[00:00:52.000 --> 00:00:54.000]  一個感恩的心
[00:00:54.000 --> 00:00:58.000]  去迎接耶穌基督的降生
[00:00:58.000 --> 00:01:00.000]  在這兩個月之間
[00:01:00.000 --> 00:01:03.000]  不知道你們的心情是怎樣的呢?
[00:01:03.000 --> 00:01:07.000]  你們有沒有心存感恩?
[00:01:07.000 --> 00:01:09.000]  常常的謝恩?
[00:01:09.000 --> 00:01:12.000]  在今天早上,當你來到教會的時候
[00:01:12.000 --> 00:01:16.000]  你有沒有一顆感恩的心?
[00:01:16.000 --> 00:01:18.000]  感謝的心?
[00:01:18.000 --> 00:01:22.000]  在十年前的十一月二十二日
[00:01:22.000 --> 00:01:24.000]  在神學院當中
[00:01:24.000 --> 00:01:30.000]  我們開始了感恩節的感恩聚會的做法
[00:01:30.000 --> 00:01:33.000]  這個感恩節的感恩聚會的做法
[00:01:33.000 --> 00:01:35.000]  是一群學生
[00:01:35.000 --> 00:01:38.000]  他們自己去自發的
[00:01:38.000 --> 00:01:40.000]  是他們策動的
[00:01:40.000 --> 00:01:42.000]  他們就說希望能夠
[00:01:42.000 --> 00:01:47.000]  藉著這個美國的感恩節的時間
[00:01:47.000 --> 00:01:50.000]  一同能夠去感謝神
[00:01:50.000 --> 00:01:53.000]  另一方面能夠多謝老師
[00:01:53.000 --> 00:01:56.000]  多謝同工
[00:01:56.000 --> 00:01:57.000]  所以在那天
[00:01:57.000 --> 00:02:01.000]  我們除了會有感恩的聚會之外
[00:02:01.000 --> 00:02:06.000]  我們會在下午一同去吃午飯
[00:02:06.000 --> 00:02:07.000]  在那個時候
[00:02:07.000 --> 00:02:12.000]  老師和同工都是很感動的
[00:02:12.000 --> 00:02:14.000]  我記得那時候
[00:02:14.000 --> 00:02:16.000]  看到學生這麼自發
[00:02:16.000 --> 00:02:18.000]  說要感謝我們
[00:02:18.000 --> 00:02:20.000]  說要感謝神的時候
[00:02:20.000 --> 00:02:23.000]  我眼睛都有一點點泛泛的
[00:02:23.000 --> 00:02:25.000]  真的很感動
[00:02:25.000 --> 00:02:28.000]  因為這一群准傳道人
[00:02:28.000 --> 00:02:31.000]  是神學院的盼望
[00:02:31.000 --> 00:02:34.000]  都是教會的盼望
[00:02:34.000 --> 00:02:38.000]  因為一個能夠要得上上謝恩
[00:02:38.000 --> 00:02:40.000]  對神謝恩
[00:02:40.000 --> 00:02:43.000]  對人謝恩的人
[00:02:43.000 --> 00:02:46.000]  是一個有信心的人
[00:02:46.000 --> 00:02:48.000]  是一個有心的人
[00:02:48.000 --> 00:02:51.000]  是一個對神有信心的人
[00:02:51.000 --> 00:02:53.000]  這些懂得謝恩的人
[00:02:53.000 --> 00:02:57.000]  他們是有靈性的
[00:02:57.000 --> 00:03:02.000]  在剛過去的十一月的二十二號
[00:03:02.000 --> 00:03:05.000]  在十年前的一位學校的
[00:03:05.000 --> 00:03:07.000]  當時候的領袖
[00:03:07.000 --> 00:03:08.000]  學生的領袖
[00:03:08.000 --> 00:03:11.000]  回來和我們一起去聚會
[00:03:11.000 --> 00:03:15.000]  他很開心看到這個感恩的做法
[00:03:15.000 --> 00:03:18.000]  是繼續的傳流下去
[00:03:18.000 --> 00:03:20.000]  看到同學那種感謝的心
[00:03:20.000 --> 00:03:22.000]  是越來越刺烈
[00:03:22.000 --> 00:03:25.000]  他是非常感動的
[00:03:25.000 --> 00:03:27.000]  剛才我們所讀的經文
[00:03:27.000 --> 00:03:31.000]  都是關於感謝的經文
[00:03:31.000 --> 00:03:34.000]  根據路加福音的記載當中
[00:03:34.000 --> 00:03:36.000]  我們知道耶穌基督
[00:03:36.000 --> 00:03:38.000]  要去到耶路撒冷
[00:03:38.000 --> 00:03:41.000]  經過撒瑪利亞和加里尼
[00:03:41.000 --> 00:03:43.000]  當他要進入一個村子的時候
[00:03:43.000 --> 00:03:47.000]  就有十個麻風病人迎面而來
[00:03:47.000 --> 00:03:49.000]  遠遠地站著
[00:03:49.000 --> 00:03:51.000]  高聲地說
[00:03:51.000 --> 00:03:55.000]  耶穌 夫子 可憐我們吧
[00:03:55.000 --> 00:03:57.000]  耶穌看見之後
[00:03:57.000 --> 00:03:59.000]  就對他們說
