
[00:00:00.000 --> 00:00:01.620]  弟兄姊妹主內 平安
[00:00:01.620 --> 00:00:02.380]  平安
[00:00:02.380 --> 00:00:05.280]  今天講到《創世紀》的第三講
[00:00:05.280 --> 00:00:07.120]  講到雲與海
[00:00:07.120 --> 00:00:10.600]  在這裡掙扎要不要講《創世紀》呢
[00:00:10.600 --> 00:00:12.700]  因為不想講得太離地
[00:00:12.700 --> 00:00:16.700]  但是因為包括了一些科學的東西
[00:00:16.700 --> 00:00:18.740]  不可以不那麼貼地
[00:00:18.740 --> 00:00:22.240]  所以不離地也不貼地
[00:00:22.240 --> 00:00:25.760]  《半天調》的空間就跟大家講
[00:00:25.760 --> 00:00:28.440]  但是其實《聖經》裡面
[00:00:28.440 --> 00:00:32.960]  其實詩篇有很多地方是歌頌上帝的創造
[00:00:32.960 --> 00:00:34.700]  大家剛才看的那段經文
[00:00:34.700 --> 00:00:36.200]  詩篇九十五篇
[00:00:36.200 --> 00:00:38.500]  它說內亞我們要向耶和華歌唱
[00:00:38.500 --> 00:00:40.920]  向拯救我們的盆石歡呼
[00:00:40.920 --> 00:00:42.900]  接著它講到上帝的創造
[00:00:42.900 --> 00:00:44.020]  它要偉大
[00:00:44.020 --> 00:00:46.880]  它說因為耶和華是偉大的上帝
[00:00:46.880 --> 00:00:49.840]  是超越萬神的大君王
[00:00:49.840 --> 00:00:51.960]  地的深處在他手中
[00:00:51.960 --> 00:00:54.000]  山的高峰也屬他
[00:00:54.000 --> 00:00:55.200]  海洋屬他
[00:00:55.200 --> 00:00:56.120]  是他造的
[00:00:56.120 --> 00:00:58.600]  堪地也是他所造的
[00:00:58.600 --> 00:00:59.920]  上帝造這個宇宙
[00:00:59.920 --> 00:01:00.960]  造這個大地
[00:01:00.960 --> 00:01:03.200]  海和地都是屬於他
[00:01:03.200 --> 00:01:05.800]  當然我們也都是屬於他
[00:01:05.800 --> 00:01:07.620]  那鄭神今天見到很多弟兄姊妹
[00:01:07.620 --> 00:01:09.120]  回到我們教會當中
[00:01:09.120 --> 00:01:11.480]  見到都是很有笑容的
[00:01:11.480 --> 00:01:12.960]  那很多時候有些是新的朋友
[00:01:12.960 --> 00:01:13.840]  我們沒見過的
[00:01:13.840 --> 00:01:15.080]  大家看他唱歌
[00:01:15.080 --> 00:01:16.520]  笑著來唱的
[00:01:16.520 --> 00:01:19.120]  那主土文又不用看著讀的
[00:01:19.120 --> 00:01:20.560]  那我知道一定是基督徒
[00:01:20.560 --> 00:01:22.240]  主內的弟兄姊妹感恩
[00:01:22.240 --> 00:01:23.800]  來到某一個地方
[00:01:23.800 --> 00:01:26.040]  每一個的教會我們都是弟兄姊妹
[00:01:26.040 --> 00:01:26.920]  很開心
[00:01:26.920 --> 00:01:29.360]  因為我們有一個同一個上帝
[00:01:29.360 --> 00:01:31.640]  就是這個創造的上帝
[00:01:31.640 --> 00:01:36.160]  那很多的詩詞都是歌頌上帝的創造奇妙
[00:01:36.160 --> 00:01:38.360]  那我們都知道我們神是多麼厲害的
[00:01:38.360 --> 00:01:39.400]  我們知道的
[00:01:39.400 --> 00:01:40.440]  那問題就是
[00:01:40.440 --> 00:01:43.280]  祂那麼厲害跟我們有什麼關係
[00:01:43.280 --> 00:01:43.760]  是不是
[00:01:43.760 --> 00:01:45.360]  我們這些小土豆
[00:01:45.360 --> 00:01:47.720]  我們在這裏賺兩餐而已
[00:01:47.720 --> 00:01:48.240]  是不是
[00:01:48.240 --> 00:01:49.480]  就是我們想著
[00:01:49.480 --> 00:01:51.280]  我們的思維就是
[00:01:51.280 --> 00:01:53.560]  今天我們幾點鐘回教會
[00:01:53.560 --> 00:01:54.360]  幾點鐘就走
[00:01:54.360 --> 00:01:56.320]  待會下午去哪裏吃東西
[00:01:56.320 --> 00:01:56.680]  是不是
[00:01:56.680 --> 00:01:59.040]  就是我們的思維是很狹窄
[00:01:59.040 --> 00:02:02.000]  說到宇宙的浩瀚那麼偉大
[00:02:02.000 --> 00:02:04.680]  跟我們有什麼直接關係呢
[00:02:04.680 --> 00:02:07.200]  這個就是我想跟大家講的訊息
[00:02:07.200 --> 00:02:09.120]  那之前都講過了
[00:02:09.120 --> 00:02:12.440]  在七日第一日之前
[00:02:12.440 --> 00:02:15.000]  其實上帝已經做了一個
[00:02:15.000 --> 00:02:17.880]  所謂上帝創造天地
[00:02:17.880 --> 00:02:19.600]  創世的第一章第一節
[00:02:19.600 --> 00:02:21.280]  而我的理解就是
[00:02:21.280 --> 00:02:24.680]  他這個天就是上帝做了不同的空間
[00:02:24.680 --> 00:02:26.200]  不同的dimensions
[00:02:26.200 --> 00:02:28.800]  他將靈界
[00:02:28.800 --> 00:02:30.040]  這個spiritual world
[00:02:30.040 --> 00:02:31.600]  和這個physical world
[00:02:31.600 --> 00:02:33.040]  這個肉體的世界
[00:02:33.040 --> 00:02:36.040]  這個現實的世界是分開了它
[00:02:36.040 --> 00:02:37.960]  很清楚定了的是不是
[00:02:37.960 --> 00:02:39.240]  上帝就說OK
[00:02:39.240 --> 00:02:41.520]  我就給你人類
[00:02:41.520 --> 00:02:42.920]  我們這個世界
[00:02:42.920 --> 00:02:45.160]  就是有長闊和高
[00:02:45.160 --> 00:02:46.320]  三個空間
[00:02:46.320 --> 00:02:47.600]  其他的呢
[00:02:47.600 --> 00:02:49.280]  我就這個是靈界的
[00:02:49.280 --> 00:02:51.320]  是上帝居住的地方
[00:02:51.320 --> 00:02:52.920]  是天使的地方
[00:02:52.920 --> 00:02:55.720]  所以這個是上帝分得很清楚
[00:02:55.720 --> 00:02:58.920]  但是在上帝做這個伊甸園的時候
[00:02:58.920 --> 00:03:00.560]  其實這個伊甸園
[00:03:00.560 --> 00:03:01.640]  有學者說
