
[00:00:00.000 --> 00:00:02.520]  所以今天我們講這個題目是講到
[00:00:02.520 --> 00:00:04.040]  是鞏固防衛
[00:00:04.040 --> 00:00:06.160]  講到北島中的第三港
[00:00:06.160 --> 00:00:07.320]  鞏固防衛
[00:00:07.320 --> 00:00:09.240]  北島中的第三港
[00:00:09.240 --> 00:00:11.720]  我們很多時候只是看表面的東西
[00:00:11.720 --> 00:00:13.800]  即是本末倒置
[00:00:13.800 --> 00:00:15.320]  我預備了一個卡通片
[00:00:15.320 --> 00:00:17.200]  不知道一個信有沒有呢?
[00:00:17.200 --> 00:00:17.920]  看到嗎?
[00:00:17.920 --> 00:00:25.400]  有一個小兔子看到
[00:00:25.400 --> 00:00:28.000]  下面的蘿蔔很厲害
[00:00:28.000 --> 00:00:30.800]  但不太清楚是否看外面
[00:00:30.800 --> 00:00:32.680]  上面上蓋很多
[00:00:32.680 --> 00:00:33.880]  下面沒有東西
[00:00:33.880 --> 00:00:37.600]  我們看看人生是怎樣的
[00:00:37.600 --> 00:00:39.840]  有時候我們講到表面的東西
[00:00:39.840 --> 00:00:41.760]  但沒有看到內在的東西
[00:00:41.760 --> 00:00:44.280]  所以基督教我們講到信仰
[00:00:44.280 --> 00:00:46.280]  是講到內涵
[00:00:46.280 --> 00:00:48.520]  生命的實質是怎樣的
[00:00:48.520 --> 00:00:53.400]  我有些思想給大家聽一聽
[00:00:53.400 --> 00:00:55.480]  看看我們的風格
[00:00:55.920 --> 00:00:58.720]  有些只有笑聲沒有喜樂的
[00:00:58.720 --> 00:00:59.520]  有沒有聽過?
[00:00:59.520 --> 00:01:00.960]  即是奸笑
[00:01:00.960 --> 00:01:04.600]  是外面的
[00:01:04.600 --> 00:01:06.120]  有些人有眼淚
[00:01:06.120 --> 00:01:09.360]  但沒有 morning(早上)
[00:01:09.360 --> 00:01:11.120]  即是流眼淚
[00:01:11.120 --> 00:01:13.200]  在桑拿裡面是給錢人哭的
[00:01:13.200 --> 00:01:13.920]  你們聽過嗎?
[00:01:13.920 --> 00:01:16.560]  我們看到有些是這樣的
[00:01:16.560 --> 00:01:19.480]  有些是有房屋就沒有 relationship(關係)
[00:01:19.480 --> 00:01:21.480]  即是有 house(房子)沒有 home(家)
[00:01:21.480 --> 00:01:24.680]  所以現在有很多人在英文就講
[00:01:24.680 --> 00:01:26.080]  Housewife(家庭主婦)
[00:01:26.080 --> 00:01:27.360]  即是嫁給一個 house(房子)
[00:01:27.360 --> 00:01:28.600]  做一個 house(房子)的 wife(妻子)
[00:01:28.600 --> 00:01:31.200]  Housewife
[00:01:31.200 --> 00:01:32.000]  所以這個不對
[00:01:32.000 --> 00:01:34.720]  現在叫做 homemaker(家庭主婦)
[00:01:34.720 --> 00:01:35.880]  不要講 housewife
[00:01:35.880 --> 00:01:37.920]  中間我們結婚的姐妹們
[00:01:37.920 --> 00:01:39.240]  你不是 housewife(家庭主婦)
[00:01:39.240 --> 00:01:40.480]  你是 homemaker(家庭主婦)
[00:01:40.480 --> 00:01:42.320]  做一個家庭
[00:01:42.320 --> 00:01:43.680]  即是有個 house(房子)沒有用
[00:01:43.680 --> 00:01:45.200]  外面的東西
[00:01:45.200 --> 00:01:47.320]  Food but no appetite(食物但沒有食慾)
[00:01:47.320 --> 00:01:49.280]  有東西吃但沒有胃口
[00:01:49.280 --> 00:01:50.000]  慘不慘?
[00:01:50.000 --> 00:01:51.960]  很慘
[00:01:51.960 --> 00:01:53.440]  很多人都是這樣
[00:01:53.440 --> 00:01:57.680]  以前可能大家年輕的時候沒什麼錢
[00:01:57.680 --> 00:01:58.720]  很想吃東西
[00:01:58.720 --> 00:02:00.320]  現在可能賺了一些錢
[00:02:00.320 --> 00:02:01.040]  又不值得
[00:02:01.040 --> 00:02:02.400]  因為高血壓
[00:02:02.400 --> 00:02:03.480]  高 cholesterol(血壓)
[00:02:03.480 --> 00:02:04.800]  人生都挺慘的
[00:02:04.800 --> 00:02:05.880]  是不是?
[00:02:05.880 --> 00:02:07.760]  有床沒有睡覺
[00:02:07.760 --> 00:02:08.880]  最好的床褥
[00:02:08.880 --> 00:02:10.360]  但沒有睡好
[00:02:10.360 --> 00:02:11.840]  很多人都是這樣
[00:02:11.840 --> 00:02:14.120]  美國是最多人失眠的地方
[00:02:14.120 --> 00:02:17.080]  但最多人賣床褥的地方
[00:02:17.080 --> 00:02:18.480]  你有沒有看電視廣告?
[00:02:18.480 --> 00:02:19.520]  經常都賣床褥
[00:02:19.520 --> 00:02:20.960]  我也不知道為什麼
[00:02:20.960 --> 00:02:23.240]  為什麼這麼多人賣床褥呢?
[00:02:23.240 --> 00:02:25.600]  那天我問太太為什麼呢?
[00:02:25.600 --> 00:02:28.080]  其實買了床褥可以睡一輩子的
[00:02:28.080 --> 00:02:29.360]  很久的
[00:02:29.360 --> 00:02:30.520]  香港沒有這種事
[00:02:30.520 --> 00:02:33.680]  但是這裡經常有些人睡不著
[00:02:33.680 --> 00:02:36.400]  打算買個床褥
[00:02:36.400 --> 00:02:37.480]  有 wedding(婚禮)
[00:02:37.480 --> 00:02:39.080]  no marriage(沒有婚姻)
[00:02:39.080 --> 00:02:40.880]  很多人辦好婚禮
[00:02:40.880 --> 00:02:42.520]  但沒有 marriage(婚姻)
[00:02:42.520 --> 00:02:43.960]  很慘
[00:02:43.960 --> 00:02:45.840]  所以你的婚禮很漂亮
[00:02:45.840 --> 00:02:46.800]  沒有婚姻
[00:02:46.800 --> 00:02:48.080]  很慘
[00:02:48.080 --> 00:02:50.040]  有 money(錢)沒有 value(價值)
[00:02:50.040 --> 00:02:51.560]  有錢有什麼用?
[00:02:51.560 --> 00:02:52.760]  沒有價值
[00:02:52.760 --> 00:02:54.520]  你不知道錢應該怎麼花
[00:02:54.520 --> 00:02:55.840]  沒有價值
[00:02:55.840 --> 00:02:57.080]  不知道用在哪裡
[00:02:57.080 --> 00:02:58.040]  有錢
[00:02:58.040 --> 00:02:59.120]  但是沒有價值
[00:02:59.120 --> 00:03:00.040]  有 package(包裝)
[00:03:00.040 --> 00:03:02.240]  但是 no content(內容)
[00:03:02.240 --> 00:03:04.040]  所以前一陣子我收到一些月餅
[00:03:04.040 --> 00:03:05.240]  很漂亮
[00:03:05.240 --> 00:03:07.920]  不是沒有內容
