
[00:00:00.000 --> 00:00:04.860]  魯帝吉教會我今天是一個開場的
[00:00:04.860 --> 00:00:09.740]  通常我每一個教會都是有一個開場的
[00:00:09.740 --> 00:00:17.180]  然後我才會和大家逐一節去研究它裏面
[00:00:17.180 --> 00:00:19.180]  一些比較深入的去研究裏面
[00:00:19.180 --> 00:00:23.160]  關於這個經文裏面的內容
[00:00:23.160 --> 00:00:26.760]  魯帝吉教會如果你看見我寫的題目
[00:00:26.760 --> 00:00:38.940]  「敗壞之先人心驕傲尊榮以前必有謙卑」
[00:00:38.940 --> 00:00:40.440]  是曾賢講的
[00:00:40.440 --> 00:00:42.940]  是聖經裏面的神話語講的
[00:00:42.940 --> 00:00:48.740]  「敗壞之先人心驕傲尊榮以前必有謙卑」
[00:00:48.740 --> 00:00:52.100]  其實這句說話根本就是耶穌基督
[00:00:52.100 --> 00:00:55.460]  可以說是耶穌基督的一個寫照
[00:00:55.460 --> 00:00:59.500]  「他不以與神同等為強奪的」
[00:00:59.500 --> 00:01:03.240]  強奪的意思不是他搶回來的意思
[00:01:03.240 --> 00:01:06.100]  這個字在原文是有搶的含義的
[00:01:06.100 --> 00:01:07.480]  搶東西那樣搶
[00:01:07.480 --> 00:01:11.600]  難道他要和天父神搶過爭過
[00:01:11.600 --> 00:01:14.600]  才能夠與神同等嗎?當然不是
[00:01:14.600 --> 00:01:17.800]  在希臘文的意思裏面可以解釋為甚麼
[00:01:17.800 --> 00:01:22.280]  英文的翻譯就是Grasp
[00:01:22.280 --> 00:01:25.560]  「死揸住唔放啦,我嘅」
[00:01:25.560 --> 00:01:29.000]  你試過給小朋友吃東西後問他拿回來他不給你了嗎?
[00:01:29.000 --> 00:01:33.280]  有時候你給小朋友吃東西
[00:01:33.280 --> 00:01:37.120]  然後你問可不可以給一口Daddy吃
[00:01:37.120 --> 00:01:39.120]  或者給一口Uncle吃
[00:01:39.120 --> 00:01:41.120]  他馬上不給你
[00:01:41.120 --> 00:01:43.120]  你說「少少啦」
[00:01:43.120 --> 00:01:45.120]  他有些是很慷慨的
[00:01:45.120 --> 00:01:47.120]  有些是真的不給的
[00:01:47.120 --> 00:01:49.120]  有些他已經在吃了
[00:01:49.120 --> 00:01:51.120]  他都會給你
[00:01:51.120 --> 00:01:53.120]  有時候問小朋友拿去吃
[00:01:53.120 --> 00:01:55.120]  他給我也不太想吃
[00:01:55.120 --> 00:01:57.120]  因為他在吃餅
[00:01:57.120 --> 00:01:59.120]  在嘴裏面咬著咬著
[00:01:59.120 --> 00:02:01.120]  然後就放在我那裏
[00:02:01.120 --> 00:02:03.120]  濕濕的
[00:02:03.120 --> 00:02:05.120]  不過小朋友我照吃
[00:02:05.120 --> 00:02:07.120]  你問人家給你你不吃真的很難看
[00:02:07.120 --> 00:02:09.120]  所以這個很重要
[00:02:09.120 --> 00:02:11.120]  這個老弟家教會所經歷的
[00:02:11.120 --> 00:02:13.120]  其實是
[00:02:13.120 --> 00:02:15.120]  我們主耶穌基督
[00:02:15.120 --> 00:02:17.120]  曾經他自己
[00:02:17.120 --> 00:02:19.120]  以身作則經歷過
[00:02:19.120 --> 00:02:21.120]  得勝的
[00:02:21.120 --> 00:02:23.120]  所以既然主耶穌基督得勝
[00:02:23.120 --> 00:02:25.120]  而我們作為一個信徒
[00:02:25.120 --> 00:02:27.120]  是有耶穌基督的生命在我們裏面
[00:02:27.120 --> 00:02:29.120]  我們是有那個條件
[00:02:29.120 --> 00:02:31.120]  都可以過得勝的生活
[00:02:31.120 --> 00:02:33.120]  如果我們不是有
[00:02:33.120 --> 00:02:35.120]  耶穌基督的生命在我們裏面
[00:02:35.120 --> 00:02:37.120]  我們沒有一個人能夠可以
[00:02:37.120 --> 00:02:39.120]  過到這個得勝的生活
[00:02:39.120 --> 00:02:41.120]  不是一次
[00:02:41.120 --> 00:02:43.120]  你們知道聖經的要求是很高的
[00:02:43.120 --> 00:02:45.120]  加拉太書
[00:02:45.120 --> 00:02:47.120]  和這個雅各書
[00:02:47.120 --> 00:02:49.120]  都是同樣的
[00:02:49.120 --> 00:02:51.120]  加拉太書三章第十節
[00:02:51.120 --> 00:02:53.120]  雅各書第二章第十節
[00:02:53.120 --> 00:02:55.120]  同樣的讓我們知道
[00:02:55.120 --> 00:02:57.120]  神的要求是很高
[00:02:57.120 --> 00:02:59.120]  高到
[00:02:59.120 --> 00:03:01.120]  是不是有一個
[00:03:01.120 --> 00:03:03.120]  豪宅叫做天比高
[00:03:03.120 --> 00:03:05.120]  有沒有的
[00:03:05.120 --> 00:03:07.120]  是真的有的
[00:03:07.120 --> 00:03:09.120]  天比高
[00:03:09.120 --> 00:03:11.120]  意思是很高
[00:03:11.120 --> 00:03:13.120]  為什麼我要這樣說
[00:03:13.120 --> 00:03:15.120]  因為神對人的要求
[00:03:15.120 --> 00:03:17.120]  去做到滿足到神的要求
[00:03:17.120 --> 00:03:19.120]  神的心意
[00:03:19.120 --> 00:03:21.120]  神都說你OK
[00:03:21.120 --> 00:03:23.120]  神都說你可以了
[00:03:23.120 --> 00:03:25.120]  不是很經典的說
[00:03:25.120 --> 00:03:27.120]  你可以了
[00:03:27.120 --> 00:03:29.120]  你真的可以了
[00:03:29.120 --> 00:03:31.120]  是做不到的
[00:03:31.120 --> 00:03:33.120]  因為聖經很清楚
[00:03:33.120 --> 00:03:35.120]  我們不是靠我們自己的行為能夠稱義
[00:03:35.120 --> 00:03:37.120]  是靠神的憐憫
[00:03:37.120 --> 00:03:39.120]  神的恩典
[00:03:39.120 --> 00:03:41.120]  神的要恕
[00:03:41.120 --> 00:03:43.120]  所以當我們是願意謙卑自己的時候
[00:03:43.120 --> 00:03:45.120]  神是很願意
