
[00:00:00.000 --> 00:00:02.000]  請我再次感謝祢
[00:00:02.000 --> 00:00:04.000]  感謝祢透過祢的話語
[00:00:04.000 --> 00:00:08.000]  透過每一首詩歌的歌詞
[00:00:08.000 --> 00:00:12.000]  成為了我們生命的一個反思
[00:00:12.000 --> 00:00:16.000]  也成為了我們一些提醒
[00:00:16.000 --> 00:00:19.000]  讓祢的生命不斷被祢的愛
[00:00:19.000 --> 00:00:22.000]  被神的靈去充滿
[00:00:22.000 --> 00:00:24.000]  讓祢的靈去囂觀
[00:00:24.000 --> 00:00:26.000]  滋潤我們的生命
[00:00:26.000 --> 00:00:28.000]  根深我們的生命
[00:00:28.000 --> 00:00:31.000]  讓祢的生命得以成長
[00:00:31.000 --> 00:00:35.000]  我們只願意將一切的榮耀贊歸給祢
[00:00:35.000 --> 00:00:37.000]  求祢閱覽我們的敬拜
[00:00:37.000 --> 00:00:41.000]  閱覽我們剛才所聽的報告
[00:00:41.000 --> 00:00:46.000]  無論我們有醫治的一個祈禱會
[00:00:46.000 --> 00:00:49.000]  無論我們有為宣霸去祈禱
[00:00:49.000 --> 00:00:51.000]  都是很重要
[00:00:51.000 --> 00:00:54.000]  讓我們繼續和教會同行
[00:00:54.000 --> 00:00:57.000]  讓每一件事都放在我們的心那邊
[00:00:57.000 --> 00:01:00.000]  我們願意為教會祈禱
[00:01:00.000 --> 00:01:01.000]  聽我們的禱告
[00:01:01.000 --> 00:01:03.000]  奉主明求
[00:01:03.000 --> 00:01:04.000]  阿門
[00:01:27.000 --> 00:01:31.000]  傳統就是過了元宵就好像已經不用拜年了
[00:01:31.000 --> 00:01:34.000]  但是我覺得剛才方傳道很好
[00:01:34.000 --> 00:01:38.000]  他仍然用一個過年的一個拜年的形式
[00:01:38.000 --> 00:01:40.000]  來祝福大家新年快樂
[00:01:40.000 --> 00:01:41.000]  我也都希望
[00:01:41.000 --> 00:01:44.000]  我也都透過這個第一次和大家見面
[00:01:44.000 --> 00:01:46.000]  來恭祝大家主恩常在
[00:01:46.000 --> 00:01:51.000]  而我們繼續要更多的同心祈禱
[00:01:51.000 --> 00:01:53.000]  就是疫情快點過
[00:01:53.000 --> 00:01:54.000]  Amen
[00:01:54.000 --> 00:01:56.000]  我覺得這個是很重要的
[00:01:56.000 --> 00:02:00.000]  當然現在這兩個星期最熱門就是
[00:02:00.000 --> 00:02:03.000]  究竟我們要不要打疫苗呢
[00:02:03.000 --> 00:02:05.000]  就算疫苗是打哪一種呢
[00:02:05.000 --> 00:02:07.000]  都有很多不同的聲音
