
[00:00:00.000 --> 00:00:05.880]  早期基督教在羅馬帝國傳播的前三百年
[00:00:05.880 --> 00:00:11.040]  其實教會和信徒都遭受到很大的迫害
[00:00:11.040 --> 00:00:15.160]  在希伯來書寫了一章告訴我們
[00:00:15.160 --> 00:00:20.120]  當時傳福音的人不單要捱窮、捱苦
[00:00:20.120 --> 00:00:23.520]  甚至會受到很多的迫害
[00:00:23.520 --> 00:00:26.960]  要坐牢,甚至連命都沒有
[00:00:26.960 --> 00:00:30.760]  雖然在極之不利的情況之下
[00:00:30.760 --> 00:00:35.600]  福音在羅馬帝國是快速的傳開
[00:00:35.600 --> 00:00:39.640]  教父特土良提到
[00:00:39.640 --> 00:00:46.640]  當時羅馬帝國國內有不同的人種、不同的地方
[00:00:46.640 --> 00:00:49.080]  很多很多人信了耶穌
[00:00:49.080 --> 00:00:53.320]  而且尊耶穌為王
[00:00:53.320 --> 00:00:56.840]  福音傳得很快
[00:00:56.840 --> 00:01:02.000]  好像去年開始的新冠病毒疫情
[00:01:02.000 --> 00:01:06.520]  從耶路撒冷傳到整個羅馬帝國
[00:01:06.520 --> 00:01:10.200]  甚至是超越羅馬帝國的地方
[00:01:10.200 --> 00:01:11.920]  其實最重要的原因
[00:01:11.920 --> 00:01:14.960]  可能大家想一下是否使徒
[00:01:14.960 --> 00:01:17.640]  還是我們所熟悉的保羅
[00:01:17.640 --> 00:01:20.000]  其實他們都是功不可沒的
[00:01:20.000 --> 00:01:26.880]  但其實最重要是因為信徒是全民皆兵
[00:01:26.880 --> 00:01:30.840]  他們在聖靈的光照之下
[00:01:30.840 --> 00:01:33.040]  在不同的地方傳福音
[00:01:33.040 --> 00:01:36.600]  各地的信徒的增長是倍增的
[00:01:36.600 --> 00:01:39.600]  很多間教會就是這樣成立的
[00:01:39.600 --> 00:01:41.320]  我相信城鎮的弟兄姊妹
[00:01:41.320 --> 00:01:49.520]  我們都很想回復昔日初期教會傳福音的熱誠和果孝
[00:01:49.520 --> 00:01:51.800]  如果要做到這樣的情況
[00:01:51.800 --> 00:01:52.640]  很簡單
[00:01:52.640 --> 00:01:55.320]  我們就要全民皆兵
[00:01:55.320 --> 00:01:58.520]  所以我今天很想和大家去看一個
[00:01:58.520 --> 00:02:03.400]  屬於早期基督教信徒的生命
[00:02:03.400 --> 00:02:09.560]  他可以說是當年初期教會傳福音的表表者
[00:02:09.560 --> 00:02:15.720]  也是基督教早期的歷史發展
[00:02:15.720 --> 00:02:18.720]  留下一個很深遠影響的人
[00:02:18.720 --> 00:02:24.560]  其實他比那些使徒更早離開耶路撒冷傳福音
[00:02:24.560 --> 00:02:29.880]  他也比我們稱外邦使徒的保羅
[00:02:29.880 --> 00:02:32.880]  更早向外邦人傳福音
[00:02:32.880 --> 00:02:38.560]  他是聖經裏唯一一個有一個專稱的
[00:02:38.560 --> 00:02:42.120]  專稱做「傳福音」的人
[00:02:42.120 --> 00:02:43.280]  只有一個
[00:02:43.280 --> 00:02:44.240]  他是誰?
[00:02:44.240 --> 00:02:47.160]  就是傳福音的「肥尼」
[00:02:47.160 --> 00:02:50.600]  在《使徒行傳》21章8節是這樣稱呼他的
[00:02:50.600 --> 00:02:56.400]  我盼望我們可以從他的身上去發掘一些他生命的特質
[00:02:56.400 --> 00:03:00.200]  我們就嘗試培養這些特質
[00:03:00.200 --> 00:03:01.880]  操練這些特質
[00:03:01.880 --> 00:03:06.240]  以致我們都可以成為21世紀的「肥尼」
[00:03:06.240 --> 00:03:08.760]  將這個福音傳開
[00:03:08.760 --> 00:03:09.960]  傳得更遠
[00:03:09.960 --> 00:03:15.240]  更多人在耶穌基督的名下
[00:03:15.240 --> 00:03:18.880]  我先簡單去介紹一下「肥尼」的生平
[00:03:18.880 --> 00:03:22.720]  「肥尼」是一個講希臘話的猶太人
[00:03:22.720 --> 00:03:25.960]  也都說其實他是一個希臘化了的猶太人
[00:03:25.960 --> 00:03:30.360]  我們不知道他何時信耶穌
[00:03:30.360 --> 00:03:33.800]  當耶路撒冷教會越來越多人的時候
[00:03:33.800 --> 00:03:37.840]  就需要有專人負責分配日常的飯食
[00:03:37.840 --> 00:03:41.360]  供應給當時教會的一些窮寡婦
[00:03:41.360 --> 00:03:43.880]  「肥尼」就被選為執事
[00:03:43.880 --> 00:03:46.080]  負責了這個工作
[00:03:46.080 --> 00:03:50.000]  但我相信他服事這個崗位其實不是很久
[00:03:50.000 --> 00:03:53.640]  因為有另一位的執事叫做「史提反」
[00:03:53.640 --> 00:03:56.320]  他和猶太人變道
[00:03:56.320 --> 00:03:58.400]  被石頭打死
[00:03:58.400 --> 00:04:02.440]  從此耶路撒冷教會就大受迫害
[00:04:02.440 --> 00:04:04.000]  除了使徒之外
[00:04:04.000 --> 00:04:07.680]  所有的信徒都要離開耶路撒冷
[00:04:07.680 --> 00:04:09.440]  「肥尼」都不例外
[00:04:09.440 --> 00:04:11.520]  他離開了耶路撒冷之後
[00:04:11.520 --> 00:04:15.440]  就一直去到撒瑪利亞傳道
