
[00:00:00.000 --> 00:00:02.080]  今天如果大家看outline的時候
[00:00:02.080 --> 00:00:04.240]  你會看到我們開始一個新的講道系列
[00:00:04.240 --> 00:00:06.240]  就叫另類社羣
[00:00:06.240 --> 00:00:08.240]  如果你教會久的話
[00:00:08.240 --> 00:00:10.240]  你也猜到其實我們想講些什麼
[00:00:10.240 --> 00:00:12.240]  想講教會
[00:00:12.240 --> 00:00:14.240]  教會在很多人的眼光當中
[00:00:14.240 --> 00:00:16.240]  是一個另類社羣來的
[00:00:16.240 --> 00:00:18.240]  但是另類成怎樣呢
[00:00:18.240 --> 00:00:20.240]  我們看一個video
[00:00:30.000 --> 00:00:58.000]  (看視頻)
[00:00:58.000 --> 00:01:18.000]  (看視頻)
[00:01:18.000 --> 00:01:44.000]  (看視頻)
[00:01:44.000 --> 00:01:54.000]  (看視頻)
[00:01:54.000 --> 00:01:56.000]  昨天呢當我在國業崇拜
[00:01:56.000 --> 00:01:58.000]  跟大家分享這個video 講完道之後呢
[00:01:58.000 --> 00:02:00.000]  這個弟兄說 喂牧師 真還是假的
[00:02:00.000 --> 00:02:03.000]  你小心哦 網上有很多流料的哦
[00:02:03.000 --> 00:02:05.000]  可能不是真的news來的哦
[00:02:05.000 --> 00:02:07.000]  嚇我一跳 其實呢
[00:02:07.000 --> 00:02:09.000]  我做了很多research的
[00:02:09.000 --> 00:02:12.000]  真是這個是去年十月的時候呢
[00:02:12.000 --> 00:02:14.000]  我去Texas裏面呢
[00:02:14.000 --> 00:02:16.000]  其中一個presentation
[00:02:16.000 --> 00:02:18.000]  給那些army reserve
[00:02:18.000 --> 00:02:20.000]  其中一個slide
[00:02:20.000 --> 00:02:22.000]  我整個slide下載了
[00:02:22.000 --> 00:02:24.000]  不過其中一個slide
[00:02:24.000 --> 00:02:25.000]  你看一看的時候呢
[00:02:25.000 --> 00:02:27.000]  你會發現呢
[00:02:27.000 --> 00:02:30.000]  那個evangelical christian entity
[00:02:30.000 --> 00:02:32.000]  萌萌的
[00:02:32.000 --> 00:02:36.000]  US and christian
[00:02:36.000 --> 00:02:38.000]  在這個所謂的宗教的
[00:02:38.000 --> 00:02:40.000]  極端分子當中呢
[00:02:40.000 --> 00:02:42.000]  是排第一的
[00:02:42.000 --> 00:02:44.000]  ok
[00:02:44.000 --> 00:02:47.000]  還在那個莫斯林弟兄會之前
[00:02:47.000 --> 00:02:49.000]  這個呢 你看下去的時候呢
[00:02:49.000 --> 00:02:51.000]  似乎這個是unbelievable
[00:02:51.000 --> 00:02:53.000]  難怪那個弟兄呢 完了之後呢
[00:02:53.000 --> 00:02:55.000]  這樣跟我說 牧師喂 你小心點哦
[00:02:55.000 --> 00:02:57.000]  真還是假的啊
[00:02:57.000 --> 00:02:59.000]  美國那些陸軍裏面的訓練
[00:02:59.000 --> 00:03:01.000]  竟然有這樣的一個陳述在裏面
[00:03:01.000 --> 00:03:03.000]  無論如何呢 其實呢
[00:03:03.000 --> 00:03:06.000]  到底教會 特別是福音派的教會
[00:03:06.000 --> 00:03:09.000]  幾乎在世界人的眼光當中
[00:03:09.000 --> 00:03:11.000]  特別是在美國人的眼光當中
[00:03:11.000 --> 00:03:14.000]  到底是一個什麼樣的羣體呢
[00:03:14.000 --> 00:03:16.000]  Barnes Research 幾年前呢
[00:03:16.000 --> 00:03:18.000]  曾經做過一個研究調查
[00:03:18.000 --> 00:03:20.000]  用了三年的時間
[00:03:20.000 --> 00:03:22.000]  特別去訪問一些年輕一代
[00:03:22.000 --> 00:03:25.000]  不去教會的年輕人
[00:03:25.000 --> 00:03:26.000]  這個大概是什麼呢
[00:03:26.000 --> 00:03:29.000]  16歲到29歲這一班
[00:03:29.000 --> 00:03:32.000]  他們就歸納了12個
[00:03:32.000 --> 00:03:34.000]  他對教會 特別對基督徒
[00:03:34.000 --> 00:03:36.000]  福音派的基督徒的看法
[00:03:36.000 --> 00:03:39.000]  其中有9個是負面的
[00:03:39.000 --> 00:03:42.000]  3個呢 是正面的
[00:03:42.000 --> 00:03:44.000]  那9個負面的來說呢
[00:03:44.000 --> 00:03:45.000]  到底這班年輕人
[00:03:45.000 --> 00:03:46.000]  不去教會的年輕人
[00:03:46.000 --> 00:03:47.000]  怎麼看教會呢
[00:03:47.000 --> 00:03:48.000]  我相信我們做牧師
[00:03:48.000 --> 00:03:50.000]  做基督徒都要了解一下
[00:03:50.000 --> 00:03:51.000]  如果不是的話
[00:03:51.000 --> 00:03:53.000]  怎麼跟我們全福音做見證呢
[00:03:53.000 --> 00:03:54.000]  第一呢 他覺得呢
[00:03:54.000 --> 00:03:56.000]  基督徒 特別是福音派的基督徒呢
[00:03:56.000 --> 00:03:58.000]  是特別針對同性戀
[00:03:58.000 --> 00:04:01.000]  其次呢 基督徒很武斷
[00:04:01.000 --> 00:04:03.000]  很虛僞 很古板
[00:04:03.000 --> 00:04:07.000]  而且呢 太專注在政治裏面
[00:04:07.000 --> 00:04:09.000]  然後呢 大概有四分之一呢
[00:04:09.000 --> 00:04:11.000]  他們覺得 這些說是基督徒
[00:04:11.000 --> 00:04:12.000]  但是一點都不像基督徒
[00:04:12.000 --> 00:04:14.000]  他們說自己是基督徒
[00:04:14.000 --> 00:04:15.000]  但是他們並不是基督徒
[00:04:15.000 --> 00:04:17.000]  或者他們並不是在夜裏是基督徒
[00:04:17.000 --> 00:04:19.000]  哇 這些就是今天很多人
[00:04:19.000 --> 00:04:21.000]  對年輕一代 對教會的看法
[00:04:21.000 --> 00:04:22.000]  對基督徒的看法
[00:04:22.000 --> 00:04:24.000]  難怪他們不來教會咯
[00:04:24.000 --> 00:04:25.000]  是不是
[00:04:25.000 --> 00:04:28.000]  當然呢 可能我們會去抵抗
[00:04:28.000 --> 00:04:29.000]  我們說 哎呀 這些年輕人
[00:04:29.000 --> 00:04:30.000]  他們不懂事的
[00:04:30.000 --> 00:04:32.000]  很片面的
[00:04:32.000 --> 00:04:34.000]  他們的看法不一定正確
[00:04:34.000 --> 00:04:35.000]  這是真的
[00:04:35.000 --> 00:04:37.000]  每個人都會有偏見的
[00:04:37.000 --> 00:04:39.000]  不過呢 巴勒爺說 告訴我們
[00:04:39.000 --> 00:04:40.000]  這些年輕人
[00:04:40.000 --> 00:04:43.000]  爲什麼會這樣去表達他們這樣的看法呢
[00:04:43.000 --> 00:04:45.000]  原來絕大部分是
[00:04:45.000 --> 00:04:47.000]  他們個人親身的經驗
[00:04:47.000 --> 00:04:49.000]  就是說呢 他們在跟人相處當中
[00:04:49.000 --> 00:04:51.000]  就遇到一些這樣的
[00:04:51.000 --> 00:04:53.000]  blah blah blah blah blah的基督徒
[00:04:53.000 --> 00:04:54.000]  於是當他接受民意調查的時候
[00:04:54.000 --> 00:04:55.000]  他就check
[00:04:55.000 --> 00:04:59.000]  基督徒是一些怎樣的羣體
[00:04:59.000 --> 00:05:01.000]  是一些怎樣的人
[00:05:01.000 --> 00:05:03.000]  當我看到這些這樣的報告的時候呢
[00:05:03.000 --> 00:05:04.000]  我心裏邊想
[00:05:04.000 --> 00:05:05.000]  天父上帝
[00:05:05.000 --> 00:05:06.000]  其實我禱告啦
[00:05:06.000 --> 00:05:07.000]  如果我們信耶穌的人
[00:05:07.000 --> 00:05:09.000]  如果我們基督徒
[00:05:09.000 --> 00:05:12.000]  真的好像這些調查研究所說
[00:05:12.000 --> 00:05:13.000]  這樣的事
[00:05:13.000 --> 00:05:14.000]  我們應該怎麼做
[00:05:14.000 --> 00:05:15.000]  What should we do
[00:05:15.000 --> 00:05:16.000]  我們應該怎麼做
[00:05:16.000 --> 00:05:17.000]  我想第一樣我們要做的是什麼
[00:05:17.000 --> 00:05:18.000]  向神認罪悔改
[00:05:18.000 --> 00:05:19.000]  如果我們真的這樣的時候
[00:05:19.000 --> 00:05:22.000]  我們要向神認罪悔改
[00:05:22.000 --> 00:05:24.000]  馬太夫人不是教導我們說
[00:05:24.000 --> 00:05:26.000]  我們要愛那些不值得我們愛的人嗎
[00:05:26.000 --> 00:05:29.000]  個個都會愛自己愛的人的啦
[00:05:29.000 --> 00:05:31.000]  但是有什麼好處啊
[00:05:31.000 --> 00:05:33.000]  有什麼了不起啊
[00:05:33.000 --> 00:05:34.000]  所以聖經教導我們
[00:05:34.000 --> 00:05:37.000]  要愛那些不值得我們愛的人
[00:05:37.000 --> 00:05:38.000]  聖經教導我們
[00:05:38.000 --> 00:05:39.000]  要快快的說
[00:05:39.000 --> 00:05:40.000]  慢慢的聽
[00:05:40.000 --> 00:05:41.000]  慢慢的動腦
[00:05:41.000 --> 00:05:42.000]  聖經教導我們
[00:05:42.000 --> 00:05:44.000]  要做一個誠實無過的人
[00:05:44.000 --> 00:05:45.000]  聖經教導我們
[00:05:45.000 --> 00:05:47.000]  要尊重那些在位掌權的
[00:05:47.000 --> 00:05:49.000]  特別是那些佛、惡、賞、善的神宰
[00:05:49.000 --> 00:05:50.000]  Right?
[00:05:50.000 --> 00:05:51.000]  有沒有聽過這些聖經的教導
[00:05:51.000 --> 00:05:52.000]  We do, we all do
[00:05:52.000 --> 00:05:53.000]  所以我剛纔說
[00:05:53.000 --> 00:05:56.000]  如果我們真的好像這些調查問卷
[00:05:56.000 --> 00:05:58.000]  所形容的基督徒這樣的時候
[00:05:58.000 --> 00:06:00.000]  如果我們是其中一份子
[00:06:00.000 --> 00:06:01.000]  或者在某一個時間
[00:06:01.000 --> 00:06:03.000]  我們做過類似的事情的話
[00:06:03.000 --> 00:06:05.000]  天父上帝憐憫我們
[00:06:05.000 --> 00:06:06.000]  聖安令感動我們
[00:06:06.000 --> 00:06:08.000]  我們每一個人都需要來到聖安令面前
[00:06:08.000 --> 00:06:10.000]  好好去懺悔去認罪
[00:06:10.000 --> 00:06:12.000]  求聖憐憫我們
[00:06:12.000 --> 00:06:13.000]  耶穌基督告訴我們
[00:06:13.000 --> 00:06:15.000]  在聖經當中有很多法利塞人
[00:06:15.000 --> 00:06:18.000]  我們稱之爲假冒爲善
[00:06:18.000 --> 00:06:20.000]  他們有敬虔的外貌
[00:06:20.000 --> 00:06:21.000]  是沒有了敬虔的實意
[00:06:21.000 --> 00:06:23.000]  我相信天父上帝一點都不開心
[00:06:23.000 --> 00:06:25.000]  見到我們今天的教會
[00:06:25.000 --> 00:06:27.000]  變成類似當日這樣的人一樣
[00:06:27.000 --> 00:06:29.000]  耶穌基督來到這個世界上
[00:06:29.000 --> 00:06:30.000]  完成這個救恩
[00:06:30.000 --> 00:06:31.000]  爲我們死
[00:06:31.000 --> 00:06:32.000]  釘在十字架上
[00:06:32.000 --> 00:06:33.000]  然後從死裏復活
[00:06:33.000 --> 00:06:34.000]  爲了什麼呢
[00:06:34.000 --> 00:06:35.000]  爲了要改變這個世界
[00:06:35.000 --> 00:06:37.000]  爲了要透過腳圖
[00:06:37.000 --> 00:06:39.000]  將正能量
[00:06:39.000 --> 00:06:41.000]  帶到這個已經是敗壞
[00:06:41.000 --> 00:06:43.000]  彎曲的世代當中
[00:06:43.000 --> 00:06:45.000]  這個是耶穌來的原因
[00:06:45.000 --> 00:06:47.000]  不僅是救你和救我
[00:06:47.000 --> 00:06:48.000]  還要救這個世界
[00:06:48.000 --> 00:06:50.000]  改變這個社會
[00:06:50.000 --> 00:06:53.000]  將正面的正面的能量
[00:06:53.000 --> 00:06:54.000]  帶到我們當中
[00:06:54.000 --> 00:06:56.000]  所以我們看回聖經
[00:06:56.000 --> 00:06:59.000]  今天我們看回教會初期的情況
[00:06:59.000 --> 00:07:00.000]  這段很熟悉的聖經
[00:07:00.000 --> 00:07:02.000]  當耶穌復活昇天之後
[00:07:02.000 --> 00:07:03.000]  耶穌臨升之前
[00:07:03.000 --> 00:07:05.000]  吩咐那些叛徒做什麼
[00:07:05.000 --> 00:07:06.000]  到處都不要去
[00:07:06.000 --> 00:07:07.000]  留在這裏失冷
[00:07:07.000 --> 00:07:09.000]  你們留在蛇路失冷
[00:07:09.000 --> 00:07:11.000]  等候聖靈的降臨
[00:07:11.000 --> 00:07:12.000]  然後到五旬節
[00:07:12.000 --> 00:07:13.000]  聖靈降臨了
[00:07:13.000 --> 00:07:15.000]  聖靈降臨在那個時間
[00:07:15.000 --> 00:07:17.000]  是一個很特別的時刻
[00:07:17.000 --> 00:07:19.000]  因爲是將猶太人
[00:07:19.000 --> 00:07:21.000]  帶入一個新的時代
[00:07:21.000 --> 00:07:23.000]  就是一個教會的時代
[00:07:23.000 --> 00:07:25.000]  所以當五旬節降臨的時候
[00:07:25.000 --> 00:07:27.000]  很特別
[00:07:27.000 --> 00:07:29.000]  聖經說有一個很大的響聲
[00:07:29.000 --> 00:07:30.000]  不知道怎麼形容
[00:07:30.000 --> 00:07:32.000]  像大風又不像大風
[00:07:32.000 --> 00:07:33.000]  總之很大的響聲
[00:07:33.000 --> 00:07:34.000]  大到什麼呢
[00:07:34.000 --> 00:07:36.000]  大到發生了什麼事
[00:07:36.000 --> 00:07:37.000]  發生了什麼事
[00:07:37.000 --> 00:07:39.000]  所有在蛇路失冷的人
[00:07:39.000 --> 00:07:40.000]  都要走出來看看
[00:07:40.000 --> 00:07:41.000]  到底發生了什麼事
[00:07:41.000 --> 00:07:42.000]  然後他們聚集到
[00:07:42.000 --> 00:07:44.000]  門徒的面前
[00:07:44.000 --> 00:07:46.000]  哇 聽到門徒
[00:07:46.000 --> 00:07:48.000]  竟然能夠講方言
[00:07:48.000 --> 00:07:50.000]  講他們自己生出來的說話
[00:07:50.000 --> 00:07:52.000]  聖經怎麼說
[00:07:52.000 --> 00:07:53.000]  聖經說
[00:07:53.000 --> 00:07:55.000]  是虔誠的猶太人
[00:07:55.000 --> 00:07:57.000]  從天下各國來
[00:07:57.000 --> 00:07:59.000]  住在耶路撒冷過節
[00:07:59.000 --> 00:08:00.000]  是守節的這羣人
[00:08:00.000 --> 00:08:02.000]  所以是很虔誠的猶太人
[00:08:02.000 --> 00:08:03.000]  這個聲音響
[00:08:03.000 --> 00:08:05.000]  衆人就都來聚集
[00:08:05.000 --> 00:08:06.000]  各人聽見門徒
[00:08:06.000 --> 00:08:08.000]  用衆人的香談說話
[00:08:08.000 --> 00:08:10.000]  就岑納門都驚訝
