
[00:00:00.000 --> 00:00:04.860]  非常感恩可以在新的一年開始跟大家分享整個話語
[00:00:04.860 --> 00:00:07.900]  大家有沒有留意到2022年有一個很特別的
[00:00:07.900 --> 00:00:11.300]  1月1日是西曆新年
[00:00:11.300 --> 00:00:13.300]  農曆新年是什麼時候呢?
[00:00:13.300 --> 00:00:15.700]  是2月1日
[00:00:15.700 --> 00:00:17.600]  還有一樣很特別的
[00:00:17.600 --> 00:00:21.600]  2月是唐曆和西曆的日子完全是一樣的
[00:00:21.600 --> 00:00:24.600]  2月1日是第一天
[00:00:24.600 --> 00:00:28.200]  但是年初一也是2月1日
[00:00:28.400 --> 00:00:30.600]  還有2月14日大家都很熟悉的
[00:00:30.600 --> 00:00:32.300]  就是情人節
[00:00:32.300 --> 00:00:35.000]  中國也有一個情人節
[00:00:35.000 --> 00:00:36.500]  就是元宵佳節
[00:00:36.500 --> 00:00:39.600]  就是在2月15日兩天黏在一起的
[00:00:39.600 --> 00:00:42.300]  大家也知道在新年的時候
[00:00:42.300 --> 00:00:46.000]  很多人會去廟宇祈福
[00:00:46.000 --> 00:00:48.100]  求家賊平安
[00:00:48.100 --> 00:00:50.100]  求事業順利
[00:00:50.100 --> 00:00:52.600]  但是我們很清楚知道
[00:00:52.600 --> 00:00:56.500]  原來我們也需要將一年之計
[00:00:56.500 --> 00:00:57.800]  座於春
[00:00:58.000 --> 00:01:00.700]  一日之計就座於神
[00:01:00.700 --> 00:01:02.700]  這個是很重要的
[00:01:02.700 --> 00:01:05.200]  但是這個神你要記住
[00:01:05.200 --> 00:01:07.800]  是我們所相信的神
[00:01:07.800 --> 00:01:11.400]  我們有沒有每一天起床的時候就跟神說
[00:01:11.400 --> 00:01:13.800]  神啊,我願意將今天交託給祢
[00:01:13.800 --> 00:01:15.700]  願意祢來祝福我
[00:01:15.700 --> 00:01:16.800]  帶領著我
[00:01:16.800 --> 00:01:19.900]  我們也會向神禱告
[00:01:19.900 --> 00:01:22.900]  往往我們會為了我們的健康
[00:01:22.900 --> 00:01:24.200]  為了我們的事業
[00:01:24.200 --> 00:01:25.700]  為了我們兒女的學業
[00:01:25.700 --> 00:01:26.900]  感情去禱告
[00:01:26.900 --> 00:01:28.300]  這是沒有錯的
