
[00:00:00.000 --> 00:00:02.880]  我們會繼續來看尼希米記
[00:00:02.880 --> 00:00:04.600]  今次是第七講
[00:00:04.600 --> 00:00:07.480]  就是致卻敵忌
[00:00:07.480 --> 00:00:10.680]  我們都知道如果我們爲神來做事
[00:00:10.680 --> 00:00:14.920]  魔鬼一定不會喜歡的
[00:00:14.920 --> 00:00:18.680]  它就會用很多方法去破壞我們
[00:00:18.680 --> 00:00:20.760]  如果我們看回尼希米
[00:00:20.760 --> 00:00:23.080]  他自己有一個愛國的心
[00:00:23.080 --> 00:00:26.640]  他在感動底下呼求神
[00:00:26.640 --> 00:00:28.800]  神就帶領着他
[00:00:28.800 --> 00:00:31.040]  他就回到自己的故鄉里面
[00:00:31.040 --> 00:00:34.040]  去幫助他們那幫子民
[00:00:34.040 --> 00:00:35.680]  重建他們的城牆
[00:00:35.680 --> 00:00:38.040]  讓他們有一個較爲安全的生活
[00:00:38.040 --> 00:00:39.320]  他們都是去面對的
[00:00:39.320 --> 00:00:40.800]  但是我們看過
[00:00:40.800 --> 00:00:43.720]  他是包圍着他們四面受敵的
[00:00:43.720 --> 00:00:46.120]  很多的阿拉伯人
[00:00:46.120 --> 00:00:49.080]  對他們是非常的不好
[00:00:49.080 --> 00:00:52.400]  我們也看過敵人怎麼來攻擊他們
[00:00:52.400 --> 00:00:54.760]  用言語侮辱他們
[00:00:54.760 --> 00:00:56.960]  說你們這幫弱勢的人
[00:00:56.960 --> 00:00:58.960]  做什麼東西有段時間你也做不了
[00:00:58.960 --> 00:01:00.360]  你做也沒有用
[00:01:00.360 --> 00:01:01.760]  狐狸跳上去
[00:01:01.760 --> 00:01:03.320]  那幅牆也會倒下
[00:01:03.320 --> 00:01:05.720]  也恐嚇他們
[00:01:05.720 --> 00:01:08.760]  甚至派人混入他們當中
[00:01:08.760 --> 00:01:10.960]  來帶他們去做破壞的工作
[00:01:10.960 --> 00:01:12.240]  要殺害一些人
[00:01:12.240 --> 00:01:15.880]  讓他們來帶他們去怕、恐懼
[00:01:15.880 --> 00:01:19.120]  就令到重建工程停頓
[00:01:19.120 --> 00:01:20.880]  但是我們看到尼希米
[00:01:20.880 --> 00:01:23.040]  是專心仰望神
