
[00:00:00.000 --> 00:00:01.640]  集中姐妹平安
[00:00:01.640 --> 00:00:06.780]  讓我們一起來看這一段的經文
[00:00:06.780 --> 00:00:08.800]  聖靈所結的果子是
[00:00:08.800 --> 00:00:14.920]  仁愛 喜樂 和平 忍耐 恩慈 良善 信實 溫柔 潔淨
[00:00:14.920 --> 00:00:17.620]  這樣的事沒有律法禁止
[00:00:17.620 --> 00:00:18.900]  那麼
[00:00:18.900 --> 00:00:22.620]  我們今天要一起來看這個
[00:00:22.620 --> 00:00:24.600]  聖靈果子的系列
[00:00:24.600 --> 00:00:27.800]  就是多結仁愛的果子
[00:00:27.800 --> 00:00:31.400]  我們先去到我們的powerpoint那裏
[00:00:31.400 --> 00:00:35.400]  那麼我不知道你們有沒有聽過一首歌叫做
[00:00:35.400 --> 00:00:37.000]  愛要怎麼說
[00:00:37.000 --> 00:00:38.200]  你們聽過嗎
[00:00:38.200 --> 00:00:39.520]  誰唱的啊
[00:00:39.520 --> 00:00:41.960]  是伍思凱啊
[00:00:41.960 --> 00:00:46.280]  你答錯了就是說你比我年輕啊
[00:00:46.280 --> 00:00:49.480]  你答對了就是跟我一樣年輕
[00:00:49.480 --> 00:00:53.120]  那麼愛呢是一個我們很熟悉的題目對不對
[00:00:53.120 --> 00:00:55.680]  愛呢也是一個很陌生的題目
[00:00:55.680 --> 00:00:59.080]  愛是一個我們一生都說不完的題目
[00:00:59.080 --> 00:01:01.760]  我們在我們的生命裏面
[00:01:01.760 --> 00:01:04.920]  有很多關於愛的功課要學習的
[00:01:04.920 --> 00:01:07.800]  那麼剛才這段經文呢
[00:01:07.800 --> 00:01:11.640]  我們這個系列要講聖靈所結的果子
[00:01:11.640 --> 00:01:13.480]  我希望我們能夠
[00:01:13.480 --> 00:01:16.320]  我們能夠在這個系列的經文裏面呢
[00:01:16.320 --> 00:01:19.120]  弟兄姐妹從聖經的這
[00:01:19.120 --> 00:01:20.960]  聖靈的果子裏面呢
[00:01:20.960 --> 00:01:24.800]  學會九個特別愛的特徵
[00:01:24.800 --> 00:01:26.600]  聖靈的特徵
[00:01:26.600 --> 00:01:29.640]  讓我們生命呢有聖靈的樣式
[00:01:29.640 --> 00:01:32.120]  那麼今天呢我的講道呢
[00:01:32.120 --> 00:01:34.920]  是要提三個重點
[00:01:34.920 --> 00:01:37.160]  就是第一呢我要跟大家分享
[00:01:37.160 --> 00:01:38.800]  什麼是愛的定義
[00:01:38.800 --> 00:01:41.320]  第二呢我要跟大家談談
[00:01:41.320 --> 00:01:43.600]  愛為什麼這麼難
[00:01:43.600 --> 00:01:47.720]  第三呢就是愛要怎麼樣來實踐
[00:01:47.720 --> 00:01:51.680]  那麼我先看這個愛的定義
[00:01:51.680 --> 00:01:55.600]  其實我想到這個愛呢 我想到
[00:01:55.600 --> 00:01:57.800]  一件事情就是我的體會
[00:01:57.800 --> 00:02:00.440]  我的體會呢就讓我發現
[00:02:00.440 --> 00:02:03.320]  我們不必在很遠的地方找到愛
[00:02:03.320 --> 00:02:06.280]  我想到我自己有一次回新加坡呢
[00:02:06.280 --> 00:02:08.960]  那麼我媽媽就剛剛信了主
[00:02:08.960 --> 00:02:10.160]  信了耶穌
[00:02:10.160 --> 00:02:11.360]  信了耶穌呢
[00:02:11.360 --> 00:02:13.680]  有一天我特別早起身
[00:02:13.680 --> 00:02:14.960]  很早起身呢
[00:02:14.960 --> 00:02:20.240]  我就聽到在廚房有聲音
[00:02:20.240 --> 00:02:22.480]  比較早起身呢還是比較暗的
[00:02:22.480 --> 00:02:24.320]  我就偷偷走過去
[00:02:24.320 --> 00:02:26.440]  看到我媽媽原來是在禱告
[00:02:26.440 --> 00:02:28.200]  我媽媽第一次信主
[00:02:28.200 --> 00:02:30.160]  我第一次看到我媽媽在禱告
[00:02:30.160 --> 00:02:31.720]  我覺得蠻有意思的
[00:02:31.720 --> 00:02:34.600]  那麼我就做了一件很不道德的事
[00:02:34.600 --> 00:02:37.000]  我就走過去聽她禱告什麼
[00:02:37.000 --> 00:02:39.240]  我很好奇我媽媽在禱告什麼
[00:02:39.240 --> 00:02:41.680]  想聽聽我媽媽剛剛信主禱告什麼
[00:02:41.680 --> 00:02:44.600]  原來她在為我禱告
[00:02:44.600 --> 00:02:46.000]  她在為我禱告
[00:02:46.000 --> 00:02:48.080]  我深深感受到那一份愛
[00:02:48.080 --> 00:02:51.240]  那後來我跟她談話的時候發現原來
[00:02:51.240 --> 00:02:54.360]  她每一天早上都是這樣在為我禱告
[00:02:54.360 --> 00:02:56.640]  她信主之後的那幾個月
[00:02:56.640 --> 00:02:59.120]  她每一天早上都是這樣為我禱告
[00:02:59.120 --> 00:03:02.040]  我就發現原來我們如果留意身邊的人
[00:03:02.040 --> 00:03:04.880]  為我們所做的一些事情呢
[00:03:04.880 --> 00:03:07.080]  原來我們不必去很遠的地方
[00:03:07.080 --> 00:03:08.960]  都已經可以找到愛
[00:03:08.960 --> 00:03:11.480]  那麼我們講回這個愛的定義
[00:03:11.480 --> 00:03:12.560]  愛的定義呢
[00:03:12.560 --> 00:03:14.240]  這段經文裡面呢
[00:03:14.240 --> 00:03:16.520]  它是用agape這個字
[00:03:16.520 --> 00:03:19.720]  那麼我需要跟弟兄姊妹解釋一下
[00:03:19.720 --> 00:03:21.640]  在新約聖經裡面呢
[00:03:21.640 --> 00:03:25.280]  它用了兩個希臘文的字來表達愛
[00:03:25.280 --> 00:03:26.200]  這個意思
[00:03:26.200 --> 00:03:27.800]  一個是agape
[00:03:27.800 --> 00:03:29.360]  一個是phileo
[00:03:29.360 --> 00:03:31.680]  那麼phileo呢
[00:03:31.680 --> 00:03:35.440]  一般的理解是弟兄之間的愛
[00:03:35.440 --> 00:03:37.040]  也是一種深厚的愛
[00:03:37.040 --> 00:03:39.280]  就是弟兄那種的忠誠
[00:03:39.280 --> 00:03:41.160]  那種的愛
