
[00:00:00.000 --> 00:00:07.000]  我和大家來分享的題目是《耶穌之後的北方以色列上》。
[00:00:07.000 --> 00:00:13.000]  今天要和大家分享的題目是《耶穌之後的北方以色列第三章》。
[00:00:13.000 --> 00:00:19.000]  那一期節目我和大家研究的是列王紀,是歷史書來的。
[00:00:19.000 --> 00:00:23.000]  我和大家研究的列王紀是歷史書。
[00:00:23.000 --> 00:00:26.000]  歷史書是不容易讀的。
[00:00:26.000 --> 00:00:28.000]  歷史書是不容易讀的。
[00:00:28.000 --> 00:00:31.000]  但是如果你讀了之後,就很有味道了。
[00:00:31.000 --> 00:00:34.000]  但是如果讀了以後,你就會發現很有味道了。
[00:00:34.000 --> 00:00:40.000]  因爲如果你想知道一件事情的來龍去脈,
[00:00:40.000 --> 00:00:45.000]  一定要知道事情的先後次序和發生了什麼。
[00:00:45.000 --> 00:00:49.000]  就一定要知道前後所發生的事情。
[00:00:49.000 --> 00:00:51.000]  所以列王紀是一本這樣的書。
[00:00:51.000 --> 00:00:54.000]  列王紀就是這樣一本書。
[00:00:54.000 --> 00:01:03.000]  但是讀者不是我們今天21世紀在加拿大的中國人。
[00:01:03.000 --> 00:01:06.000]  不是我們在加拿大的中國人。
[00:01:06.000 --> 00:01:09.000]  是祕魯之後的猶太人。
[00:01:09.000 --> 00:01:12.000]  是祕魯之後的猶太人。
[00:01:12.000 --> 00:01:14.000]  你聽到這些名字,祕魯。
[00:01:14.000 --> 00:01:17.000]  你聽到這個名字,就是貝魯。
[00:01:17.000 --> 00:01:19.000]  什麼叫貝魯?
[00:01:19.000 --> 00:01:21.000]  什麼叫貝魯?
[00:01:21.000 --> 00:01:24.000]  列王紀就交代了祕魯這件事。
[00:01:24.000 --> 00:01:27.000]  列王紀就會交代貝魯這件事。
[00:01:27.000 --> 00:01:29.000]  所以他等於說,我是基督徒,我要讀聖經。
[00:01:29.000 --> 00:01:33.000]  我們是基督徒,我們要讀聖經。
[00:01:33.000 --> 00:01:35.000]  聖經是給祕魯後的猶太人。
[00:01:35.000 --> 00:01:38.000]  聖經是給貝魯後的猶太人。
[00:01:38.000 --> 00:01:43.000]  那個叫Primary Audience,是第一個讀者來的。
[00:01:43.000 --> 00:01:45.000]  他是他們第一個讀者。
[00:01:45.000 --> 00:01:48.000]  那麼第一個讀者有什麼心態,你不知道的時候,你讀這本聖經呢?
[00:01:48.000 --> 00:01:52.000]  那麼第一個讀者有什麼心態,你不知道的時候,你讀這本聖經呢?
[00:01:52.000 --> 00:01:53.000]  沒有什麼味道。
[00:01:53.000 --> 00:01:54.000]  沒有什麼味道。
[00:01:54.000 --> 00:01:56.000]  所以列王紀是幫助我們去明白,
[00:01:56.000 --> 00:01:57.000]  所以列王紀是幫助我們去明白,
[00:01:57.000 --> 00:01:59.000]  祕魯是一回什麼事。
[00:01:59.000 --> 00:02:02.000]  列王紀是幫助我們去明白,
[00:02:02.000 --> 00:02:04.000]  貝魯是怎麼一回事。
[00:02:04.000 --> 00:02:05.000]  但是列王紀一路說的是,
[00:02:05.000 --> 00:02:06.000]  但是列王紀一路說的是,
[00:02:06.000 --> 00:02:07.000]  在貝魯之前已識列國,
[00:02:07.000 --> 00:02:08.000]  在貝魯之前已識列國,
[00:02:08.000 --> 00:02:10.000]  一路蒙上帝的恩典。
[00:02:10.000 --> 00:02:11.000]  就是,
[00:02:11.000 --> 00:02:13.000]  列王紀上是講,
[00:02:13.000 --> 00:02:18.000]  貝魯之前已識列國,一路蒙上帝的恩典。
[00:02:18.000 --> 00:02:22.000]  但是以色列人一路不聽上帝的話。
[00:02:22.000 --> 00:02:25.000]  但是以色列人一路不聽上帝的話。
[00:02:25.000 --> 00:02:27.000]  所以有貝魯事情發生。
[00:02:27.000 --> 00:02:29.000]  所以纔有貝魯發生。
[00:02:29.000 --> 00:02:32.000]  現在我們是去到,
[00:02:32.000 --> 00:02:35.000]  我和大家一路分享了列王紀幾年了。
[00:02:35.000 --> 00:02:38.000]  我和大家分享列王紀已經好幾年時間了。
[00:02:38.000 --> 00:02:41.000]  來到耶穌這個王朝,
[00:02:41.000 --> 00:02:43.000]  來到耶穌這個王朝,
[00:02:43.000 --> 00:02:44.000]  是以色列國,
[00:02:44.000 --> 00:02:48.000]  不過以色列是亡國之前一個最大的王朝。
[00:02:48.000 --> 00:02:53.000]  這是在以色列亡國之前最大的一個王朝。
[00:02:53.000 --> 00:02:54.000]  也是以色列,
[00:02:54.000 --> 00:02:57.000]  不過以色列是最後一個安定期。
[00:02:57.000 --> 00:03:01.000]  也是不過以色列最後一個安定期。
[00:03:01.000 --> 00:03:03.000]  耶穌王朝一過之後,
[00:03:03.000 --> 00:03:05.000]  耶穌王朝一過之後,
[00:03:05.000 --> 00:03:12.000]  北國的政治就急轉直下,直到亡國了。
[00:03:12.000 --> 00:03:14.000]  北國的政治就急轉直下,
[00:03:14.000 --> 00:03:16.000]  馬上就會亡國。
[00:03:16.000 --> 00:03:23.000]  我叫黃師幫我印了一張insert,
[00:03:23.000 --> 00:03:26.000]  南北各自耶穌之後的軍王。
[00:03:26.000 --> 00:03:29.000]  所以我叫黃博士給我們印了一個插頁,
[00:03:29.000 --> 00:03:33.000]  題目是南北各自耶穌之後的軍王。
[00:03:33.000 --> 00:03:38.000]  大家留意我的年份是全部主前。
[00:03:38.000 --> 00:03:42.000]  大家留意主前,
[00:03:42.000 --> 00:03:46.000]  數目越大就越早。
[00:03:46.000 --> 00:03:51.000]  數目越大就越近我們現在。
[00:03:51.000 --> 00:03:54.000]  數目越大就越近我們現在。
[00:03:54.000 --> 00:03:57.000]  我們現在是主後,
[00:03:57.000 --> 00:04:00.000]  今年是2014年,
[00:04:00.000 --> 00:04:03.000]  1997年比2014年早,對不對?
[00:04:03.000 --> 00:04:06.000]  1997年比2014年早。
[00:04:06.000 --> 00:04:09.000]  所以數目越大就越後了。
[00:04:09.000 --> 00:04:11.000]  數目越大就越後了。
[00:04:11.000 --> 00:04:12.000]  主前呢?
[00:04:12.000 --> 00:04:14.000]  主前是倒數。
[00:04:14.000 --> 00:04:16.000]  數目越大就越之前。
[00:04:16.000 --> 00:04:18.000]  數目越大就越前。
[00:04:18.000 --> 00:04:21.000]  大家留意我的insert,
[00:04:21.000 --> 00:04:24.000]  耶穌是841年作王。
[00:04:24.000 --> 00:04:26.000]  大家留意我的insert,
[00:04:26.000 --> 00:04:29.000]  耶穌是841年作王。
[00:04:29.000 --> 00:04:34.000]  和西亞王是722年亡國。
[00:04:34.000 --> 00:04:38.000]  和西亞王是722年亡國。
[00:04:38.000 --> 00:04:40.000]  我想考考大家的算術。
[00:04:40.000 --> 00:04:43.000]  841-722是多少?
[00:04:43.000 --> 00:04:46.000]  841-722是多少?
[00:04:46.000 --> 00:04:49.000]  差不多,119,對不對?
[00:04:49.000 --> 00:04:51.000]  119年,119年。
[00:04:51.000 --> 00:04:53.000]  也就是說,100多年後呢?
[00:04:53.000 --> 00:04:57.000]  100多年後就亡國了。
[00:04:57.000 --> 00:04:59.000]  你看到耶羅邦的遺世嗎?
[00:04:59.000 --> 00:05:02.000]  你看到耶羅邦的遺世嗎?
[00:05:02.000 --> 00:05:04.000]  是最長時間的。
[00:05:04.000 --> 00:05:05.000]  是最長時間的。
[00:05:05.000 --> 00:05:07.000]  是最後一個繁榮的時間。
[00:05:07.000 --> 00:05:09.000]  是最後一個繁榮的時間。
[00:05:09.000 --> 00:05:10.000]  之後呢?
[00:05:10.000 --> 00:05:11.000]  之後呢?
[00:05:11.000 --> 00:05:12.000]  那些君王呢?
[00:05:12.000 --> 00:05:13.000]  那些君王呢?
[00:05:13.000 --> 00:05:14.000]  那些君王呢?
[00:05:14.000 --> 00:05:15.000]  6個月還是1個月呢?
[00:05:15.000 --> 00:05:16.000]  6個月還是1個月呢?
[00:05:16.000 --> 00:05:17.000]  6個月還是1個月呢?
[00:05:17.000 --> 00:05:18.000]  6個月還是1個月呢?
[00:05:18.000 --> 00:05:19.000]  6個月還是1個月呢?
[00:05:19.000 --> 00:05:20.000]  就是6個月還是1個月呢?
[00:05:20.000 --> 00:05:22.000]  就是6個月還是1個月呢?
[00:05:22.000 --> 00:05:23.000]  就是6個月還是1個月呢?
[00:05:23.000 --> 00:05:24.000]  很快就亡國了。
[00:05:24.000 --> 00:05:26.000]  很快就亡國了。
[00:05:26.000 --> 00:05:28.000]  所以耶悟這個王朝,
[00:05:28.000 --> 00:05:30.000]  所以耶悟這個王朝,
[00:05:30.000 --> 00:05:31.000]  是有4代,
[00:05:31.000 --> 00:05:32.000]  是有4代,
[00:05:32.000 --> 00:05:34.000]  是上帝答應他,
[00:05:34.000 --> 00:05:35.000]  是上帝答應他,
[00:05:35.000 --> 00:05:37.000]  連他老人家打下來是4代作王。
[00:05:37.000 --> 00:05:38.000]  連他老人家打下來是4代作王。
[00:05:38.000 --> 00:05:39.000]  包括他有4代作王。
[00:05:39.000 --> 00:05:40.000]  包括他有4代作王。
[00:05:40.000 --> 00:05:42.000]  這4爺孫的名字都寫在這裏了。
[00:05:42.000 --> 00:05:43.000]  這4爺孫的名字都寫在這裏了。
[00:05:43.000 --> 00:05:45.000]  他們的名字已經寫在這裏了。
[00:05:45.000 --> 00:05:46.000]  他們的名字已經寫在這裏了。
[00:05:46.000 --> 00:05:47.000]  上帝答應耶悟是在第10章的。
[00:05:47.000 --> 00:05:49.000]  上帝答應耶悟是在第10章的。
[00:05:49.000 --> 00:05:56.000]  上帝答應耶悟是在第10章的。
[00:05:56.000 --> 00:06:24.000]  上帝答應耶悟是在第10章的。
[00:06:24.000 --> 00:06:26.000]  上帝答應耶悟是在第10章的。
[00:06:26.000 --> 00:06:28.000]  上帝答應耶悟是在第10章的。
[00:06:28.000 --> 00:06:29.000]  上帝答應耶悟是在第10章的。
[00:06:29.000 --> 00:06:31.000]  上帝答應耶悟是在第10章的。
[00:06:31.000 --> 00:06:32.000]  上帝答應耶悟是在第10章的。
[00:06:32.000 --> 00:06:33.000]  上帝答應耶悟是在第10章的。
[00:06:33.000 --> 00:06:34.000]  上帝答應耶悟是在第10章的。
[00:06:34.000 --> 00:06:35.000]  上帝答應耶悟是在第10章的。
[00:06:35.000 --> 00:06:36.000]  上帝答應耶悟是在第10章的。
[00:06:36.000 --> 00:06:37.000]  上帝答應耶悟是在第10章的。
[00:06:37.000 --> 00:06:38.000]  上帝答應耶悟是在第10章的。
[00:06:38.000 --> 00:06:39.000]  上帝答應耶悟是在第10章的。
[00:06:39.000 --> 00:06:59.000]  上帝答應耶悟是在第10章的。
