
[00:00:00.000 --> 00:00:06.000]  葛珮帆議員
[00:00:30.000 --> 00:00:36.000]  主席
[00:01:00.000 --> 00:01:06.000]  主席
[00:01:30.000 --> 00:01:36.000]  張華峰議員
[00:02:00.000 --> 00:02:06.000]  主席
[00:02:30.000 --> 00:02:36.000]  主席
[00:03:00.000 --> 00:03:06.000]  主席
[00:03:30.000 --> 00:03:36.000]  張華峰議員
[00:04:00.000 --> 00:04:06.000]  主席
[00:04:30.000 --> 00:04:36.000]  張華峰議員
[00:05:00.000 --> 00:05:06.000]  主席
[00:05:30.000 --> 00:05:36.000]  張華峰議員
[00:06:00.000 --> 00:06:06.000]  主席
[00:06:30.000 --> 00:06:36.000]  莫乃光議員
[00:07:00.000 --> 00:07:06.000]  主席
[00:07:30.000 --> 00:07:36.000]  主席
[00:08:00.000 --> 00:08:06.000]  張華峰議員
[00:08:30.000 --> 00:08:36.000]  主席
[00:09:00.000 --> 00:09:06.000]  張華峰議員
[00:09:30.000 --> 00:09:36.000]  主席
[00:10:00.000 --> 00:10:06.000]  主席
[00:10:30.000 --> 00:10:36.000]  張華峰議員
[00:11:00.000 --> 00:11:06.000]  主席
[00:11:30.000 --> 00:11:36.000]  張華峰議員
[00:12:01.000 --> 00:12:07.000]  主席
[00:12:30.000 --> 00:12:36.000]  張華峰議員
[00:13:00.000 --> 00:13:06.000]  主席
[00:13:30.000 --> 00:13:36.000]  張華峰議員
[00:14:00.000 --> 00:14:06.000]  主席
[00:14:30.000 --> 00:14:36.000]  主席
[00:15:00.000 --> 00:15:06.000]  張華峰議員
[00:15:30.000 --> 00:15:36.000]  主席
[00:16:00.000 --> 00:16:06.000]  主席
[00:16:30.000 --> 00:16:36.000]  張華峰議員
[00:17:00.000 --> 00:17:06.000]  主席
[00:17:25.000 --> 00:17:31.000]  主席
[00:17:56.000 --> 00:18:02.000]  張華峰議員
[00:18:26.000 --> 00:18:32.000]  主席
[00:18:56.000 --> 00:19:02.000]  張華峰議員
[00:19:26.000 --> 00:19:32.000]  主席
[00:19:56.000 --> 00:20:02.000]  張華峰議員
[00:20:26.000 --> 00:20:32.000]  主席
[00:20:56.000 --> 00:21:02.000]  張華峰議員
[00:21:26.000 --> 00:21:32.000]  主席
[00:21:56.000 --> 00:22:02.000]  張華峰議員
[00:22:26.000 --> 00:22:32.000]  張華峰議員
[00:22:56.000 --> 00:23:02.000]  張華峰議員
[00:23:26.000 --> 00:23:32.000]  張華峰議員
[00:23:56.000 --> 00:24:02.000]  張華峰議員
[00:24:26.000 --> 00:24:32.000]  張華峰議員
[00:24:56.000 --> 00:25:02.000]  張華峰議員
[00:25:26.000 --> 00:25:32.000]  張華峰議員
[00:25:56.000 --> 00:26:02.000]  主席
[00:26:26.000 --> 00:26:32.000]  張華峰議員
[00:26:56.000 --> 00:27:02.000]  張華峰議員
[00:27:26.000 --> 00:27:32.000]  張華峰議員
[00:27:56.000 --> 00:28:02.000]  張華峰議員
[00:28:26.000 --> 00:28:32.000]  主席
[00:28:56.000 --> 00:29:02.000]  張華峰議員
[00:29:26.000 --> 00:29:32.000]  主席
[00:29:56.000 --> 00:30:02.000]  張華峰議員
[00:30:26.000 --> 00:30:32.000]  張華峰議員
[00:30:56.000 --> 00:31:02.000]  何秀蘭議員
[00:31:26.000 --> 00:31:32.000]  何秀蘭議員
[00:31:56.000 --> 00:32:02.000]  何秀蘭議員
[00:32:26.000 --> 00:32:32.000]  何秀蘭議員
[00:32:56.000 --> 00:33:02.000]  何秀蘭議員
[00:33:26.000 --> 00:33:32.000]  何秀蘭議員
[00:33:56.000 --> 00:34:02.000]  何秀蘭議員
[00:34:26.000 --> 00:34:32.000]  何秀蘭議員
[00:34:56.000 --> 00:35:02.000]  何秀蘭議員
[00:35:26.000 --> 00:35:32.000]  何秀蘭議員
[00:35:56.000 --> 00:36:02.000]  何秀蘭議員
[00:36:26.000 --> 00:36:32.000]  何秀蘭議員
[00:36:56.000 --> 00:37:02.000]  何秀蘭議員
[00:37:26.000 --> 00:37:32.000]  何秀蘭議員
[00:37:56.000 --> 00:38:02.000]  主席
