
[00:00:00.000 --> 00:00:03.280]  齊家那裡我會很快地講的
[00:00:03.280 --> 00:00:07.680]  因為剛才也講到很多夫婦之間的相處之道
[00:00:07.680 --> 00:00:09.540]  夫婦之間的相處之道
[00:00:09.540 --> 00:00:14.540]  那麼我今年結婚多少年呢?
[00:00:14.540 --> 00:00:15.960]  今天結婚多少年呢?
[00:00:15.960 --> 00:00:17.720]  我想特別提醒一些男士
[00:00:17.720 --> 00:00:19.340]  提醒男士喔
[00:00:19.340 --> 00:00:22.380]  你太太的生日
[00:00:22.380 --> 00:00:23.900]  太太的生日
[00:00:23.900 --> 00:00:25.940]  絕對不可以忘記的
[00:00:25.940 --> 00:00:27.240]  絕對不能忘記的
[00:00:28.240 --> 00:00:31.700]  你們的結婚紀念日
[00:00:31.700 --> 00:00:33.380]  你們結婚的紀念日呢?
[00:00:33.380 --> 00:00:34.580]  可能你很想忘記
[00:00:34.580 --> 00:00:35.580]  但是你都不可以忘記
[00:00:35.580 --> 00:00:36.880]  可能你想很想忘記
[00:00:36.880 --> 00:00:38.380]  但是你不能忘記
[00:00:38.380 --> 00:00:40.300]  如果你忘記了的時候
[00:00:40.300 --> 00:00:41.080]  你就很糟糕了
[00:00:41.080 --> 00:00:43.300]  如果你忘記了就很慘了
[00:00:43.300 --> 00:00:47.840]  那麼我是1980年結婚的
[00:00:47.840 --> 00:00:49.760]  牧師是1980年結婚
[00:00:49.760 --> 00:00:51.220]  我已經結婚四十多年了
[00:00:51.220 --> 00:00:52.300]  四十多年的婚姻生活
[00:00:52.300 --> 00:00:53.800]  但是我們的關係非常好
[00:00:53.800 --> 00:00:55.020]  關係非常的好
[00:00:55.020 --> 00:00:58.520]  那麼我又要他講一個最新的見證了
[00:00:58.520 --> 00:00:59.900]  最新的見證是
[00:00:59.900 --> 00:01:02.480]  我剛才講我太太有同事在曼徹斯特來了
[00:01:02.480 --> 00:01:05.520]  那麼今天現在和他們去參觀一下
[00:01:05.520 --> 00:01:07.700]  在Redding的一個地方
[00:01:07.700 --> 00:01:08.440]  我們喜歡看
[00:01:08.440 --> 00:01:09.700]  他的同事喜歡看古董
