
[00:00:00.000 --> 00:00:06.000]  大家有沒有試過買東西的時候
[00:00:06.000 --> 00:00:08.000]  遇到一些假貨
[00:00:08.000 --> 00:00:10.000]  買到一些假貨或者買到一些次貨呢?
[00:00:10.000 --> 00:00:15.000]  以下我想給大家看一些名牌圖片
[00:00:15.000 --> 00:00:19.000]  看看大家能不能夠分辨到真假
[00:00:19.000 --> 00:00:21.000]  大家有沒有試過在買東西的時候
[00:00:21.000 --> 00:00:23.000]  買到了假貨或者次等貨呢?
[00:00:23.000 --> 00:00:27.000]  以下我有一些名牌或奢侈品的圖片
[00:00:27.000 --> 00:00:29.000]  看一下大家能不能分辨出真假
[00:00:30.000 --> 00:00:32.000]  第一幅
[00:00:32.000 --> 00:00:35.000]  為什麼這麼快有呢?
[00:00:35.000 --> 00:00:38.000]  按鍵按得太快了
[00:00:38.000 --> 00:00:41.000]  大家都看到了
[00:00:41.000 --> 00:00:43.000]  大家也看到了
[00:00:43.000 --> 00:00:47.000]  左邊是假,右邊是真
[00:00:47.000 --> 00:00:50.000]  第二幅就不要按得太快了
[00:00:50.000 --> 00:00:56.000]  是女士喜歡的包包
[00:00:56.000 --> 00:01:00.000]  第二幅是女士們會喜歡的手提包
[00:01:00.000 --> 00:01:03.000]  大家猜一下
[00:01:03.000 --> 00:01:05.000]  答案就是
[00:01:05.000 --> 00:01:08.000]  左邊是假,右邊是真
[00:01:08.000 --> 00:01:13.000]  其實也很難分辨
[00:01:13.000 --> 00:01:15.000]  其實也很難分辨得出來
[00:01:15.000 --> 00:01:20.000]  第三組圖片就是男士很喜歡的名牌手錶
[00:01:20.000 --> 00:01:22.000]  怎樣分真假呢?
[00:01:22.000 --> 00:01:25.000]  第三組就是男士們很喜歡的名牌手錶
[00:01:25.000 --> 00:01:27.000]  怎樣分辨是真假呢?
[00:01:27.000 --> 00:01:29.000]  答案是什麼呢?
[00:01:29.000 --> 00:01:30.000]  哪個才是真呢?
[00:01:30.000 --> 00:01:32.000]  其實看起來都一樣
[00:01:32.000 --> 00:01:33.000]  答案是什麼呢?
[00:01:33.000 --> 00:01:36.000]  看起來很像一樣的
[00:01:36.000 --> 00:01:38.000]  左邊是真的,看一下
[00:01:38.000 --> 00:01:40.000]  左邊是真的
[00:01:40.000 --> 00:01:46.000]  左邊是真的,右邊是假的
[00:01:46.000 --> 00:01:48.000]  左邊是真的,右邊是假的
[00:01:48.000 --> 00:01:52.000]  現在AI年代已到
[00:01:52.000 --> 00:01:57.000]  越來越令到世界很難分辨真假的事
[00:01:57.000 --> 00:01:59.000]  甚至人也很難分辨
[00:01:59.000 --> 00:02:01.000]  如今AI的年代來臨
[00:02:01.000 --> 00:02:06.000]  更加讓世界出現越來越多難辨真假的事物以及人
[00:02:06.000 --> 00:02:11.000]  其實真假難辨的事不只是這些
[00:02:11.000 --> 00:02:13.000]  今天的經文告訴我們
[00:02:13.000 --> 00:02:16.000]  連信仰也有時候是真假難辨的
[00:02:16.000 --> 00:02:19.000]  其實真假難辨的事不止這些
[00:02:19.000 --> 00:02:21.000]  今天的經文也告訴我們
[00:02:21.000 --> 00:02:24.000]  有時候連信仰也是真假難辨的
[00:02:24.000 --> 00:02:27.000]  今天,我先弄個圖
[00:02:27.000 --> 00:02:30.000]  等一下,看著名錶好像不太好
[00:02:30.000 --> 00:02:33.000]  看著名錶好像不太好
[00:02:33.000 --> 00:02:37.000]  今天我講題是「真拿答般的奉獻」
[00:02:37.000 --> 00:02:40.000]  今天我講題是「真拿答般的奉獻」
[00:02:40.000 --> 00:02:43.000]  大家知不知道對傳道人牧師來說
[00:02:43.000 --> 00:02:45.000]  講奉獻是很難的
[00:02:45.000 --> 00:02:48.000]  其實大家知不知道對於牧師跟傳道人來說
[00:02:48.000 --> 00:02:50.000]  講奉獻是很難的
[00:02:50.000 --> 00:02:53.000]  今天就給我這個任務
[00:02:53.000 --> 00:02:55.000]  今天就給我這個任務
[00:02:55.000 --> 00:02:57.000]  因為講起奉獻
[00:02:57.000 --> 00:03:01.000]  大家心裡面應該就會有一句說話出來
[00:03:01.000 --> 00:03:02.000]  就是講這些
[00:03:02.000 --> 00:03:03.000]  因為說起奉獻
[00:03:03.000 --> 00:03:05.000]  大家心裡可能就會想起一句話
[00:03:05.000 --> 00:03:07.000]  講這些
[00:03:07.000 --> 00:03:10.000]  但是奉獻是一種信仰的行為
[00:03:10.000 --> 00:03:15.000]  是每一位基督徒都會做和都要做的事
[00:03:15.000 --> 00:03:18.000]  奉獻是一種信仰的行為
[00:03:18.000 --> 00:03:22.000]  是每一位基督徒都會做和都要做的事
[00:03:22.000 --> 00:03:25.000]  今天的經文故事是關於一位女人
[00:03:25.000 --> 00:03:27.000]  為主耶穌獻上一瓶
[00:03:27.000 --> 00:03:31.000]  形容為「知矣貴重」的真拿答香膏
[00:03:31.000 --> 00:03:33.000]  今天的經文故事是有關一位女人
[00:03:33.000 --> 00:03:36.000]  她為主耶穌奉上一瓶
[00:03:36.000 --> 00:03:41.000]  以形容為「最尊貴貴重」的真拿答香膏
[00:03:41.000 --> 00:03:43.000]  主耶穌很喜悅她的行為
[00:03:43.000 --> 00:03:48.000]  祂吩咐門徒無論何時何地都要分享祂的故事
[00:03:48.000 --> 00:03:50.000]  主耶穌很喜悅祂的行為
[00:03:50.000 --> 00:03:54.000]  並吩咐門徒無論何時何地都要分享祂的故事
[00:03:54.000 --> 00:03:57.000]  祂的行為有什麼特別呢?
[00:03:57.000 --> 00:03:59.000]  祂的行為有什麼特別呢?
[00:03:59.000 --> 00:04:01.000]  和奉獻和信仰有什麼關係呢?
[00:04:01.000 --> 00:04:04.000]  和奉獻和信仰有什麼關係呢?
[00:04:04.000 --> 00:04:07.000]  耶穌為什麼會喜悅祂呢?
[00:04:07.000 --> 00:04:10.000]  為什麼耶穌會喜悅祂的行為呢?
[00:04:10.000 --> 00:04:16.000]  今天我透過經文來讓大家了解三個關於奉獻的問題
[00:04:16.000 --> 00:04:21.000]  今天我們透過經文來了解三個關於奉獻的問題
[00:04:21.000 --> 00:04:24.000]  和關於奉獻的三個原則
[00:04:24.000 --> 00:04:27.000]  和有關於奉獻的三個原則
[00:04:27.000 --> 00:04:34.000]  第一個問題就是為什麼要奉獻?
[00:04:34.000 --> 00:04:37.000]  第一個問題就是為什麼要奉獻?
[00:04:37.000 --> 00:04:43.000]  首先為什麼我說這個女人的行為是一種奉獻的行為呢?
[00:04:43.000 --> 00:04:47.000]  首先為什麼我說這個女人的行為是一種奉獻的行為呢?
