
[00:00:00.000 --> 00:00:05.000]  今天我們分享的題目叫做「不要忘記你的神」
[00:00:05.000 --> 00:00:09.000]  我不知道有沒有一些東西你覺得你好像很熟悉的
[00:00:09.000 --> 00:00:11.000]  但是當你真的看看的時候
[00:00:11.000 --> 00:00:14.000]  發覺你又不是真的那麼熟悉
[00:00:14.000 --> 00:00:17.000]  我記得在網上崇拜的日子
[00:00:17.000 --> 00:00:22.000]  我們每個星期都是由童宮敬拜隊去帶敬拜
[00:00:22.000 --> 00:00:24.000]  那個時候有些人跟我說
[00:00:24.000 --> 00:00:27.000]  Eugenia你帶來帶去都是那些歌
[00:00:27.000 --> 00:00:29.000]  不如你找一些新歌吧
[00:00:29.000 --> 00:00:33.000]  所以那時候我們就找一些新的詩歌去敬拜
[00:00:33.000 --> 00:00:37.000]  其中有一首大家可能很喜歡的
[00:00:37.000 --> 00:00:40.000]  就是「神我屬你」
[00:00:40.000 --> 00:00:42.000]  如果大家記得我們第一次唱
[00:00:42.000 --> 00:00:45.000]  是在復活節的會議那時候唱的
[00:00:45.000 --> 00:00:46.000]  我們唱完第一次之後
[00:00:46.000 --> 00:00:48.000]  弟兄姊妹就有些回應說
[00:00:48.000 --> 00:00:50.000]  這首歌那麼好在哪裡來的
[00:00:50.000 --> 00:00:54.000]  之後我就發現弟兄姊妹都喜歡這首詩歌
[00:00:54.000 --> 00:00:58.000]  很多時候我們其他的禮儀領導都會用這首歌去敬拜
[00:00:58.000 --> 00:01:01.000]  每一次Virginia帶的時候
[00:01:01.000 --> 00:01:04.000]  我都覺得這首歌我很熟悉
[00:01:04.000 --> 00:01:06.000]  我們知道怎麼唱
[00:01:06.000 --> 00:01:10.000]  上個禮拜五是約西亞區的區聚
[00:01:10.000 --> 00:01:13.000]  也是由我去負責帶敬拜
[00:01:13.000 --> 00:01:15.000]  莎莎就告訴我
[00:01:15.000 --> 00:01:19.000]  陳牧師選了「神我屬你」這首歌做回應詩
[00:01:19.000 --> 00:01:22.000]  我收到的時候就覺得沒問題
[00:01:22.000 --> 00:01:24.000]  「神我屬你」唱得很熟悉
[00:01:24.000 --> 00:01:26.000]  沒問題的
[00:01:26.000 --> 00:01:29.000]  誰知道到練歌的時候
[00:01:29.000 --> 00:01:32.000]  我仍然覺得自己應該是很熟悉的
[00:01:32.000 --> 00:01:34.000]  誰知道如果大家是敬拜隊
[00:01:34.000 --> 00:01:35.000]  大家可能記得
[00:01:35.000 --> 00:01:37.000]  那時候我一彈的時候
[00:01:37.000 --> 00:01:39.000]  我拿著咪高峰說
[00:01:39.000 --> 00:01:41.000]  這首歌怎麼唱
[00:01:41.000 --> 00:01:44.000]  有些東西原來我們以為覺得自己很熟悉
[00:01:44.000 --> 00:01:46.000]  但是有時候慢慢慢慢
[00:01:46.000 --> 00:01:49.000]  你不是很熟悉你忘記了
[00:01:49.000 --> 00:01:52.000]  但我們屬靈生命是不是這樣呢?
[00:01:52.000 --> 00:01:53.000]  我們的屬靈生命是不是
[00:01:53.000 --> 00:01:56.000]  我們覺得我們和神很親近
[00:01:56.000 --> 00:01:59.000]  或者覺得我們仍然和神的關係很好
[00:01:59.000 --> 00:02:03.000]  但原來我們的生命慢慢遠離了神
[00:02:03.000 --> 00:02:05.000]  而我們不察覺呢?
[00:02:05.000 --> 00:02:08.000]  今天我們去看一卷新的書卷
[00:02:08.000 --> 00:02:10.000]  我們去看「士師記」
[00:02:10.000 --> 00:02:13.000]  「士師記」英文叫做Judges
[00:02:13.000 --> 00:02:16.000]  很多時候我們一聽的時候就有一個錯覺
[00:02:16.000 --> 00:02:20.000]  以為「士師」就是英文Judge
[00:02:20.000 --> 00:02:23.000]  英文Judge就是法官
[00:02:23.000 --> 00:02:24.000]  一想起法官
[00:02:24.000 --> 00:02:26.000]  我們就想起那些在法庭裡面
[00:02:26.000 --> 00:02:28.000]  戴著白色假髮的那些
[00:02:28.000 --> 00:02:29.000]  我們有時候有一個錯覺
[00:02:29.000 --> 00:02:31.000]  以為「士師」就是這些法官
[00:02:31.000 --> 00:02:35.000]  但其實「士師」並不是法庭裡面的法官
[00:02:35.000 --> 00:02:37.000]  如果我們看「士師記」的時候
[00:02:37.000 --> 00:02:40.000]  其實很多時候他們是以色列
[00:02:40.000 --> 00:02:43.000]  他們的群體有需要的時候
[00:02:43.000 --> 00:02:45.000]  他們的領導者
[00:02:45.000 --> 00:02:48.000]  一方面他們會去管理以色列的內政
[00:02:48.000 --> 00:02:51.000]  而很多時候神興起「士師」
[00:02:51.000 --> 00:02:55.000]  去帶領以色列人脫離他們的困境
[00:02:55.000 --> 00:02:58.000]  這卷書卷其實覆蓋的日期
[00:02:58.000 --> 00:03:01.000]  是由約書亞死後開始的
[00:03:01.000 --> 00:03:04.000]  我們剛剛完成了約書亞記
[00:03:04.000 --> 00:03:06.000]  這卷書卷覆蓋的日期
[00:03:06.000 --> 00:03:08.000]  是由約書亞死後
[00:03:08.000 --> 00:03:12.000]  去到索羅王作王之前的一段時間
[00:03:12.000 --> 00:03:15.000]  這段時間的以色列是怎樣的呢?
[00:03:15.000 --> 00:03:19.000]  如果我們回到約書亞記二十四章三十一節
[00:03:19.000 --> 00:03:20.000]  那裡告訴我們
[00:03:20.000 --> 00:03:23.000]  當那些認識神的長老
[00:03:23.000 --> 00:03:26.000]  認識神作為的長老死了之後
[00:03:26.000 --> 00:03:29.000]  原來以色列人他們在靈性上
[00:03:29.000 --> 00:03:31.000]  他們開始離開神了
[00:03:31.000 --> 00:03:35.000]  他們開始和迦南地的文化妥協
[00:03:35.000 --> 00:03:37.000]  而在「士師記」裡面
[00:03:37.000 --> 00:03:40.000]  我們會看到一個惡性的循環
