
[00:00:00.000 --> 00:00:00.920]  弟子們早晨
[00:00:00.920 --> 00:00:03.000]  我們先開始聽神的導議
[00:00:03.000 --> 00:00:04.240]  我們再次禱告
[00:00:04.240 --> 00:00:05.120]  將我們的身心靈
[00:00:05.120 --> 00:00:08.400]  卡在我們主愛神的手上
[00:00:08.400 --> 00:00:09.120]  愛上了主
[00:00:09.120 --> 00:00:11.400]  多謝祢讓我們能夠再次回來
[00:00:11.400 --> 00:00:14.760]  在祢的說話的面前一同言讀
[00:00:14.760 --> 00:00:16.280]  求祢與我們同在
[00:00:16.280 --> 00:00:18.360]  讓我們每一個屬於主祢的人
[00:00:18.360 --> 00:00:20.560]  我們都能夠藉著主祢的導理
[00:00:20.560 --> 00:00:23.600]  能夠更清楚明白主祢的教導
[00:00:23.600 --> 00:00:26.240]  讓我們能夠更加藉著祢的僕人
[00:00:26.240 --> 00:00:27.600]  司徒保羅
[00:00:27.600 --> 00:00:29.280]  讓我們能夠更清楚知道
[00:00:29.280 --> 00:00:30.960]  怎樣去侍奉祢
[00:00:30.960 --> 00:00:32.760]  透過祢與我們同在
[00:00:32.760 --> 00:00:34.120]  親愛的父神感謝祢
[00:00:34.120 --> 00:00:35.680]  讓我們能夠有機會
[00:00:35.680 --> 00:00:38.120]  能夠再次一起聚在一起
[00:00:38.120 --> 00:00:39.440]  透過這個網絡
[00:00:39.440 --> 00:00:42.400]  我們能夠一同來學習
[00:00:42.400 --> 00:00:43.840]  怎麼樣來去侍奉祢
[00:00:43.840 --> 00:00:44.760]  更重要的是
[00:00:44.760 --> 00:00:47.040]  我們怎麼樣來認識祢
[00:00:47.040 --> 00:00:48.280]  求祢的幫助
[00:00:48.280 --> 00:00:49.880]  求聖靈帶領我們
[00:00:49.880 --> 00:00:51.080]  Our Heavenly Father
[00:00:51.080 --> 00:00:52.040]  Thank you again
[00:00:52.040 --> 00:00:54.480]  that you allow us to have another Sunday
[00:00:54.480 --> 00:00:55.880]  we can join together
[00:00:55.880 --> 00:00:57.160]  and learn your word
[00:00:57.160 --> 00:00:59.560]  so that we know who you are
[00:00:59.560 --> 00:01:01.960]  at the same time we know how to serve you
[00:01:01.960 --> 00:01:03.720]  help us through your Holy Spirit
[00:01:03.720 --> 00:01:06.280]  because we need your Holy Spirit
[00:01:06.280 --> 00:01:08.320]  to guide us throughout the time
[00:01:08.320 --> 00:01:11.080]  when we are trying to apply your word
[00:01:11.080 --> 00:01:12.080]  so help us
[00:01:12.080 --> 00:01:14.440]  we pray in the name of our Lord Jesus Christ
[00:01:14.440 --> 00:01:15.600]  我們同心為祖國
[00:01:15.600 --> 00:01:16.680]  奉教主耶穌
[00:01:16.680 --> 00:01:18.120]  各得聖靈賜給
[00:01:18.120 --> 00:01:18.680]  阿們
[00:01:18.680 --> 00:01:22.520]  今天和大家一起思想的經文
[00:01:22.520 --> 00:01:25.080]  是《出自於解泰書》的第一章
[00:01:25.080 --> 00:01:27.120]  第十節至十二節
[00:01:27.120 --> 00:01:28.520]  今天的講題是
[00:01:28.520 --> 00:01:32.240]  為何和怎麼樣去侍奉神
[00:01:32.240 --> 00:01:34.480]  我們先回到神的話語
[00:01:34.480 --> 00:01:35.800]  我們去了解一下
[00:01:35.800 --> 00:01:38.240]  聖經裡面所講的內容
[00:01:38.240 --> 00:01:39.440]  究竟是什麼
[00:01:39.440 --> 00:01:43.480]  然後我們一起去細心思想當中的意義
[00:01:43.480 --> 00:01:45.240]  請大家一起打開
[00:01:45.240 --> 00:01:48.560]  《加拉泰書》第一章
[00:01:48.560 --> 00:01:50.640]  第十節至十二節
[00:01:50.640 --> 00:01:52.280]  我會先以和學本讀出
[00:01:52.280 --> 00:01:53.680]  然後我們再會以
[00:01:53.680 --> 00:01:58.120]  新的英文翻譯讀出這段英文的翻譯
[00:01:58.120 --> 00:02:03.200]  第十節
[00:02:03.200 --> 00:02:05.920]  我現在是要得人的心呢
[00:02:05.920 --> 00:02:08.320]  還是要得神的心呢
[00:02:08.320 --> 00:02:10.960]  我豈是討人的喜歡嗎
[00:02:10.960 --> 00:02:13.280]  若營救討人的喜歡
[00:02:13.280 --> 00:02:16.000]  我就不是基督的僕人了
[00:02:16.000 --> 00:02:16.560]  弟兄們
[00:02:16.560 --> 00:02:17.880]  我告訴你們
[00:02:17.880 --> 00:02:19.800]  我素來所傳的福音
[00:02:19.800 --> 00:02:21.800]  不是出於人的而是
[00:02:21.800 --> 00:02:24.120]  因為我不是從人領受的
[00:02:24.120 --> 00:02:26.240]  也不是人教導我的
[00:02:26.240 --> 00:02:30.400]  乃是從耶穌基督開始來的
[00:02:30.400 --> 00:02:33.560]  第一章至十二節
[00:02:33.560 --> 00:02:36.560]  我現在是要得人的心呢
[00:02:36.560 --> 00:02:39.320]  還是要得神的心呢
[00:02:39.320 --> 00:02:43.080]  我豈是討人的喜歡嗎
