
[00:00:00.000 --> 00:00:01.360]  鄧櫻姊妹平安
[00:00:01.360 --> 00:00:04.840]  在我們開始之前請我們再次祈禱
[00:00:04.840 --> 00:00:09.440]  親愛的主 我們多謝你
[00:00:09.440 --> 00:00:11.960]  多謝你的恩典
[00:00:11.960 --> 00:00:17.080]  讓我們鄧櫻姊妹能夠到你的家裡一起敬拜你
[00:00:17.080 --> 00:00:22.320]  讓我們珍惜我們一起相交的機會
[00:00:22.320 --> 00:00:26.440]  讓我們珍惜我們可以同心敬拜你的機會
[00:00:27.360 --> 00:00:31.560]  主 當我們頑固這個世界的情況的時候
[00:00:31.560 --> 00:00:33.520]  我們知道一切不是必然的
[00:00:33.520 --> 00:00:36.560]  主啊 我們求你的令與我們同在
[00:00:36.560 --> 00:00:39.840]  讓我們能夠靜聽著你的話語
[00:00:39.840 --> 00:00:42.040]  祈禱 奉我主耶穌名堂
[00:00:42.040 --> 00:00:43.200]  阿們
[00:00:43.200 --> 00:00:52.640]  在今年自己所經歷也有很多不同的情況
[00:00:52.640 --> 00:00:56.320]  在7月底的時候
[00:00:56.320 --> 00:00:59.240]  因為我婆婆突然間在家裡見到
[00:00:59.240 --> 00:01:00.080]  在香港
[00:01:00.080 --> 00:01:03.960]  斷了片 突然間想不到東西
[00:01:03.960 --> 00:01:05.760]  沒有知覺
[00:01:05.760 --> 00:01:07.360]  所以我們也趕著回香港
[00:01:07.360 --> 00:01:08.960]  很感恩
[00:01:08.960 --> 00:01:10.160]  她也慢慢康復
[00:01:10.160 --> 00:01:12.000]  她現在還來了澳洲
[00:01:12.000 --> 00:01:13.720]  在那段期間
[00:01:13.720 --> 00:01:16.200]  我也有很感謝教會
[00:01:16.200 --> 00:01:20.120]  也體諒給我們有這段回香港的時間
[00:01:20.120 --> 00:01:25.640]  這一次會多了一些時間留在香港
[00:01:25.960 --> 00:01:29.760]  所以在後期見我婆婆的病情也好了
[00:01:29.760 --> 00:01:32.760]  也跟一些突然之間有相交的時刻
[00:01:32.760 --> 00:01:36.520]  記者有一次有人跟我說
[00:01:36.520 --> 00:01:39.560]  某一個肢體很多年都沒有回教會
[00:01:39.560 --> 00:01:45.760]  曾經在教會有些很積極很主動的肢體
[00:01:45.760 --> 00:01:47.760]  於是我跟他聯絡
[00:01:47.760 --> 00:01:49.760]  跟他一起見面
[00:01:49.760 --> 00:01:53.160]  原來他告訴我兩年都沒有出街
[00:01:53.160 --> 00:01:54.400]  也沒有見過任何人
[00:01:54.400 --> 00:01:55.400]  我是第一個見
[00:01:55.840 --> 00:02:00.480]  我也想像不到兩年完全沒有出過街的人
[00:02:00.480 --> 00:02:03.480]  當我跟他一起聊天
[00:02:03.480 --> 00:02:06.400]  問候他一些教會生活的時候
[00:02:06.400 --> 00:02:08.400]  他就很激動
[00:02:08.400 --> 00:02:10.400]  很大的反應
[00:02:10.400 --> 00:02:12.680]  他說你不要再跟我提教會了
[00:02:12.680 --> 00:02:14.680]  也不要再跟我提基督徒了
[00:02:14.680 --> 00:02:16.680]  我很憎恨基督徒
[00:02:16.680 --> 00:02:18.440]  我也很憎恨教會
[00:02:18.440 --> 00:02:20.440]  我不想再聽到這些名詞
[00:02:20.440 --> 00:02:24.120]  我見到他這麼激動
[00:02:24.120 --> 00:02:26.120]  我就聽他說
[00:02:26.120 --> 00:02:30.480]  我說你如果不想回實體教會
[00:02:30.480 --> 00:02:32.480]  你就在網上看
[00:02:32.480 --> 00:02:34.480]  他說我也不想了
[00:02:34.480 --> 00:02:36.480]  他說我從十幾歲開始
[00:02:36.480 --> 00:02:38.480]  我媽媽已經帶我回教會
[00:02:38.480 --> 00:02:40.480]  我現在五十幾歲
[00:02:40.480 --> 00:02:42.480]  我已經全半身給了教會
[00:02:42.480 --> 00:02:45.480]  已經為教會做了
[00:02:45.480 --> 00:02:47.480]  我現在想拿回自己
[00:02:47.480 --> 00:02:49.480]  想還原自己
