
[00:00:00.000 --> 00:00:05.000]  如果我們說我們要愛神
[00:00:05.000 --> 00:00:08.000]  我想有個先決的條件就是
[00:00:08.000 --> 00:00:10.000]  我們要先明白神的愛
[00:00:10.000 --> 00:00:12.000]  因為愛始終都是從神而來
[00:00:12.000 --> 00:00:15.000]  所以愛他也是一種回應
[00:00:15.000 --> 00:00:19.000]  我們選擇了約翰福音13章至17章
[00:00:19.000 --> 00:00:24.000]  這段經文在約翰福音裡有一個很出名的名稱
[00:00:24.000 --> 00:00:27.000]  叫做「分離的講論」
[00:00:27.000 --> 00:00:31.000]  意思就是說耶穌在他離開世界之前那一晚
[00:00:31.000 --> 00:00:33.000]  他跟門徒在一起
[00:00:33.000 --> 00:00:37.000]  有預備如節的筵席
[00:00:37.000 --> 00:00:39.000]  裡面有一大段的講論
[00:00:39.000 --> 00:00:42.000]  總共有五章的聖經
[00:00:42.000 --> 00:00:44.000]  三四五六七這五章的聖經
[00:00:44.000 --> 00:00:46.000]  我們就嘗試從這段經文裡
[00:00:46.000 --> 00:00:50.000]  其實有很多跟愛這個主題是相關的
[00:00:50.000 --> 00:00:56.000]  我們嘗試從這段經文裡去思考去反省去細味
[00:00:56.000 --> 00:00:58.000]  這一種的愛是一回事
[00:00:58.000 --> 00:01:00.000]  所以這幾次的講道
[00:01:00.000 --> 00:01:04.000]  都是圍繞著這個方向和主題的
[00:01:04.000 --> 00:01:10.000]  大家知道耶穌離開世界
[00:01:10.000 --> 00:01:11.000]  其實是一個
[00:01:11.000 --> 00:01:14.000]  你可以說那段時刻
[00:01:14.000 --> 00:01:18.000]  都可以說是一個挺愁雲慘霧的
[00:01:18.000 --> 00:01:20.000]  因為門徒都預計到
[00:01:20.000 --> 00:01:22.000]  smell到那種味道
[00:01:22.000 --> 00:01:24.000]  他們的主將會走了
[00:01:24.000 --> 00:01:26.000]  雖然不是很明白
[00:01:26.000 --> 00:01:27.000]  祂說的話
[00:01:27.000 --> 00:01:30.000]  整個約翰福音有很多誤解的經文
[00:01:30.000 --> 00:01:31.000]  誤解的意思就是說
[00:01:31.000 --> 00:01:32.000]  很多對話裡面
[00:01:32.000 --> 00:01:33.000]  耶穌這樣說
[00:01:33.000 --> 00:01:35.000]  那些門徒聽完之後就不太明白
[00:01:35.000 --> 00:01:36.000]  以為是別的意思
[00:01:36.000 --> 00:01:37.000]  耶穌再解釋
