
[00:00:00.000 --> 00:00:03.000]  好,各位梁化堂的弟兄姊妹,大家平安
[00:00:03.000 --> 00:00:05.000]  很久沒見大家了
[00:00:05.000 --> 00:00:08.000]  很開心今天在當中見到大家
[00:00:08.000 --> 00:00:11.000]  讓我們在開始之前
[00:00:11.000 --> 00:00:14.000]  我們先一起同心祈禱
[00:00:14.000 --> 00:00:16.000]  真是父神,我們感謝讚美你
[00:00:16.000 --> 00:00:21.000]  多謝你讓我們今天晚上一同聆聽你的話語
[00:00:21.000 --> 00:00:23.000]  主耶穌間無論聽或說
[00:00:23.000 --> 00:00:28.000]  願主你的話語都對我們的生命帶來提醒和幫助
[00:00:28.000 --> 00:00:30.000]  以致我們的生命能夠活出
[00:00:30.000 --> 00:00:32.000]  主你在我們裡面
[00:00:32.000 --> 00:00:34.000]  還有我們這樣禱告是直賴主耶穌基督
[00:00:34.000 --> 00:00:37.000]  得聖名字祈求,阿們
[00:00:37.000 --> 00:00:41.000]  前一陣子我看了一套電影叫《八日之下》
[00:00:41.000 --> 00:00:43.000]  大家有沒有看過?
[00:00:43.000 --> 00:00:46.000]  可能當中有看過,沒有看過
[00:00:46.000 --> 00:00:48.000]  其實這套戲講述
[00:00:48.000 --> 00:00:53.000]  在報社裡面有個記者,即是主角
[00:00:53.000 --> 00:00:59.000]  八日之下報社的記者收到報料
[00:00:59.000 --> 00:01:02.000]  說一間殘疾的院舍有問題
[00:01:02.000 --> 00:01:05.000]  記者經過調查之後發現
[00:01:05.000 --> 00:01:09.000]  原來那間院舍不單止有虐待院友的行為
[00:01:09.000 --> 00:01:12.000]  更加揭露了院舍其他的問題
[00:01:12.000 --> 00:01:15.000]  再引申了很多社會制度
[00:01:15.000 --> 00:01:18.000]  善惡和公義的問題
[00:01:18.000 --> 00:01:21.000]  這套電影其實是一套非常值得
[00:01:21.000 --> 00:01:24.000]  大家入場去支持的電影
[00:01:24.000 --> 00:01:26.000]  所以如果你還沒看,也鼓勵大家去看
[00:01:26.000 --> 00:01:29.000]  不過,看完這套電影之後
[00:01:29.000 --> 00:01:31.000]  我的心就很沉重
[00:01:31.000 --> 00:01:34.000]  久久都未能回復
[00:01:34.000 --> 00:01:36.000]  原本打算看完戲可以逛逛街
[00:01:36.000 --> 00:01:38.000]  但真的搞不定
[00:01:38.000 --> 00:01:40.000]  沒有心情繼續逛街
[00:01:40.000 --> 00:01:43.000]  因為這套戲不單止講述
[00:01:43.000 --> 00:01:45.000]  在光天化日之下
[00:01:45.000 --> 00:01:48.000]  邪惡和公義的事不斷發生
[00:01:48.000 --> 00:01:51.000]  更加講述就算你行良善
[00:01:51.000 --> 00:01:54.000]  你彰顯公義,你揭露真相
[00:01:54.000 --> 00:01:57.000]  但在某些社會處境和制度之下
[00:01:57.000 --> 00:01:59.000]  原來你做的那些事
[00:01:59.000 --> 00:02:02.000]  都會被認為是錯的
[00:02:02.000 --> 00:02:05.000]  嘩,多大的無力感
[00:02:05.000 --> 00:02:07.000]  這份無力感是因為我們都會覺得
[00:02:07.000 --> 00:02:10.000]  做美善的事不是應該會有好結果嗎?
[00:02:10.000 --> 00:02:13.000]  好人不是應該有好報嗎?
[00:02:13.000 --> 00:02:16.000]  不過,日光之下無新事
[00:02:16.000 --> 00:02:19.000]  我們所面對的人間的這些荒謬
[00:02:19.000 --> 00:02:22.000]  原來在聖經裏面的傳道書
[00:02:22.000 --> 00:02:24.000]  其實一早已經告訴我們
[00:02:24.000 --> 00:02:26.000]  這個世界的狀態
[00:02:26.000 --> 00:02:30.000]  在傳道書一章第二節這樣說
[00:02:30.000 --> 00:02:38.000]  在傳道書一章第二節這樣說
[00:02:38.000 --> 00:02:42.000]  虛空的虛空,虛空的虛空
[00:02:42.000 --> 00:02:44.000]  一切都是虛空
[00:02:44.000 --> 00:02:46.000]  虛空這個中文的翻譯
[00:02:46.000 --> 00:02:50.000]  就是教華人傳統文化的色彩
[00:02:50.000 --> 00:02:53.000]  可能話多話少都會令我們聯想到
[00:02:53.000 --> 00:02:56.000]  佛家所講的本來無一物
[00:02:56.000 --> 00:02:59.000]  世間上所有的東西都是虛空的
[00:02:59.000 --> 00:03:04.000]  所以佛家都主張要遠離塵世
[00:03:04.000 --> 00:03:06.000]  但是我們千萬不要以為
[00:03:06.000 --> 00:03:08.000]  傳道書所講的虛空
[00:03:08.000 --> 00:03:11.000]  和這個意思是相同的
[00:03:11.000 --> 00:03:14.000]  因為傳道書的虛空的原文
[00:03:14.000 --> 00:03:18.000]  是有蒸氣的意思這樣解釋
[00:03:18.000 --> 00:03:21.000]  而蒸氣不是空的,不是沒有東西的
[00:03:21.000 --> 00:03:24.000]  是實質的東西,是有東西的
[00:03:24.000 --> 00:03:26.000]  蒸氣有什麼特性呢?
[00:03:26.000 --> 00:03:29.000]  其中一樣它是短暫的
[00:03:29.000 --> 00:03:32.000]  因為蒸氣很快就消散了
[00:03:32.000 --> 00:03:34.000]  過眼雲煙
[00:03:34.000 --> 00:03:37.000]  除此之外,蒸氣是不穩的
[00:03:37.000 --> 00:03:40.000]  因為氣體感覺是輕飄飄
[00:03:40.000 --> 00:03:43.000]  還有就是蒸氣在動的時候
[00:03:43.000 --> 00:03:46.000]  它是沒有規律,也沒有理性可言
[00:03:46.000 --> 00:03:48.000]  是難以觸摸的
[00:03:48.000 --> 00:03:50.000]  這些不同的特性就是
[00:03:50.000 --> 00:03:53.000]  傳道書所講的虛空
[00:03:53.000 --> 00:03:56.000]  它也在講述我們人生所面對的
[00:03:56.000 --> 00:03:58.000]  所有處境,不同的際遇
[00:03:58.000 --> 00:04:01.000]  都好像虛空如煙一樣
[00:04:01.000 --> 00:04:04.000]  短暫的、不穩的、捉不住的
[00:04:04.000 --> 00:04:07.000]  人始終無法掌握
[00:04:07.000 --> 00:04:10.000]  那我們是不是只能被動
[00:04:10.000 --> 00:04:13.000]  消極地面對我們人生呢?
[00:04:13.000 --> 00:04:16.000]  相信大家知道的答案是否定的
[00:04:16.000 --> 00:04:19.000]  因為聖經除了教導我們要依靠上帝之外
[00:04:19.000 --> 00:04:22.000]  聖經也藉著不同的書卷教導我們
[00:04:22.000 --> 00:04:25.000]  以不同的回應方式
[00:04:25.000 --> 00:04:28.000]  去面對各樣的處境和狀況
[00:04:28.000 --> 00:04:32.000]  而傳道書是其中一種回應的方式
[00:04:32.000 --> 00:04:36.000]  它獨特的神學帶領我們有不一樣的視野
[00:04:36.000 --> 00:04:38.000]  所以今天我們試從
[00:04:38.000 --> 00:04:44.000]  傳道書九章一至十章十一節
[00:04:44.000 --> 00:04:46.000]  看看傳道書直傳這些經文
[00:04:46.000 --> 00:04:48.000]  對我們帶來什麼提醒
[00:04:48.000 --> 00:04:51.000]  不過在得到提醒之前
[00:04:51.000 --> 00:04:54.000]  我們也要進入傳道書的虛空裡
[00:04:54.000 --> 00:04:56.000]  虛空一番
[00:04:56.000 --> 00:04:58.000]  所以我們先看看
[00:04:58.000 --> 00:05:03.000]  九章和十章所提到的三種虛空
[00:05:03.000 --> 00:05:05.000]  大家要坐穩了
[00:05:05.000 --> 00:05:07.000]  不過我想先說一說
[00:05:07.000 --> 00:05:11.000]  今天我在powerpoint裡所選用的聖經譯本
[00:05:11.000 --> 00:05:14.000]  是環球聖經工會的新譯本
[00:05:14.000 --> 00:05:16.000]  因為我覺得有一些用詞比較適合
[00:05:16.000 --> 00:05:18.000]  我免得轉來轉去
[00:05:18.000 --> 00:05:21.000]  所以我所有的經文都是出自於
[00:05:21.000 --> 00:05:23.000]  環球聖經工會的新譯本
[00:05:23.000 --> 00:05:27.000]  所以剛才林村教師讀的時候
[00:05:27.000 --> 00:05:29.000]  和我的版本你覺得為什麼有些不同呢?
[00:05:29.000 --> 00:05:31.000]  就是因為這樣的原因
[00:05:31.000 --> 00:05:34.000]  我們首先看第一個虛空
[00:05:34.000 --> 00:05:37.000]  就是強者未必能勝
[00:05:37.000 --> 00:05:40.000]  我們可以一起讀這段經文
[00:05:40.000 --> 00:05:44.000]  好,我又看見在日光之下
[00:05:44.000 --> 00:05:46.000]  跑得快的
[00:05:46.000 --> 00:06:11.000]  ( 教學中 )
[00:06:11.000 --> 00:06:18.000]  ( 教學中 )
[00:06:18.000 --> 00:06:23.000]  經文提到跑得快的未必得到獎
[00:06:23.000 --> 00:06:25.000]  勇士未必打得贏
[00:06:25.000 --> 00:06:28.000]  有智慧也未必賺到錢
[00:06:28.000 --> 00:06:31.000]  精明的也不一定會發達
[00:06:31.000 --> 00:06:34.000]  博學的也未必能得到賞賜
[00:06:34.000 --> 00:06:38.000]  因為時機和際遇左右眾人
[00:06:38.000 --> 00:06:41.000]  原來一個人能夠成功不是你努力
[00:06:41.000 --> 00:06:42.000]  能幹就行了
[00:06:42.000 --> 00:06:45.000]  是要說時機和際遇的
[00:06:45.000 --> 00:06:47.000]  這個和中國人說的成功
[00:06:47.000 --> 00:06:49.000]  要有三大條件,知道是什麼嗎?
[00:06:49.000 --> 00:06:51.000]  天時地利人和
[00:06:51.000 --> 00:06:52.000]  厲害啊,Rebecca
[00:06:52.000 --> 00:06:57.000]  沒錯,就是天時地利人和這三方面
[00:06:57.000 --> 00:06:59.000]  好,在這三方面裡面
[00:06:59.000 --> 00:07:02.000]  人能夠掌握的是什麼?
[00:07:02.000 --> 00:07:05.000]  天時我們掌握不了,對不對?
[00:07:05.000 --> 00:07:07.000]  地利我們也掌握不了
[00:07:07.000 --> 00:07:10.000]  因為你不能夠控制自己所出生的地方
[00:07:10.000 --> 00:07:13.000]  你媽媽可以控制你在哪裡生育
[00:07:13.000 --> 00:07:16.000]  但是你不能夠自己控制在哪裡
[00:07:16.000 --> 00:07:20.000]  所以我們頂多只能夠掌握人和
[00:07:20.000 --> 00:07:24.000]  不過這個只是50%
[00:07:24.000 --> 00:07:26.000]  因為當兩個人一起的時候
[00:07:26.000 --> 00:07:29.000]  你只能夠掌握你自己的部分
[00:07:29.000 --> 00:07:31.000]  但是當你以為你能夠掌握
[00:07:31.000 --> 00:07:33.000]  又不一定
[00:07:33.000 --> 00:07:35.000]  譬如好像學生那樣
[00:07:35.000 --> 00:07:37.000]  你打算努力讀書
[00:07:37.000 --> 00:07:38.000]  哪裏有學生?
[00:07:38.000 --> 00:07:39.000]  咦?應該還有學生
[00:07:39.000 --> 00:07:41.000]  啊,還有學生的,對了
[00:07:41.000 --> 00:07:43.000]  學生打算努力讀書
[00:07:43.000 --> 00:07:44.000]  哎呀,時間有限
[00:07:44.000 --> 00:07:46.000]  好了,我問九題
[00:07:46.000 --> 00:07:49.000]  那一題,哎呀,真的找不到,沒時間了
[00:07:49.000 --> 00:07:52.000]  但是旁邊的B仔很隨便地問
[00:07:52.000 --> 00:07:53.000]  只是問一題
[00:07:53.000 --> 00:07:56.000]  誰知道你問的九題完全沒有出
[00:07:56.000 --> 00:07:59.000]  B仔問的那一題出了
[00:07:59.000 --> 00:08:02.000]  他只有100分,你就零分
[00:08:02.000 --> 00:08:05.000]  另外,你一直為公司撲心撲命
[00:08:05.000 --> 00:08:07.000]  有個新的同事來到
[00:08:07.000 --> 00:08:09.000]  要負責一個新的項目
[00:08:09.000 --> 00:08:11.000]  而你其實也有份跟他一起
[00:08:11.000 --> 00:08:14.000]  捱艱底夜去討好他
[00:08:14.000 --> 00:08:18.000]  但是最後這個項目得了獎
[00:08:18.000 --> 00:08:21.000]  所以那個新的同事升職了
[00:08:21.000 --> 00:08:22.000]  而不是你
[00:08:22.000 --> 00:08:26.000]  時機、際遇會左右你
[00:08:26.000 --> 00:08:28.000]  所以強者未必能勝
[00:08:28.000 --> 00:08:30.000]  是不是很虛空?
[00:08:30.000 --> 00:08:31.000]  很虛空
[00:08:31.000 --> 00:08:32.000]  可能你會說
[00:08:32.000 --> 00:08:34.000]  那些都是靠運氣
[00:08:34.000 --> 00:08:35.000]  我說實力的
[00:08:35.000 --> 00:08:38.000]  我是我的範疇裡面的專家
[00:08:38.000 --> 00:08:41.000]  但是專家都未必能夠成功
[00:08:41.000 --> 00:08:43.000]  因為都會出意外的
[00:08:43.000 --> 00:08:49.000]  我們剛才都一起讀完這段經文
[00:08:49.000 --> 00:08:52.000]  嘩陷阱的,自己掉進去
[00:08:52.000 --> 00:08:55.000]  山長門的,有蛇來咬他
[00:08:55.000 --> 00:08:58.000]  採石的,被石打傷
[00:08:58.000 --> 00:09:00.000]  劈柴的,被柴損害
[00:09:00.000 --> 00:09:03.000]  未行先被蛇咬
[00:09:03.000 --> 00:09:06.000]  那麼行法術對行法術的人
