
[00:00:00.000 --> 00:00:07.000]  昨晚國語團契有DVD的放映
[00:00:07.000 --> 00:00:11.000]  昨晚博宇的傳記有一個DVD的分享
[00:00:11.000 --> 00:00:18.000]  就講到英國的小朋友和父母之間的關係
[00:00:18.000 --> 00:00:22.000]  就說英國的孩子跟父母之間的關係
[00:00:22.000 --> 00:00:24.000]  看看這裡的英國小朋友怎樣成長
[00:00:24.000 --> 00:00:28.000]  怎樣跟父母有影響
[00:00:28.000 --> 00:00:32.000]  我們看看這裡的孩子怎樣影響到他們
[00:00:32.000 --> 00:00:35.000]  不過在英國的小朋友或是我們中國人的小朋友
[00:00:35.000 --> 00:00:40.000]  都會有一定的困難
[00:00:40.000 --> 00:00:43.000]  無論是這裡的孩子還是中國的孩子
[00:00:43.000 --> 00:00:44.000]  都有一定的困難
[00:00:44.000 --> 00:00:46.000]  因為文化不同
[00:00:46.000 --> 00:00:48.000]  因為文化不一樣
[00:00:48.000 --> 00:00:52.000]  我們中國人的背景在英國是有點不同
[00:00:52.000 --> 00:00:55.000]  我們中國在這裡的背景還有一些不一樣
[00:00:55.000 --> 00:00:57.000]  所以很多時候都會有一些代溝
[00:00:57.000 --> 00:01:00.000]  所以之間有一些的代溝
[00:01:00.000 --> 00:01:03.000]  究竟什麼叫代溝呢?
[00:01:03.000 --> 00:01:05.000]  究竟什麼是代溝呢?
[00:01:05.000 --> 00:01:07.000]  有人拍了兩張照片
[00:01:07.000 --> 00:01:09.000]  就以為這些是代溝
[00:01:09.000 --> 00:01:11.000]  有人拍了兩張照片
[00:01:11.000 --> 00:01:12.000]  以為這就是代溝
[00:01:12.000 --> 00:01:18.000]  因為爸爸想的和孩子想的完全不同
[00:01:18.000 --> 00:01:21.000]  爸爸所想的和孩子所想的都有不一樣
[00:01:21.000 --> 00:01:23.000]  究竟這些是不是真的呢?
[00:01:23.000 --> 00:01:25.000]  那究竟這些是不是真的呢?
[00:01:25.000 --> 00:01:27.000]  不過我想這裡的小朋友
[00:01:27.000 --> 00:01:30.000]  會比較容易受社會上的影響
[00:01:30.000 --> 00:01:34.000]  因為這裡的孩子比較容易受社會的影響
[00:01:34.000 --> 00:01:39.000]  因為我們中國文化的教導
[00:01:39.000 --> 00:01:41.000]  好像和他們有衝突
[00:01:41.000 --> 00:01:43.000]  因為我們中國文化的教導
[00:01:43.000 --> 00:01:45.000]  有一些的衝突
[00:01:45.000 --> 00:01:47.000]  很多時候越來越影響他們
[00:01:47.000 --> 00:01:49.000]  他們就越覺得反感
[00:01:49.000 --> 00:01:53.000]  在他們來想是越來越覺得反感
