
[00:00:00.000 --> 00:00:05.000]  今日經文係哥羅西書一章一至十三節
[00:00:05.000 --> 00:00:10.000]  奉神旨意做基督耶穌使徒的保羅和兄弟提摩太
[00:00:10.000 --> 00:00:15.000]  寫信給哥羅西的聖徒在基督旅遊中心的弟兄
[00:00:15.000 --> 00:00:19.000]  願恩惠平安從神我們的父歸於你們
[00:00:19.000 --> 00:00:24.000]  我們感謝神我們主耶穌基督的父常常為你們禱告
[00:00:24.000 --> 00:00:30.000]  因聽見你們在基督耶穌的信心並向眾聖徒的愛心
[00:00:30.000 --> 00:00:33.000]  是為那給你們存在天上的盼望
[00:00:33.000 --> 00:00:38.000]  這盼望就是你們從潛在福音真理的道上所聽見的
[00:00:38.000 --> 00:00:42.000]  這福音傳到你們那裡也傳到普天之下
[00:00:42.000 --> 00:00:46.000]  並且結果增長如同在你們中間
[00:00:46.000 --> 00:00:51.000]  自從你們聽見福音真知道神恩惠的日子一樣
[00:00:51.000 --> 00:00:58.000]  正如你們從我們所親愛一同做僕人的以巴弗所學的
[00:00:58.000 --> 00:01:01.000]  他為我們做了基督中心的執事
[00:01:01.000 --> 00:01:06.000]  也把你們因聖靈所傳的愛心告訴了我們
[00:01:06.000 --> 00:01:12.000]  因此我們自從聽見的日子也就為你們不住地禱告祈求
[00:01:12.000 --> 00:01:17.000]  願你們在一切聖靈的智慧悟聖上滿心知道神的旨意
[00:01:17.000 --> 00:01:22.000]  好叫你們行事為人對得起主,凡事蒙他喜悅
[00:01:22.000 --> 00:01:27.000]  在一切善事上結果致,漸漸地多知道神
[00:01:27.000 --> 00:01:31.000]  照他榮耀的權能,得以在各樣的力上加力
[00:01:31.000 --> 00:01:35.000]  好叫你們凡事歡歡喜喜地忍耐寬容
[00:01:35.000 --> 00:01:41.000]  又感謝神父叫我們能與眾聖徒在光明中同得基業
[00:01:41.000 --> 00:01:48.000]  他救了我們脫離黑暗的權勢,把我們變成他愛子的國女
[00:02:11.000 --> 00:02:17.000]  今天想和大家開始一個新的系列就是講哥羅西書
[00:02:17.000 --> 00:02:24.000]  哥羅西書其實也是一卷稱為監獄書信的其中一卷
[00:02:24.000 --> 00:02:29.000]  在聖經的新約當中保羅就寫了四卷監獄書信
[00:02:29.000 --> 00:02:41.000]  以弗所、肥納比、哥羅西和肥利門書,這四卷其實都是保羅在監獄當中寫的
[00:02:41.000 --> 00:02:50.000]  這個哥羅西書本身基本上是一個保羅沒有去過的教會
[00:02:50.000 --> 00:02:59.000]  而想藉著這封信來給他一個很特別或很重要的信息的一封書信
[00:02:59.000 --> 00:03:04.000]  我們就看看哥羅西書究竟是講些什麼的
[00:03:04.000 --> 00:03:14.000]  我相信哥羅西書本身對於我們今天都有一個非常相關或是一個很悉切的信息
[00:03:14.000 --> 00:03:19.000]  給我們一路看的時候一路可以聽到神對我們的教導
[00:03:19.000 --> 00:03:28.000]  在還沒講之前,首先介紹一下哥羅西的地理
[00:03:28.000 --> 00:03:32.000]  或者哥羅西究竟是一個怎樣的教會
[00:03:32.000 --> 00:03:39.000]  哥羅西其實是在小亞細亞的其中一個小城市
[00:03:39.000 --> 00:03:42.000]  這個教會其實是保羅沒有去過的
[00:03:42.000 --> 00:03:47.000]  為什麼呢?因為在保羅宣教的策略當中
[00:03:47.000 --> 00:03:51.000]  其實保羅是去大城市的
[00:03:51.000 --> 00:03:54.000]  當保羅去大城市的時候
[00:03:54.000 --> 00:04:01.000]  他就去跟當地的人去傳揚福音
[00:04:01.000 --> 00:04:06.000]  因為我們現在都有個說話叫做「條條大路通羅馬」
