
[00:00:00.000 --> 00:00:02.500]  但神的話語實在是珍貴的
[00:00:02.500 --> 00:00:04.940]  讓我們一起擁抱聖館和禱告
[00:00:04.940 --> 00:00:08.600]  天主上,我們感謝祢
[00:00:08.600 --> 00:00:10.600]  讓我們可以有祢的話語
[00:00:10.600 --> 00:00:13.000]  我們求祢幫助我們
[00:00:13.000 --> 00:00:16.000]  能夠將祢的話藏在我們心中
[00:00:16.000 --> 00:00:18.500]  亦在我們生命中活出來
[00:00:18.500 --> 00:00:21.200]  讓我們藉著祢的話語
[00:00:21.200 --> 00:00:23.200]  能夠對祢有更多的認識
[00:00:23.200 --> 00:00:25.200]  也叫我們懂得
[00:00:25.200 --> 00:00:27.900]  如何去成為合乎祢心意的群體
[00:00:28.200 --> 00:00:30.200]  無論在我們個人的層面
[00:00:30.200 --> 00:00:32.200]  在我們的群體層面
[00:00:32.200 --> 00:00:35.200]  我們一同地去活出祢的真理
[00:00:35.200 --> 00:00:39.200]  好讓世人能夠在我們生命中去見到祢
[00:00:39.200 --> 00:00:43.700]  若我們都有軟弱、有懼怕、有動搖的時候
[00:00:43.700 --> 00:00:45.700]  我就求祢肩撞我們
[00:00:45.700 --> 00:00:47.700]  亦都讓我們作為一個群體
[00:00:47.700 --> 00:00:49.200]  我們能夠互相鼓勵
[00:00:49.200 --> 00:00:51.200]  好讓我們能夠為祢走更遠的路
[00:00:51.200 --> 00:00:54.200]  我們將以下的時間恭敬交上
[00:00:54.200 --> 00:00:56.200]  求祢親自向我們講說話
[00:00:56.200 --> 00:00:58.200]  觸動我們的心靈
[00:00:58.200 --> 00:00:59.200]  改變我們的生命
[00:00:59.200 --> 00:01:00.200]  聽我們的禱告
[00:01:00.200 --> 00:01:03.200]  奉求耶穌基督得勝的名次祈求
[00:01:03.200 --> 00:01:04.200]  阿門
[00:01:04.200 --> 00:01:08.200]  很多時候當被人騙過之後
[00:01:08.200 --> 00:01:10.200]  就會更加謹慎
[00:01:10.200 --> 00:01:12.200]  很害怕被人騙
[00:01:12.200 --> 00:01:14.200]  但反而很難去相信人
[00:01:14.200 --> 00:01:18.200]  我記得有一位老師跟我說過
[00:01:18.200 --> 00:01:21.200]  他本身學歷挺高的
[00:01:21.200 --> 00:01:23.200]  在外國讀完之後
[00:01:23.200 --> 00:01:27.200]  回來香港就想找一份教職的工作
[00:01:27.200 --> 00:01:30.200]  當時有一間學校就說請他
[00:01:30.200 --> 00:01:32.200]  但校長就跟他說
[00:01:32.200 --> 00:01:37.200]  我們暫時開的位置沒有那麼高的排名
[00:01:37.200 --> 00:01:39.200]  你先做一個低一點的
[00:01:39.200 --> 00:01:41.200]  過了一年之後
[00:01:41.200 --> 00:01:42.200]  當我們可以安排位置出來
[00:01:42.200 --> 00:01:44.200]  就可以讓你升上去
[00:01:44.200 --> 00:01:45.200]  你應該有排名了
[00:01:45.200 --> 00:01:47.200]  他就說好吧
[00:01:47.200 --> 00:01:49.200]  過了一年他就任教
[00:01:49.200 --> 00:01:51.200]  亦都很盡心盡力
[00:01:51.200 --> 00:01:52.200]  過了一年
[00:01:52.200 --> 00:01:54.200]  他就跟校長說
[00:01:54.200 --> 00:01:58.200]  你是不是一年之後就升我上去的排名
[00:01:58.200 --> 00:01:59.200]  然後校長就說
[00:01:59.200 --> 00:02:00.200]  不不不
[00:02:00.200 --> 00:02:02.200]  我從來沒有這樣說過
[00:02:02.200 --> 00:02:04.200]  然後他就說
[00:02:04.200 --> 00:02:06.200]  這個是成年人的世界
[00:02:06.200 --> 00:02:08.200]  原來是這樣的
[00:02:08.200 --> 00:02:11.200]  他很快就離開了那間學校
[00:02:11.200 --> 00:02:14.200]  再去找另一個地方
[00:02:14.200 --> 00:02:17.200]  我們可以想像
[00:02:17.200 --> 00:02:18.200]  從他的角度
[00:02:18.200 --> 00:02:21.200]  我覺得我被校長騙了
[00:02:21.200 --> 00:02:24.200]  所以我都不能夠繼續相信他
[00:02:24.200 --> 00:02:26.200]  我亦都不想繼續在這裡坐
[00:02:26.200 --> 00:02:27.200]  因為第一
[00:02:27.200 --> 00:02:29.200]  我不知道多坐幾年
[00:02:29.200 --> 00:02:30.200]  你會不會讓我升
[00:02:30.200 --> 00:02:31.200]  第二就是
[00:02:31.200 --> 00:02:33.200]  因為我已經沒有這個信任
[00:02:33.200 --> 00:02:36.200]  所以我就不想和你繼續共事
[00:02:36.200 --> 00:02:38.200]  很多時候我們都很重視信任
[00:02:38.200 --> 00:02:40.200]  所以我們被人騙過
[00:02:40.200 --> 00:02:43.200]  我都很難相信人
[00:02:43.200 --> 00:02:46.200]  因為我知道騙人的伎倆是怎樣
[00:02:46.200 --> 00:02:48.200]  我知道我怎樣可以騙到他
[00:02:48.200 --> 00:02:50.200]  我那麼容易被你騙嗎
[00:02:50.200 --> 00:02:52.200]  你這樣說我就相信了
[00:02:52.200 --> 00:02:53.200]  我們發覺
