
[00:00:00.000 --> 00:00:04.000]  如果有人問大家你是否有智慧 不知道大家會怎樣回答呢
[00:00:04.000 --> 00:00:08.000]  如果有人問大家 你是否有智慧 不知道大家會怎樣回答呢
[00:00:08.000 --> 00:00:13.000]  很多時候我們都會將智慧連同我們的IQ來看
[00:00:13.000 --> 00:00:17.000]  很多時候我們都把智慧跟我們的IQ連在一起來看
[00:00:17.000 --> 00:00:21.000]  我們的智慧就可以用一個IQ的分數來衡量
[00:00:21.000 --> 00:00:24.000]  彷彿我們的智慧就可以用一個IQ的分數來衡量
[00:00:24.000 --> 00:00:27.000]  不過不知道大家在現實上有沒有留意一樣東西
[00:00:27.000 --> 00:00:29.000]  不知道大家現實生活中有沒有留意一樣東西
[00:00:29.000 --> 00:00:35.000]  很多時候IQ高的人不一定代表他懂得做人
[00:00:35.000 --> 00:00:38.000]  不一定代表他會知道怎麼做人
[00:00:38.000 --> 00:00:42.000]  甚至有些IQ高的人有時候說的話是冷酷無情的
[00:00:42.000 --> 00:00:46.000]  甚至有時候有些IQ高的人他說的話語是冷酷無情的
[00:00:46.000 --> 00:00:48.000]  所以我們這樣說實際上來說
[00:00:48.000 --> 00:00:50.000]  所以可以這麼說 實際上來說
[00:00:50.000 --> 00:00:54.000]  是不是懂得做人可能比我們IQ高不高更加重要
[00:00:54.000 --> 00:00:58.000]  會不會做人可能會比我們IQ高不高這個更加重要
[00:00:58.000 --> 00:01:02.000]  不過無論如何在保羅時代的哥倫多教會
[00:01:02.000 --> 00:01:05.000]  不過無論如何在保羅時代的哥倫多教會
[00:01:05.000 --> 00:01:07.000]  當時哥倫多是一個大都會
[00:01:07.000 --> 00:01:10.000]  當時哥倫多是一個大都會
[00:01:10.000 --> 00:01:12.000]  當時的人很看重智慧
[00:01:12.000 --> 00:01:14.000]  當時的人很看重智慧
[00:01:14.000 --> 00:01:18.000]  而看重智慧這個東西漸漸的價值就進入了教會
[00:01:18.000 --> 00:01:23.000]  當時看重智慧這個價值漸漸的就進入到教會當中
[00:01:23.000 --> 00:01:24.000]  影響著教會
[00:01:24.000 --> 00:01:25.000]  那麼就影響著教會
[00:01:25.000 --> 00:01:29.000]  保羅在這段經文裏面提出了一件很重要的事情
[00:01:29.000 --> 00:01:32.000]  保羅在這段經文裏面提出了一件很重要的事情
[00:01:32.000 --> 00:01:35.000]  智慧是有屬世和屬天的分別
[00:01:35.000 --> 00:01:38.000]  智慧是有屬世和屬天的區別
[00:01:38.000 --> 00:01:40.000]  讓我們看看這個分別在哪裏
[00:01:40.000 --> 00:01:43.000]  讓我們看看這個分別是在哪裏
[00:01:43.000 --> 00:01:45.000]  今天我們讀的經文一開始的時候
[00:01:45.000 --> 00:01:48.000]  今天我們讀的經文一開始的時候
[00:01:48.000 --> 00:01:50.000]  保羅說他傳福音給這班人
[00:01:50.000 --> 00:01:52.000]  保羅說他傳福音給這班人
[00:01:52.000 --> 00:01:54.000]  他沒有用到高賢大智
[00:01:54.000 --> 00:01:56.000]  他沒有用到高賢大智
[00:01:56.000 --> 00:01:58.000]  或者用一些很委婉有智慧的說話
[00:01:58.000 --> 00:02:01.000]  或者是用一些很委婉有智慧的話語
[00:02:01.000 --> 00:02:04.000]  在這裏我們需要了解當時的一些背景
[00:02:04.000 --> 00:02:07.000]  在這裏我們需要了解一下當時的一些背景
