
[00:00:00.000 --> 00:00:04.000]  各位,我們今天的題目是
[00:00:04.000 --> 00:00:09.000]  看見嗎?視覺與人生的探索
[00:00:09.000 --> 00:00:11.000]  請祈禱
[00:00:11.000 --> 00:00:15.000]  上主願瀑人口中的言語
[00:00:15.000 --> 00:00:17.000]  弟兄姊妹的心懷意念
[00:00:17.000 --> 00:00:19.000]  蒙主的月立
[00:00:19.000 --> 00:00:24.000]  祈求上主讓我們在聆聽主導的當中
[00:00:24.000 --> 00:00:26.000]  也能夠看見
[00:00:26.000 --> 00:00:28.000]  看見主的真道
[00:00:28.000 --> 00:00:31.000]  看見耶穌基督的真相
[00:00:31.000 --> 00:00:32.000]  阿們
[00:00:58.000 --> 00:01:01.000]  走近一點
[00:01:01.000 --> 00:01:03.000]  看到他寫著
[00:01:03.000 --> 00:01:05.000]  沖之卓普
[00:01:05.000 --> 00:01:09.000]  即是我們崇基的禮拜堂的筆
[00:01:09.000 --> 00:01:12.000]  這枝筆你可能也會看見
[00:01:12.000 --> 00:01:15.000]  一定是有些特別意思
[00:01:15.000 --> 00:01:18.000]  我們這枝筆曾經在母親節
[00:01:18.000 --> 00:01:20.000]  加上父親節
[00:01:20.000 --> 00:01:24.000]  送給我們的父親
[00:01:24.000 --> 00:01:27.000]  你看見什麼
[00:01:27.000 --> 00:01:31.000]  但當中我們也會有一些困惑
[00:01:31.000 --> 00:01:34.000]  很多時候我們看見的
[00:01:34.000 --> 00:01:37.000]  什麼是不是就是這樣
[00:01:37.000 --> 00:01:39.000]  你看見的
[00:01:39.000 --> 00:01:41.000]  就是你認為的
[00:01:41.000 --> 00:01:43.000]  你看見的
[00:01:43.000 --> 00:01:47.000]  是不是就是你所理解的東西
[00:01:47.000 --> 00:01:49.000]  你所看見的
[00:01:49.000 --> 00:01:52.000]  只是事物的一部分
[00:01:52.000 --> 00:01:54.000]  抑或是全部
[00:01:54.000 --> 00:01:56.000]  在剛剛拍拖的時間
[00:01:56.000 --> 00:01:59.000]  女朋友很喜歡測試我的視力
[00:01:59.000 --> 00:02:01.000]  是不是正常
[00:02:01.000 --> 00:02:04.000]  經常逛街就會問
[00:02:04.000 --> 00:02:06.000]  你看見什麼
[00:02:06.000 --> 00:02:09.000]  我有一次可能
[00:02:09.000 --> 00:02:11.000]  一直跟她拍拖
[00:02:11.000 --> 00:02:13.000]  在想講章
[00:02:13.000 --> 00:02:16.000]  我沒有看見什麼
[00:02:16.000 --> 00:02:18.000]  當時的女朋友
[00:02:18.000 --> 00:02:22.000]  她說你看不到有木瓜樹
[00:02:22.000 --> 00:02:24.000]  有些木瓜嗎
[00:02:24.000 --> 00:02:27.000]  我有些記憶
[00:02:27.000 --> 00:02:31.000]  我也好像看見木瓜
[00:02:31.000 --> 00:02:33.000]  她馬上說
[00:02:33.000 --> 00:02:36.000]  不是有十個木瓜嗎
[00:02:36.000 --> 00:02:39.000]  結果要我再去看看
[00:02:39.000 --> 00:02:43.000]  真的看見有十個木瓜
[00:02:43.000 --> 00:02:46.000]  這次的測試應該是不合格的
[00:02:46.000 --> 00:02:48.000]  所以下一次拍拖
[00:02:48.000 --> 00:02:51.000]  要打醒十二個精神
[00:02:51.000 --> 00:02:54.000]  各位我們很多時候看見都會有忽略
[00:02:54.000 --> 00:02:57.000]  未必能夠很全面
[00:02:57.000 --> 00:02:59.000]  我們今天的經文
[00:02:59.000 --> 00:03:01.000]  是顯現期的經文
[00:03:01.000 --> 00:03:03.000]  特別要強調
[00:03:03.000 --> 00:03:06.000]  約翰很想人去看見誰
[00:03:06.000 --> 00:03:09.000]  就是看見耶穌
[00:03:09.000 --> 00:03:11.000]  看見耶穌
[00:03:11.000 --> 00:03:17.000]  所以在約翰福音一章二十九到五十二節
[00:03:17.000 --> 00:03:23.000]  我們會看到有很多看見 預見出現
[00:03:23.000 --> 00:03:27.000]  在約翰福音有提到
[00:03:27.000 --> 00:03:33.000]  第一天就是施洗約翰的見證
[00:03:33.000 --> 00:03:37.000]  在二十九節之前
[00:03:37.000 --> 00:03:39.000]  一大段說
[00:03:39.000 --> 00:03:44.000]  約翰見證他自己是基督的先鋒
[00:03:44.000 --> 00:03:47.000]  要來修籍主的道路
[00:03:47.000 --> 00:03:49.000]  讓人們可以走過去
[00:03:49.000 --> 00:03:54.000]  看清楚耶穌到底是誰
[00:03:54.000 --> 00:03:59.000]  二十九節和我們提到是第二天
[00:03:59.000 --> 00:04:02.000]  約翰就引人去見耶穌
[00:04:02.000 --> 00:04:06.000]  所以他一開口就提到
[00:04:06.000 --> 00:04:11.000]  看那神的羔羊除去世人罪的
[00:04:11.000 --> 00:04:14.000]  這個神的羔羊
[00:04:14.000 --> 00:04:18.000]  為什麼他能看見耶穌是神的羔羊呢?
[00:04:18.000 --> 00:04:22.000]  在當中經文有兩個引證
[00:04:22.000 --> 00:04:27.000]  第一個就是約翰說他親眼看到
[00:04:27.000 --> 00:04:31.000]  聖靈好像一種飛鳥
[00:04:31.000 --> 00:04:33.000]  就是甲子
[00:04:33.000 --> 00:04:35.000]  降在耶穌的身上
[00:04:35.000 --> 00:04:39.000]  還要住在耶穌的裡面
[00:04:39.000 --> 00:04:42.000]  第二個引證就是
[00:04:42.000 --> 00:04:49.000]  他特別提到猜我來者用水施洗的那一位
[00:04:49.000 --> 00:04:54.000]  猜他來幫人施洗的那一位
[00:04:54.000 --> 00:04:57.000]  那是誰呢?就是上帝
[00:04:57.000 --> 00:05:01.000]  這個上帝也特別跟他說
[00:05:01.000 --> 00:05:06.000]  這個洗禮不單止是用水洗
[00:05:06.000 --> 00:05:12.000]  耶穌這個洗禮其實是用了聖靈來洗的
[00:05:12.000 --> 00:05:16.000]  於是三十四節就描述到
[00:05:16.000 --> 00:05:20.000]  約翰說我看見了
[00:05:20.000 --> 00:05:22.000]  這個我看見了
[00:05:22.000 --> 00:05:26.000]  也可以解釋為我了解了
[00:05:26.000 --> 00:05:28.000]  我明白了
[00:05:28.000 --> 00:05:34.000]  所以作證這一位就是神的兒子
[00:05:34.000 --> 00:05:39.000]  一直到三十五節又說過了一天
[00:05:39.000 --> 00:05:44.000]  所以這個再過了一天就是第三天
[00:05:44.000 --> 00:05:49.000]  約翰和門徒站在那裡的時候
[00:05:49.000 --> 00:05:52.000]  可能在聽他說話
[00:05:52.000 --> 00:05:55.000]  約翰見到耶穌走過來
[00:05:55.000 --> 00:06:00.000]  於是約翰又再重複地去介紹
[00:06:00.000 --> 00:06:03.000]  看啊!神的羔羊
[00:06:03.000 --> 00:06:06.000]  當時兩個門徒
[00:06:06.000 --> 00:06:11.000]  約翰的門徒聽見就跟從了耶穌
[00:06:11.000 --> 00:06:14.000]  到底這兩個門徒是誰呢?
[00:06:14.000 --> 00:06:19.000]  聖經有提到特別一位叫安德烈
[00:06:19.000 --> 00:06:22.000]  另外一位沒有透露
[00:06:22.000 --> 00:06:27.000]  但這一位安德烈是很特別的
[00:06:27.000 --> 00:06:29.000]  我們再看下去
[00:06:29.000 --> 00:06:34.000]  耶穌收了這兩個門徒
[00:06:34.000 --> 00:06:37.000]  在收之前的三十八節
