
[00:00:00.000 --> 00:00:01.840]  我們有祈禱
[00:00:01.840 --> 00:00:05.980]  主耶穌我們感謝祢自己在十字架上成就的救恩
[00:00:05.980 --> 00:00:07.800]  更加祢成就了和平
[00:00:07.800 --> 00:00:13.080]  讓我們人與神之間的牆被拆開
[00:00:13.080 --> 00:00:16.820]  以致我們一同去建立神的家
[00:00:16.820 --> 00:00:17.940]  願主自己恩代我們
[00:00:17.940 --> 00:00:19.620]  奉耶穌基督的名教
[00:00:19.620 --> 00:00:21.620]  阿們
[00:00:21.620 --> 00:00:23.620]  通常新年
[00:00:23.620 --> 00:00:26.240]  最例牌的答案問你
[00:00:26.240 --> 00:00:30.640]  有什麼新年願望呢
[00:00:30.640 --> 00:00:33.080]  世界和平
[00:00:33.080 --> 00:00:35.280]  不過每個人都是這樣願望
[00:00:35.280 --> 00:00:37.280]  這個世界是否更加和平呢
[00:00:37.280 --> 00:00:41.520]  似乎都不敢有很確定的答案
[00:00:41.520 --> 00:00:44.000]  過往一年我們看很多大事回顧
[00:00:44.000 --> 00:00:47.080]  其實都是很多的恐襲
[00:00:47.080 --> 00:00:51.280]  政治上的鬥爭等等這些情況
[00:00:51.280 --> 00:00:53.920]  但是在教會
[00:00:53.920 --> 00:00:55.800]  稱為神的家
[00:00:55.800 --> 00:00:57.800]  我們要彼此相愛
[00:00:57.800 --> 00:01:01.240]  教會是否比外面的世界更加和平呢
[00:01:01.240 --> 00:01:02.520]  未必是
[00:01:02.520 --> 00:01:06.120]  聖筆由創世紀開始人犯罪
[00:01:06.120 --> 00:01:12.320]  就開始帶來很多我們經常說的撕裂的情況
[00:01:12.320 --> 00:01:15.920]  例如人與神的關係撕裂
[00:01:15.920 --> 00:01:21.480]  當人吃了所謂分別善惡樹的禁果之後
[00:01:21.480 --> 00:01:24.440]  本來人與神之間沒有芥蒂
[00:01:24.440 --> 00:01:29.440]  但是當神要找人的時候
[00:01:29.440 --> 00:01:31.000]  人去躲避
[00:01:31.000 --> 00:01:35.160]  而且當神問到人
[00:01:35.160 --> 00:01:38.240]  為什麼會吃了分別善惡樹的果子的時候
[00:01:38.240 --> 00:01:39.440]  人的回答就是
[00:01:39.440 --> 00:01:44.320]  就是神自己賜給我的太太女人給我吃的
[00:01:44.320 --> 00:01:47.560]  人犯罪是破壞了人與神之間
[00:01:47.560 --> 00:01:52.040]  人與人之間的信任和關係
[00:01:52.040 --> 00:01:57.360]  相信人犯罪之後就有一種很自保的心態
[00:01:57.360 --> 00:01:59.760]  所以為了自我保護
[00:01:59.760 --> 00:02:01.800]  甚至去到一個自私的地步
[00:02:01.800 --> 00:02:04.560]  抵賴 殺賴 埋怨等等
[00:02:04.560 --> 00:02:08.840]  造成在很多的人際關係裡面
[00:02:08.840 --> 00:02:10.560]  社會與社會 民族與民族
[00:02:10.560 --> 00:02:13.280]  國家與國家都有很大的傷害
[00:02:13.280 --> 00:02:15.800]  但是聖經說道
[00:02:15.800 --> 00:02:18.640]  聖經說道神既然賜下我們這個救恩
[00:02:18.640 --> 00:02:21.440]  我們今天能夠與某一個的救贖
[00:02:21.440 --> 00:02:23.800]  今天我們所建立的是神的家
[00:02:23.800 --> 00:02:24.880]  根據我們剛才所讀
[00:02:24.880 --> 00:02:26.560]  已不鎖書的經文所形容
[00:02:26.560 --> 00:02:30.520]  就是人因為罪帶來我們建立了很多牆
