
[00:00:00.000 --> 00:00:04.300]  讀一節聖經 在哈巴古書第三章第二節
[00:00:04.300 --> 00:00:06.900]  我們一同來唸這節經文 來
[00:00:06.900 --> 00:00:10.140]  耶和華 我聽見你的名聲就懼怕
[00:00:10.140 --> 00:00:13.900]  耶和華 求你在這些年間復興你的作為
[00:00:13.900 --> 00:00:16.140]  在這些年間顯明出來
[00:00:16.140 --> 00:00:19.100]  在發怒的時候以憐憫為念
[00:00:19.100 --> 00:00:20.740]  我們就讀到這裡
[00:00:20.740 --> 00:00:24.100]  上禮拜有機會去韓國
[00:00:24.100 --> 00:00:28.540]  參加純福音教會所舉辦的華人訪韓特會
[00:00:28.540 --> 00:00:31.240]  並且在其中擔任講員
[00:00:31.240 --> 00:00:32.440]  在那幾天聚會當中
[00:00:32.440 --> 00:00:36.940]  我想最觸動我心的就是他們的禱告
[00:00:36.940 --> 00:00:40.360]  他們在那裡禱告真的很大聲
[00:00:40.360 --> 00:00:42.060]  很長久
[00:00:42.060 --> 00:00:43.860]  而且非常迫切
[00:00:43.860 --> 00:00:44.800]  不像我們這裡
[00:00:44.800 --> 00:00:48.740]  就算同聲開口 禱告還是很安靜的
[00:00:48.740 --> 00:00:52.760]  那幾天當我跟他們在一起聚會的時候
[00:00:52.760 --> 00:00:57.700]  一起在那裡花長的時間在禱告的時候
[00:00:57.700 --> 00:01:00.360]  我就感覺到整個人的心靈
[00:01:00.360 --> 00:01:03.060]  好像都被提升起來
[00:01:03.060 --> 00:01:09.100]  而且大大的眺望了我對復興的渴望
[00:01:09.100 --> 00:01:11.100]  我特別想到在我們今天所處的
[00:01:11.100 --> 00:01:13.560]  這樣一個充滿危機的世代
[00:01:13.560 --> 00:01:18.260]  我們看見不但是整個國際局勢充滿了動盪
[00:01:18.260 --> 00:01:21.400]  很多時候當我們面對我們的生活環境
[00:01:21.400 --> 00:01:24.240]  我們也不知道何去何從
[00:01:24.240 --> 00:01:28.000]  我們必須承認我們真的沒有答案
[00:01:28.000 --> 00:01:31.700]  我們必須承認我們何等需要神
[00:01:31.700 --> 00:01:34.200]  我們也真的需要神求神
[00:01:34.200 --> 00:01:37.840]  降下復興在我們中間
