
[00:00:00.000 --> 00:00:03.240]  由今天開始接下來這三個星期
[00:00:03.240 --> 00:00:06.560]  那個系列叫On Fire For Christ
[00:00:06.560 --> 00:00:10.600]  希望重現我們對上帝那份熱誠
[00:00:10.600 --> 00:00:16.120]  重現我們對上帝那份愛
[00:00:16.120 --> 00:00:20.520]  在這三個星期內會講三個呼召的故事
[00:00:20.520 --> 00:00:22.680]  可能三個故事你都很熟悉
[00:00:22.680 --> 00:00:25.080]  今天要講的是《以賽亞書》第六章
[00:00:25.080 --> 00:00:27.320]  講以賽亞蒙召的故事
[00:00:27.320 --> 00:00:29.240]  下個星期會講尼西米
[00:00:29.240 --> 00:00:33.000]  再下個星期會講《使徒彼得》
[00:00:33.000 --> 00:00:36.520]  這三個故事是講述三個不同的人
[00:00:36.520 --> 00:00:39.000]  如何經歷上帝的呼召
[00:00:39.000 --> 00:00:40.800]  如何回應
[00:00:40.800 --> 00:00:43.720]  其實我覺得我們都很值得去想想
[00:00:43.720 --> 00:00:45.240]  在我們的生命裡面
[00:00:45.240 --> 00:00:47.320]  其實上帝有沒有點過我們
[00:00:47.320 --> 00:00:49.240]  即是點火
[00:00:49.240 --> 00:00:51.800]  有沒有將我們的生命燃點起來
[00:00:51.800 --> 00:00:53.800]  為何有些人燃點到
[00:00:53.800 --> 00:00:56.680]  我好像怎麼點都不著呢
[00:00:56.680 --> 00:00:59.520]  原因在哪裡 有沒有什麼我們錯過了
[00:00:59.520 --> 00:01:02.680]  而這些經歷是對我們有提醒的呢
[00:01:02.680 --> 00:01:06.720]  所以這三篇道是很想講這件事
[00:01:06.720 --> 00:01:10.560]  我亦鼓勵你繼續密切留意我們的Facebook
[00:01:10.560 --> 00:01:15.000]  或者我們有的一些發放的訊息
[00:01:15.000 --> 00:01:17.000]  今天要講《以賽亞書》第六章
[00:01:17.000 --> 00:01:21.840]  其實戴著口罩講話是很容易喘氣的
[00:01:21.840 --> 00:01:24.680]  今天要講的經文是《以賽亞書》第六章
[00:01:24.680 --> 00:01:27.160]  《以賽亞先知》是一個很特別的先知
[00:01:27.160 --> 00:01:29.000]  它特別的地方是什麼呢
[00:01:29.000 --> 00:01:31.000]  它講了很多的東西
[00:01:31.000 --> 00:01:33.960]  整卷《以賽亞書》總共有66章
[00:01:33.960 --> 00:01:37.480]  但是它很少講自己的東西
[00:01:37.480 --> 00:01:38.840]  和《耶利米》不同
[00:01:38.840 --> 00:01:41.680]  如果你記得《耶利米》不是經常講他哭的
[00:01:41.680 --> 00:01:43.880]  經常講他內心深處
[00:01:43.880 --> 00:01:45.400]  有多掙扎
[00:01:45.400 --> 00:01:46.880]  有多苦澀
[00:01:46.880 --> 00:01:48.880]  不是苦澀 不是苦毒
[00:01:48.880 --> 00:01:50.880]  有多辛酸
[00:01:50.880 --> 00:01:52.480]  流了多少眼淚
[00:01:52.480 --> 00:01:54.360]  但如果你留意《以賽亞書》
[00:01:54.360 --> 00:01:56.360]  其實他沒怎麼講自己的東西
[00:01:56.360 --> 00:01:59.160]  他不停地說他見到外邦的異象
[00:01:59.160 --> 00:02:02.920]  他見到政局正在發生一些事情
[00:02:02.920 --> 00:02:04.920]  他有一些警告提醒
[00:02:04.920 --> 00:02:06.920]  勸勉挽回
[00:02:06.920 --> 00:02:10.600]  唯獨是今天那段經文《以賽亞書》第六章
[00:02:10.600 --> 00:02:14.280]  他是講述他自己的蒙召見證
[00:02:14.280 --> 00:02:17.320]  中文聖經通常會有一個題目
[00:02:17.320 --> 00:02:21.400]  就是主呼召以賽亞作先知
[00:02:21.400 --> 00:02:25.400]  我們相信以賽亞當他一直做先知的時候
[00:02:25.400 --> 00:02:29.120]  他回想當初神如何呼召他
[00:02:29.120 --> 00:02:32.120]  他將這個記錄寫下
[00:02:32.120 --> 00:02:35.080]  整章只有十三節經文
[00:02:35.080 --> 00:02:38.720]  很短 很快 很簡潔
[00:02:38.720 --> 00:02:40.720]  沒有一句多餘的說話
[00:02:40.720 --> 00:02:42.800]  如果你有機會聽我講見證
[00:02:42.800 --> 00:02:43.920]  講我蒙召見證
[00:02:43.920 --> 00:02:45.920]  我可以講很多個版本
[00:02:45.920 --> 00:02:47.920]  由十五分鐘起跳
[00:02:47.920 --> 00:02:50.320]  至到一個半小時都可以
[00:02:50.320 --> 00:02:53.440]  但是以賽亞他講他自己的蒙召見證
[00:02:53.440 --> 00:02:56.240]  十三句 十三節
[00:02:56.240 --> 00:03:00.040]  我們今天會讀完這十三節經文
[00:03:00.040 --> 00:03:04.440]  我們一起看頭四節的經文
[00:03:04.440 --> 00:03:08.920]  又要考驗一下大家的耳力和讀經的能力
[00:03:08.920 --> 00:03:11.720]  當烏西亞王崩的那一年
[00:03:11.720 --> 00:03:14.800]  我看見主坐在高高的寶座上
[00:03:14.800 --> 00:03:18.640]  他的衣裳下擺遮滿聖殿
[00:03:18.640 --> 00:03:20.640]  上有撒拉弗時納
[00:03:20.640 --> 00:03:22.200]  各有六個翅膀
[00:03:22.200 --> 00:03:23.840]  兩個翅膀遮臉
[00:03:23.840 --> 00:03:25.240]  兩個翅膀遮腳
[00:03:25.240 --> 00:03:26.880]  兩個翅膀飛牆
[00:03:26.880 --> 00:03:28.560]  彼此呼喊說
[00:03:28.560 --> 00:03:30.560]  聖哉!聖哉!聖哉!
[00:03:30.560 --> 00:03:32.120]  萬軍之耶和華
[00:03:32.120 --> 00:03:34.120]  他的榮光遍滿全地
[00:03:34.120 --> 00:03:36.000]  因呼喊者的聲音
[00:03:36.000 --> 00:03:38.000]  門禁的根機震動
[00:03:38.000 --> 00:03:43.520]  電充滿了煙雲
[00:03:43.520 --> 00:03:47.520]  這段經文大致上講了
[00:03:47.520 --> 00:03:49.520]  那個背景
[00:03:49.520 --> 00:03:51.320]  他看見這個意象
[00:03:51.320 --> 00:03:54.680]  到底在哪裡、何時、時、地、人
[00:03:54.680 --> 00:03:55.880]  是什麼呢?
[00:03:55.880 --> 00:03:56.760]  時間
[00:03:56.760 --> 00:03:57.760]  第一節已經說了
[00:03:57.760 --> 00:04:02.440]  當烏西亞王駕崩的那一年
[00:04:02.440 --> 00:04:04.440]  然後地點呢?
[00:04:04.440 --> 00:04:07.200]  聖殿
[00:04:07.200 --> 00:04:09.520]  他沒有說耶路撒冷的聖殿
[00:04:09.520 --> 00:04:10.360]  還是哪裡
[00:04:10.360 --> 00:04:13.080]  但是我們大致上的感覺
[00:04:13.080 --> 00:04:15.080]  應該不是地上的聖殿
[00:04:15.080 --> 00:04:16.240]  因為他有撒拉弗
[00:04:16.240 --> 00:04:17.680]  有一些不同的東西
[00:04:17.680 --> 00:04:19.680]  他看見主座在高高的寶座
[00:04:19.680 --> 00:04:21.680]  你的感覺好像
[00:04:21.680 --> 00:04:23.440]  以賽雅見異象
[00:04:23.440 --> 00:04:26.320]  去到一個天庭的會議
[00:04:26.320 --> 00:04:27.920]  不經意走進去
[00:04:27.920 --> 00:04:30.440]  看見一個很偉大的場景
[00:04:30.440 --> 00:04:34.840]  有哪些角色在裡面呢?
[00:04:34.840 --> 00:04:36.280]  一開始就說我
[00:04:36.280 --> 00:04:37.520]  就是以賽雅
[00:04:37.520 --> 00:04:39.080]  接著他會看見
[00:04:39.080 --> 00:04:40.280]  他沒有直接說
[00:04:40.280 --> 00:04:43.800]  但是他在讚美萬軍之耶和華
[00:04:43.800 --> 00:04:46.880]  有我,以賽雅,有耶和華
[00:04:46.880 --> 00:04:48.760]  另外有撒拉弗
[00:04:48.760 --> 00:04:50.440]  撒拉弗是什麼呢?
[00:04:50.440 --> 00:04:53.840]  原來在聖經很少說撒拉弗
[00:04:53.840 --> 00:04:56.760]  也許也不是說得很清楚是什麼
[00:04:56.760 --> 00:04:58.160]  如果根據原文
[00:04:58.160 --> 00:05:01.480]  撒拉弗這個字的字根跟火有關
[00:05:01.480 --> 00:05:05.520]  可能他會是一隻火的天使
[00:05:05.520 --> 00:05:07.400]  一隻會噴火的東西
[00:05:07.400 --> 00:05:09.400]  有些就譯火蛇
[00:05:09.400 --> 00:05:11.200]  總之他跟火有關
[00:05:11.200 --> 00:05:13.680]  但是聖經形容他有六個翅膀
[00:05:13.680 --> 00:05:14.960]  有兩個翅膀飛
[00:05:14.960 --> 00:05:16.720]  有兩個翅膀遮面
[00:05:16.720 --> 00:05:18.600]  有兩個翅膀遮腳
[00:05:18.600 --> 00:05:22.640]  說他是一個天使的物體
[00:05:22.640 --> 00:05:25.640]  我想我們不深究到底撒拉弗是什麼樣子
[00:05:25.640 --> 00:05:27.360]  或者試試上網查一下
[00:05:27.360 --> 00:05:31.440]  看看有哪一隻畫出來像聖經的描述
[00:05:31.440 --> 00:05:33.040]  經文好像說
[00:05:33.040 --> 00:05:34.600]  以賽雅偷偷地
[00:05:34.600 --> 00:05:35.200]  不是
[00:05:35.200 --> 00:05:37.640]  以賽雅應該是不經意
[00:05:37.640 --> 00:05:39.840]  進了一個天庭的會議
[00:05:39.840 --> 00:05:42.200]  他看到的東西很厲害
