
[00:00:00.000 --> 00:00:02.000]  好 弟兄姊妹 祝你平安
[00:00:02.000 --> 00:00:03.000]  我們很高興
[00:00:03.000 --> 00:00:06.000]  我們今天在過兩天聖誕節之前
[00:00:06.000 --> 00:00:08.000]  我們一起在這裡聚集 敬拜
[00:00:08.000 --> 00:00:10.000]  我們可以唱聖誕歌
[00:00:10.000 --> 00:00:12.000]  也是一件很開心的事
[00:00:12.000 --> 00:00:14.000]  因為實際知道
[00:00:14.000 --> 00:00:17.000]  這裡的人開始不太記得什麼叫聖誕
[00:00:17.000 --> 00:00:20.000]  因為這裡現在上學就不叫聖誕
[00:00:20.000 --> 00:00:23.000]  叫聖誕假 叫Winter Break
[00:00:23.000 --> 00:00:25.000]  就是冬季的放假
[00:00:25.000 --> 00:00:27.000]  就不會說是因為聖誕放假
[00:00:27.000 --> 00:00:30.000]  所以有時候人們不知不覺遺忘了聖誕
[00:00:30.000 --> 00:00:32.000]  但是我們回到教會的人
[00:00:32.000 --> 00:00:35.000]  就可以常常記得我們有一個聖誕的日子
[00:00:35.000 --> 00:00:38.000]  好 讓我們一起祈禱
[00:00:38.000 --> 00:00:40.000]  親愛的主 我們多謝你
[00:00:40.000 --> 00:00:42.000]  讓我們可以聚集
[00:00:42.000 --> 00:00:44.000]  我們可以聽你的說話
[00:00:44.000 --> 00:00:47.000]  我們可以敬拜你自己
[00:00:47.000 --> 00:00:49.000]  求主你幫助我們
[00:00:49.000 --> 00:00:52.000]  在你裡面我們經歷那種心的釋放
[00:00:52.000 --> 00:00:56.000]  讓我們可以調節我們生命裡面的方向
[00:00:56.000 --> 00:00:58.000]  我們屬靈的眼鏡
[00:00:58.000 --> 00:01:01.000]  以致我們更加看準上帝你自己的美意
[00:01:01.000 --> 00:01:05.000]  求你這樣帶領我們今天崇拜和信息的時間
[00:01:05.000 --> 00:01:08.000]  祈禱奉耶穌名字而求 阿們
[00:01:08.000 --> 00:01:11.000]  好 今天分享的題目就是
[00:01:11.000 --> 00:01:14.000]  遲來的禮物
[00:01:14.000 --> 00:01:16.000]  當你想想要收禮物的時候
[00:01:16.000 --> 00:01:19.000]  如果遲了會怎樣呢
[00:01:19.000 --> 00:01:21.000]  不知道你有沒有見過這個
[00:01:21.000 --> 00:01:25.000]  這個就叫簡易煮茶套裝
[00:01:25.000 --> 00:01:27.000]  原來在香港裡面
[00:01:27.000 --> 00:01:30.000]  有一些供應商
[00:01:30.000 --> 00:01:34.000]  他們都會做一些這樣的簡易煮茶套裝
[00:01:34.000 --> 00:01:37.000]  是方便在世界不同國的人
[00:01:37.000 --> 00:01:39.000]  可以買這些套裝
[00:01:39.000 --> 00:01:41.000]  這個套裝是煮什麼的 什麼茶呢
[00:01:41.000 --> 00:01:43.000]  就是奶茶
[00:01:43.000 --> 00:01:46.000]  所以我咖啡一般一般
[00:01:46.000 --> 00:01:48.000]  奶茶就喜歡多一些
[00:01:48.000 --> 00:01:50.000]  特別是香港式的奶茶
[00:01:50.000 --> 00:01:52.000]  你可以買到這些套裝
[00:01:52.000 --> 00:01:54.000]  就可以煮港式的奶茶
[00:01:54.000 --> 00:01:56.000]  我為了應景
[00:01:56.000 --> 00:01:58.000]  今早也煮了一杯才回來
[00:01:58.000 --> 00:02:00.000]  就享受了一杯
[00:02:00.000 --> 00:02:04.000]  所以應該也是很有茶氣的
[00:02:04.000 --> 00:02:07.000]  最適合就是茶經
[00:02:07.000 --> 00:02:11.000]  這個套裝
[00:02:11.000 --> 00:02:15.000]  其實就是在去年來的時候
[00:02:15.000 --> 00:02:18.000]  有位宣教士
[00:02:18.000 --> 00:02:21.000]  我知道我來到這個地方
[00:02:21.000 --> 00:02:23.000]  有些香港的東西沒有了
[00:02:23.000 --> 00:02:25.000]  他特別問我
[00:02:25.000 --> 00:02:28.000]  你想不想要這個奶茶套裝
[00:02:28.000 --> 00:02:29.000]  喜不喜歡喝
[00:02:29.000 --> 00:02:31.000]  我說當然喜歡
[00:02:31.000 --> 00:02:34.000]  他說你寄給你
[00:02:34.000 --> 00:02:37.000]  做生日禮物好不好
[00:02:37.000 --> 00:02:39.000]  我當然說 好啦
[00:02:39.000 --> 00:02:41.000]  他就寄給我
[00:02:41.000 --> 00:02:45.000]  當時其實是十月初的時間
[00:02:45.000 --> 00:02:49.000]  他就問我這個問題
[00:02:49.000 --> 00:02:52.000]  我十月尾生日
[00:02:52.000 --> 00:02:54.000]  大家記住記下
[00:02:54.000 --> 00:02:58.000]  之後告訴大家
[00:02:58.000 --> 00:03:00.000]  就是這樣
[00:03:00.000 --> 00:03:03.000]  你見得到
[00:03:03.000 --> 00:03:05.000]  十月初就問我
[00:03:05.000 --> 00:03:07.000]  他就安排我去買
[00:03:07.000 --> 00:03:11.000]  結果十月十六日
[00:03:11.000 --> 00:03:13.000]  上年已經透過
[00:03:13.000 --> 00:03:15.000]  香港的寄件方法
[00:03:15.000 --> 00:03:17.000]  寄給我
