
[00:00:00.000 --> 00:00:06.360]  多謝施班唱出那個應許的確切
[00:00:06.360 --> 00:00:08.960]  我們都是走去同一個終點
[00:00:08.960 --> 00:00:10.680]  但願我們在這條路上
[00:00:10.680 --> 00:00:16.040]  我們緊緊抓緊這個十字架給我們的救恩
[00:00:16.040 --> 00:00:22.800]  我們再一次祈禱
[00:00:22.800 --> 00:00:26.640]  主讓我們知道無論我們身處什麼環境
[00:00:26.640 --> 00:00:30.000]  我們已經得著祢給我們的救恩
[00:00:30.000 --> 00:00:33.000]  這個救恩是沒有人可以奪去的
[00:00:33.000 --> 00:00:37.040]  主讓祢的救恩常常在我們生命當中
[00:00:37.040 --> 00:00:42.240]  成為我們安慰力量前行的動力
[00:00:42.240 --> 00:00:44.840]  主帶領我們去讀祢的話語的時候
[00:00:44.840 --> 00:00:48.760]  祢的真光開啟照亮我們的心
[00:00:48.760 --> 00:00:51.960]  讓我們知道我們前面當作何時
[00:00:51.960 --> 00:00:55.120]  我們的禱告是奉主耶穌基督得聖名字祈求
[00:00:55.120 --> 00:00:57.120]  阿門
[00:00:57.120 --> 00:01:04.800]  落在黑暗中
[00:01:04.800 --> 00:01:07.000]  收到壞消息
[00:01:07.000 --> 00:01:09.800]  有敵人去針對
[00:01:09.800 --> 00:01:11.360]  大概這些形容詞
[00:01:11.360 --> 00:01:15.200]  可以對應到當下我們身處的世界
[00:01:15.200 --> 00:01:16.920]  尤其今天的香港
[00:01:16.920 --> 00:01:19.120]  就算我們不用黑暗
[00:01:19.120 --> 00:01:22.680]  我們都會用灰暗來形容
[00:01:22.680 --> 00:01:25.880]  前天港大醫學院公佈了一項
[00:01:25.880 --> 00:01:29.760]  自2009年開始定期做的調查
[00:01:29.760 --> 00:01:32.880]  調查什麼呢?就是香港人的精神健康
[00:01:32.880 --> 00:01:35.680]  發現在這十年以來
[00:01:35.680 --> 00:01:37.480]  今年的六月到七月
[00:01:37.480 --> 00:01:41.240]  香港人懷疑患上抑鬱的比率
[00:01:41.240 --> 00:01:43.960]  是上升到9.1%
[00:01:43.960 --> 00:01:47.520]  比起2014年當年佔中的期間
[00:01:47.520 --> 00:01:50.400]  是5.3% 今年是9.1%
[00:01:50.400 --> 00:01:54.920]  亦遠遠高於平時一般的水平1.3%
[00:01:54.920 --> 00:01:58.480]  發表這個報告的醫學專家小組表示
[00:01:58.480 --> 00:02:01.400]  近來真的有很多令人掛心的事件
[00:02:01.400 --> 00:02:06.440]  亦看不見社會上的衝突何時會完結
[00:02:06.440 --> 00:02:10.680]  這方面的情況是令人擔憂的
[00:02:10.680 --> 00:02:12.440]  頂姐妹
[00:02:12.440 --> 00:02:15.800]  今天我們所看的社關主日的經文
[00:02:15.800 --> 00:02:17.360]  我必須承認
[00:02:17.360 --> 00:02:21.200]  不是來指點當下的時局
[00:02:21.200 --> 00:02:27.040]  我們亦不能簡單地將經文對號入座
[00:02:27.040 --> 00:02:29.360]  不過神的話語很寶貴
[00:02:29.360 --> 00:02:32.440]  神的話語給我們一個保證
[00:02:32.440 --> 00:02:35.440]  就是一個敬畏神的人
[00:02:35.440 --> 00:02:38.280]  無論是身處在平常
[00:02:38.280 --> 00:02:41.600]  無常還是反常的處境裡
[00:02:41.600 --> 00:02:45.440]  仍然持續地
[00:02:45.440 --> 00:02:47.440]  可以帶給身邊的人
[00:02:47.440 --> 00:02:50.760]  有祝福幫助別人
[00:02:50.760 --> 00:02:52.160]  而這樣的人
[00:02:52.160 --> 00:02:55.640]  是被稱為有福的人
[00:02:55.640 --> 00:02:57.720]  我們今天讀的詩篇112篇
[00:02:57.720 --> 00:02:59.320]  就是講出這個保證
[00:02:59.320 --> 00:03:01.240]  你打開聖經
[00:03:01.240 --> 00:03:03.240]  唐用聖經的八百九十三頁
[00:03:03.240 --> 00:03:04.240]  如果你可以打開
[00:03:04.240 --> 00:03:05.240]  你也打開
[00:03:05.240 --> 00:03:07.240]  我們可能會看前一章
[00:03:07.240 --> 00:03:13.240]  前一篇的經文一點
[00:03:13.240 --> 00:03:15.040]  要讀通詩篇112篇
[00:03:15.040 --> 00:03:17.040]  我們必須知道
[00:03:17.040 --> 00:03:19.840]  112篇有三個特點
[00:03:19.840 --> 00:03:21.640]  第一
[00:03:21.640 --> 00:03:24.840]  這篇詩篇是一篇被稱為字母詩
[00:03:24.840 --> 00:03:28.640]  即是說它需要一個技巧去填詞的字母詩
[00:03:28.640 --> 00:03:31.440]  整篇詩歌十節的經文
[00:03:31.440 --> 00:03:35.040]  在原本的文字裡其實有二十三行
[00:03:35.040 --> 00:03:36.840]  除了開頭的第一行
[00:03:36.840 --> 00:03:37.840]  第一行是什麼
[00:03:37.840 --> 00:03:40.040]  你們要讚美耶和華
[00:03:40.040 --> 00:03:41.640]  你很熟悉的了
[00:03:41.640 --> 00:03:43.440]  Hallelujah
[00:03:43.440 --> 00:03:44.640]  就是這個希伯來文
[00:03:44.640 --> 00:03:46.040]  我們什麼希伯來文都不懂
[00:03:46.040 --> 00:03:47.040]  就是懂得這個
[00:03:47.040 --> 00:03:48.840]  Hallelujah
[00:03:48.840 --> 00:03:51.040]  你們要讚美耶和華
[00:03:51.040 --> 00:03:54.040]  然後除了這個標題這一行之外
[00:03:54.040 --> 00:03:56.040]  有二十二行的詩歌
[00:03:56.040 --> 00:04:00.240]  是非常工整地顯示出來
[00:04:00.240 --> 00:04:03.640]  二十二對於希伯來人來說是很有意義的
[00:04:03.640 --> 00:04:07.440]  他們認為這個二十二的字母
[00:04:07.440 --> 00:04:11.640]  是代表著一個珍貴的整數
[00:04:11.640 --> 00:04:15.440]  而這篇字母詩想表達的是什麼呢?
[00:04:15.440 --> 00:04:18.040]  就是一個敬畏神的人
[00:04:18.040 --> 00:04:20.040]  他無論在平常
[00:04:20.040 --> 00:04:21.640]  在反常
[00:04:21.640 --> 00:04:23.640]  在無常的處境裡
[00:04:23.640 --> 00:04:26.840]  仍然能夠持續地帶給身邊的人有祝福
[00:04:26.840 --> 00:04:29.640]  這個人生才是完整
[00:04:29.640 --> 00:04:32.840]  好像一個字母詩所顯現的整數一樣
