
[00:00:00.000 --> 00:00:03.840]  今天我們講一篇是很街坊的道
[00:00:03.840 --> 00:00:06.040]  很家常的東西
[00:00:06.040 --> 00:00:08.480]  沒什麼偉大的道理
[00:00:08.480 --> 00:00:13.240]  一個我偶然讀經的感動
[00:00:13.240 --> 00:00:14.160]  看這段聖經
[00:00:14.160 --> 00:00:16.160]  有些思考
[00:00:16.160 --> 00:00:18.640]  我們中間有些比較年輕的弟兄姊妹
[00:00:18.640 --> 00:00:21.040]  可能你會不太跟得上我說什麼
[00:00:21.040 --> 00:00:23.840]  因為我說的是比較老餅的經驗
[00:00:23.840 --> 00:00:26.480]  有一點跨文化的心
[00:00:26.480 --> 00:00:28.640]  就容易跟得上我說的思路
[00:00:28.640 --> 00:00:35.600]  不過我們看一個生活片段裡面的信仰思考
[00:00:35.600 --> 00:00:38.560]  我們今天講的東西跟食有關
[00:00:38.560 --> 00:00:40.000]  耶穌基督雖然曾經講過
[00:00:40.000 --> 00:00:42.880]  人活著不是單靠食物
[00:00:42.880 --> 00:00:44.320]  不過福音書裡面
[00:00:44.320 --> 00:00:45.800]  都是記載了很多次
[00:00:45.800 --> 00:00:49.040]  耶穌基督和門徒吃飯的故事
[00:00:49.040 --> 00:00:50.640]  耶穌很多重要的教導
[00:00:50.640 --> 00:00:53.640]  都是在吃飯的場景之下作出來的
[00:00:53.640 --> 00:00:56.240]  包括了耶穌和門徒私下吃飯
[00:00:56.240 --> 00:01:00.880]  又或者耶穌和門徒去參加一些比較隆重的宴會
[00:01:00.880 --> 00:01:03.160]  聖經講坐席,你記得嗎?
[00:01:03.160 --> 00:01:07.560]  坐席這個詞就是去喝酒的意思
[00:01:07.560 --> 00:01:11.640]  耶穌和門徒一起去喝酒、吃飯
[00:01:11.640 --> 00:01:13.800]  耶穌常常和不同的人吃飯
[00:01:13.800 --> 00:01:17.320]  因此曾經招來很多負面的批評
[00:01:17.320 --> 00:01:19.320]  和吃飯有關的批評
