
[00:00:00.000 --> 00:00:04.800]  今日分享的題目是「混亂中跟隨神」
[00:00:04.800 --> 00:00:06.800]  暑假剛剛過了
[00:00:06.800 --> 00:00:10.720]  暑假的時候我們下一代的事工都有很多的camp
[00:00:10.720 --> 00:00:12.720]  無論兒童部、少年部
[00:00:12.720 --> 00:00:15.360]  少年部當然也會有很多的camp
[00:00:15.360 --> 00:00:19.360]  而其實我們少年部這個暑假最後一次的camp
[00:00:19.360 --> 00:00:21.120]  其實剛剛現在還在舉行
[00:00:21.120 --> 00:00:24.320]  就是昨天和今天舉行的中一camp
[00:00:24.320 --> 00:00:28.640]  每一次的camp其實我們都有不同的活動和遊戲
[00:00:28.640 --> 00:00:33.280]  而很多時候玩遊戲都有兩隊或者以上一起比賽
[00:00:33.280 --> 00:00:38.560]  我不知道你知不知道其實我最怕玩的遊戲是甚麼
[00:00:38.560 --> 00:00:42.000]  大家猜一下我最怕玩的遊戲是甚麼
[00:00:42.000 --> 00:00:48.000]  大家通常都是猜肥盛當然最怕玩那些體力勞動的遊戲
[00:00:48.000 --> 00:00:49.840]  因為他一定輸的
[00:00:49.840 --> 00:00:53.600]  其實體力勞動的遊戲我真的不是很喜歡玩的
[00:00:53.600 --> 00:00:57.840]  但其實有一件事比體力勞動的遊戲我更加怕
[00:00:57.840 --> 00:00:59.840]  你知不知道那個是甚麼遊戲
[00:00:59.840 --> 00:01:03.840]  那個遊戲就是「鬥快砌砌圖」
[00:01:03.840 --> 00:01:05.840]  我真的很怕「鬥快砌砌圖」
[00:01:05.840 --> 00:01:07.840]  為甚麼呢?因為通常
[00:01:07.840 --> 00:01:12.560]  剛剛我們過去八月有個星期群體的一個camp
[00:01:12.560 --> 00:01:15.840]  其中一個比賽就是「鬥快砌砌圖」
[00:01:15.840 --> 00:01:19.280]  我要帶著一班少年在那裡「鬥快砌砌圖」
[00:01:19.280 --> 00:01:20.640]  他們很興奮的
[00:01:20.640 --> 00:01:22.640]  一拿到砌圖的時候第一次做甚麼?
[00:01:22.640 --> 00:01:24.640]  「咻呀」
[00:01:24.640 --> 00:01:27.360]  把那些砌圖殺到一地都是
[00:01:27.360 --> 00:01:29.360]  然後殺到一地之後又怎樣呢?
[00:01:29.360 --> 00:01:32.320]  「搶呀!搶呀!搶呀!」
