
[00:00:00.000 --> 00:00:04.720]  各位 今天是年初三
[00:00:04.720 --> 00:00:06.320]  大家過了一年沒有?
[00:00:06.320 --> 00:00:09.000]  你過得順不順利呢?
[00:00:09.000 --> 00:00:10.400]  或者你是奇怪
[00:00:10.400 --> 00:00:14.400]  羅穆斯過年有什麼順不順利的?
[00:00:14.400 --> 00:00:17.880]  記得很多年前我認識一個人
[00:00:17.880 --> 00:00:21.040]  他是做小生意的
[00:00:21.040 --> 00:00:27.200]  年底結婚之後就沒有錢借
[00:00:27.200 --> 00:00:29.920]  太太對丈夫說
[00:00:29.920 --> 00:00:35.160]  老公沒錢辦年貨怎麼過年?
[00:00:35.160 --> 00:00:36.240]  丈夫就說
[00:00:36.240 --> 00:00:37.320]  那你過不過?
[00:00:37.320 --> 00:00:39.240]  你不過我自己過
[00:00:39.240 --> 00:00:42.040]  結果兩個都過了年
[00:00:42.040 --> 00:00:44.760]  我希望你今年的過年
[00:00:44.760 --> 00:00:47.560]  比他們順利些
[00:00:47.560 --> 00:00:52.280]  其實過年有一個故事
[00:00:52.280 --> 00:00:53.840]  可能大家都聽過
[00:00:53.840 --> 00:00:57.440]  為什麼過年要守歲呢?
[00:00:57.440 --> 00:01:03.760]  相傳年是一隻很兇猛的野獸
[00:01:03.760 --> 00:01:06.880]  它每年最後一天都出來吃人
[00:01:06.880 --> 00:01:10.000]  又吃了你的豬牛和牲畜
[00:01:10.000 --> 00:01:13.360]  所以隨即通宵不眠
[00:01:13.360 --> 00:01:17.880]  人們就點炮仗趕走這隻年獸
[00:01:17.880 --> 00:01:18.880]  做得多了
[00:01:18.880 --> 00:01:20.880]  我們中國人就很有智慧
[00:01:20.880 --> 00:01:23.520]  將它變成一個喜慶的日子
[00:01:23.520 --> 00:01:26.800]  一個新年新的開始
[00:01:26.800 --> 00:01:32.800]  所以是一個很好的節日
[00:01:32.800 --> 00:01:35.840]  這個故事其實是一個很重要的訊息
[00:01:35.840 --> 00:01:38.440]  跟我們今天說的也有關係
[00:01:38.440 --> 00:01:42.400]  這個故事的教訓就是要警醒
[00:01:42.400 --> 00:01:46.160]  因為不警醒就被年獸吃了
[00:01:46.160 --> 00:01:49.720]  剛才江穆斯跟我們讀這段經文
[00:01:49.720 --> 00:01:52.320]  就說到十個童女
[00:01:52.320 --> 00:01:53.560]  有些警醒
[00:01:53.560 --> 00:01:55.400]  有些不警醒
[00:01:55.400 --> 00:02:00.240]  我們要看看這個比喻的系列
[00:02:00.240 --> 00:02:05.560]  其中一個今天就說警醒
[00:02:05.560 --> 00:02:10.840]  我們這個比喻的主角
[00:02:10.840 --> 00:02:13.680]  不是年獸
[00:02:13.680 --> 00:02:15.680]  而是耶穌基督
[00:02:15.680 --> 00:02:20.200]  耶穌就是這個比喻裏面的新郎
[00:02:20.200 --> 00:02:21.920]  不單止他是新郎
[00:02:21.920 --> 00:02:24.200]  他回來要接新娘
[00:02:24.200 --> 00:02:27.240]  而且他也是一個君王
[00:02:27.240 --> 00:02:29.920]  怎樣知道耶穌基督是君王呢?
[00:02:29.920 --> 00:02:32.880]  在《馬太福音》21章
[00:02:32.880 --> 00:02:34.880]  即是再早一點的時候
[00:02:34.880 --> 00:02:37.200]  耶穌就進耶路撒冷了
[00:02:37.200 --> 00:02:40.000]  是最後一次進耶路撒冷
[00:02:40.000 --> 00:02:43.720]  然後他就被釘十字架
[00:02:43.720 --> 00:02:49.800]  這段經文《馬太福音》21章1到9節
[00:02:49.800 --> 00:02:56.200]  描寫敘述耶穌基督是一個王的身份進入耶路撒冷
[00:02:56.200 --> 00:02:57.800]  我讀給大家聽
[00:02:57.800 --> 00:03:00.440]  耶穌和門徒走近耶路撒冷
[00:03:00.440 --> 00:03:05.160]  來到橄欖山的白髮旗那裏
[00:03:05.160 --> 00:03:07.880]  耶穌就派了兩個門徒對他們說
[00:03:07.880 --> 00:03:10.880]  你們往對面的村莊那裏
[00:03:10.880 --> 00:03:14.520]  就會見到一隻驢綁在那裏
[00:03:14.520 --> 00:03:16.520]  還有一隻小驢跟他一起
[00:03:16.520 --> 00:03:19.000]  你要將他解開 帶來給我
[00:03:19.000 --> 00:03:21.680]  如果有人問你為何你動我的驢
[00:03:21.680 --> 00:03:24.120]  你就說主需要他們
[00:03:24.120 --> 00:03:25.800]  他就會放你走
