
[00:00:00.000 --> 00:00:02.100]  可能很多病 所以經常說病
[00:00:02.100 --> 00:00:03.600]  其實不是這樣的
[00:00:03.600 --> 00:00:05.340]  我記起一件事
[00:00:05.340 --> 00:00:08.080]  幾年前我的大女兒剛出生沒多久
[00:00:08.080 --> 00:00:11.180]  她的眼睛突然有個問題發生了
[00:00:11.180 --> 00:00:13.780]  然後我太太打電話給我
[00:00:13.780 --> 00:00:15.380]  跟著說要帶她去私家醫院
[00:00:15.380 --> 00:00:17.620]  一個著名的專科醫生那裡看
[00:00:17.620 --> 00:00:18.880]  我有個好的推薦
[00:00:18.880 --> 00:00:22.420]  就送了她去某個私家醫院
[00:00:22.420 --> 00:00:24.620]  一個著名的專科醫生那裡看
[00:00:24.620 --> 00:00:26.060]  我也知道這件事
[00:00:26.060 --> 00:00:27.620]  然後我就說那時候在讀神學
[00:00:27.620 --> 00:00:31.200]  有空間就一起去這間醫院陪我女兒看醫生
[00:00:31.200 --> 00:00:34.140]  竟然我們等了大概一個小時
[00:00:34.140 --> 00:00:35.100]  不知道多久
[00:00:35.100 --> 00:00:36.640]  然後進去的時間很快
[00:00:36.640 --> 00:00:39.000]  三分鐘的時間醫生就看完了
[00:00:39.000 --> 00:00:41.600]  跟著跟我們不說超過五句的說話
[00:00:41.600 --> 00:00:42.580]  跟著就請我們離開
[00:00:42.580 --> 00:00:44.040]  跟著就拿藥搞定
[00:00:44.040 --> 00:00:46.840]  跟著當然結帳的時候就九百塊
[00:00:46.840 --> 00:00:47.940]  對一個神學生來說
[00:00:47.940 --> 00:00:48.980]  九百塊三分鐘
[00:00:48.980 --> 00:00:50.820]  其實是很神奇的一件事
[00:00:50.820 --> 00:00:52.820]  為什麼看醫生這麼簡單
[00:00:52.820 --> 00:00:54.060]  我在心裡面想
[00:00:54.060 --> 00:00:56.460]  其實將來會不會
[00:00:56.460 --> 00:01:00.220]  這麼簡單的事會不會有其他東西可以取代呢
[00:01:00.220 --> 00:01:01.820]  隨著現在科技的發展
[00:01:01.820 --> 00:01:03.020]  其實兩樣東西很特別的
[00:01:03.020 --> 00:01:04.660]  一個就是人工智能
[00:01:04.660 --> 00:01:06.260]  另一個就是大數據
[00:01:06.260 --> 00:01:07.940]  其實有研究說
[00:01:07.940 --> 00:01:10.300]  甚至現在真的做了某樣東西出來
[00:01:10.300 --> 00:01:12.000]  就是中國2017年年底
[00:01:12.000 --> 00:01:14.440]  做了一個人工智能的機械人
[00:01:14.440 --> 00:01:18.540]  他甚至考試考過了
