
[00:00:00.000 --> 00:00:02.000]  好,弟兄姊妹主內平安
[00:00:02.000 --> 00:00:04.700]  特別歡迎每一位來到當中
[00:00:04.700 --> 00:00:06.000]  包括在座的每一位
[00:00:06.000 --> 00:00:07.500]  特別也有一些新朋友
[00:00:07.500 --> 00:00:09.500]  有些來了幾次的朋友
[00:00:09.500 --> 00:00:11.000]  歡迎來到當中
[00:00:11.000 --> 00:00:13.000]  也歡迎你在家裡的弟兄姊妹
[00:00:13.000 --> 00:00:15.500]  一起我們繼續去敬拜上帝
[00:00:15.500 --> 00:00:17.500]  我們去思想上帝給我們的說話
[00:00:17.500 --> 00:00:19.500]  讓我們一起有個祈禱
[00:00:19.500 --> 00:00:21.500]  我們有個祈禱
[00:00:21.500 --> 00:00:22.500]  親愛的主
[00:00:22.500 --> 00:00:24.500]  我們求你去開啟我們的心
[00:00:24.500 --> 00:00:27.500]  讓我們能夠細味你的說話
[00:00:27.500 --> 00:00:30.500]  以致我們知道你留下的說話是寶貴
[00:00:30.500 --> 00:00:32.500]  能夠建立我們的生命
[00:00:32.500 --> 00:00:35.000]  求主你讓我們願意被你徒造
[00:00:35.000 --> 00:00:37.500]  以致我們更加賜神你自己
[00:00:37.500 --> 00:00:39.500]  求你聽我們祈禱
[00:00:39.500 --> 00:00:41.500]  奉耶穌名字而求
[00:00:41.500 --> 00:00:43.500]  阿們
[00:00:43.500 --> 00:00:46.500]  今天跟大家思想的一段聖經就是
[00:00:46.500 --> 00:00:48.500]  關於失去與尋回
[00:00:48.500 --> 00:00:50.500]  不好意思,我打錯了
[00:00:50.500 --> 00:00:51.500]  在第一版裡面
[00:00:51.500 --> 00:00:54.500]  應該是十五章一至三十二節
[00:00:54.500 --> 00:00:57.500]  六九三十五章一至三十二節
[00:00:57.500 --> 00:00:59.500]  關於失去與尋回
[00:00:59.500 --> 00:01:03.500]  當你想起失去與尋回這件事的時候
[00:01:03.500 --> 00:01:05.500]  你有沒有經驗過?
[00:01:05.500 --> 00:01:06.500]  是吧?
[00:01:06.500 --> 00:01:08.000]  不見,試過吧?
[00:01:08.000 --> 00:01:09.500]  找回,試過了沒有?
[00:01:09.500 --> 00:01:10.500]  這樣值得去思考
[00:01:10.500 --> 00:01:12.500]  這個大家都有的經驗
[00:01:12.500 --> 00:01:14.500]  耶穌都說比喻的時候
[00:01:14.500 --> 00:01:16.500]  都說大家很熟悉的經驗
[00:01:16.500 --> 00:01:18.500]  不過首先想介紹一首歌
[00:01:18.500 --> 00:01:20.500]  不知道你聽過這首歌沒有
[00:01:20.500 --> 00:01:23.500]  這首歌你試試看歌詞說什麼
[00:01:23.500 --> 00:01:25.500]  這首歌的名字叫做
[00:01:25.500 --> 00:01:27.500]  「跌嘢唔好搵」
[00:01:27.500 --> 00:01:29.500]  聽過沒有?
[00:01:29.500 --> 00:01:34.500]  原來中年那些聽過
[00:01:34.500 --> 00:01:36.500]  阿豐那些聽過
[00:01:36.500 --> 00:01:37.500]  不知道你聽過沒有
[00:01:37.500 --> 00:01:38.500]  這首歌說
[00:01:38.500 --> 00:01:41.500]  「跌咗嘢就試下唔好搵」
[00:01:41.500 --> 00:01:43.500]  「跌咗嘢就試下唔好猛」
[00:01:43.500 --> 00:01:45.500]  「跌咗嘢就試下唔好急」
[00:01:45.500 --> 00:01:48.500]  「跌咗嘢就試下唔好執」
[00:01:48.500 --> 00:01:50.500]  不知道你會不會這樣呢?
[00:01:50.500 --> 00:01:51.500]  當你跌咗嘢的時候
[00:01:51.500 --> 00:01:53.500]  你會不會不搵不猛
[00:01:53.500 --> 00:01:55.500]  又不急又不執
[00:01:55.500 --> 00:01:57.500]  會不會這樣呢?
[00:01:57.500 --> 00:01:59.500]  通常都不會
[00:01:59.500 --> 00:02:01.500]  跌咗嘢就搵
[00:02:01.500 --> 00:02:03.500]  但是這裡很有趣
[00:02:03.500 --> 00:02:05.500]  最後他說有一個經驗
[00:02:05.500 --> 00:02:06.500]  不知道你有沒有試過
[00:02:06.500 --> 00:02:07.500]  後面就說
[00:02:07.500 --> 00:02:09.500]  跌咗嘢就試下唔好搵
[00:02:09.500 --> 00:02:10.500]  就是不斷搵
[00:02:10.500 --> 00:02:12.500]  搞到個人很猛之後
[00:02:12.500 --> 00:02:13.500]  不要搵
[00:02:13.500 --> 00:02:16.500]  不妨試下等一等
[00:02:16.500 --> 00:02:17.500]  等一等
[00:02:17.500 --> 00:02:21.500]  你試過等一等之後
[00:02:21.500 --> 00:02:23.500]  之後搵返
[00:02:23.500 --> 00:02:25.500]  大家很有共鳴
[00:02:25.500 --> 00:02:26.500]  真的
[00:02:26.500 --> 00:02:28.500]  不知道為什麼會這樣
[00:02:28.500 --> 00:02:31.500]  找了一段時間都搵唔到
[00:02:31.500 --> 00:02:32.500]  所以你覺得值得今天
[00:02:32.500 --> 00:02:33.500]  我們先去想一想
[00:02:33.500 --> 00:02:34.500]  我們有沒有試過
[00:02:34.500 --> 00:02:35.500]  就是這樣跌咗嘢
[00:02:35.500 --> 00:02:36.500]  立刻搵返
[00:02:36.500 --> 00:02:38.500]  有沒有試過跌咗嘢
