
[00:00:00.000 --> 00:00:04.560]  約瑟的聖誕路是甚麼路呢?
[00:00:04.560 --> 00:00:08.560]  你的聖誕路是甚麼路呢?
[00:00:08.560 --> 00:00:10.440]  好像在我的封面文章裏分享
[00:00:10.440 --> 00:00:13.960]  約瑟其實是一個很沉默的角色
[00:00:13.960 --> 00:00:15.160]  幾乎
[00:00:15.160 --> 00:00:17.040]  我沒有細心看
[00:00:17.040 --> 00:00:21.240]  四副加起來他都好像沒有說一句話
[00:00:21.240 --> 00:00:22.680]  特別是耶穌誕生那段記載
[00:00:22.680 --> 00:00:24.240]  更加沒有甚麼聲音
[00:00:24.240 --> 00:00:25.440]  我回去看看詩歌
[00:00:25.440 --> 00:00:27.240]  沒有甚麼人說約瑟的
[00:00:27.240 --> 00:00:28.840]  整個聖誕故事
[00:00:28.840 --> 00:00:32.640]  約瑟似乎是一個很主要的男配角
[00:00:32.640 --> 00:00:33.960]  差不多等於凱里菲
[00:00:33.960 --> 00:00:35.080]  不用說話的那些
[00:00:35.080 --> 00:00:39.280]  就在整個故事裏面去參與
[00:00:39.280 --> 00:00:42.040]  但是是不是這樣呢?
[00:00:42.040 --> 00:00:43.800]  神是不是記載約瑟
[00:00:43.800 --> 00:00:46.760]  就單單給了這個沉默的角色我們
[00:00:46.760 --> 00:00:51.520]  而在身上沒有很重要的生命的榜樣呢?
[00:00:51.520 --> 00:00:53.240]  我相信不是
[00:00:53.240 --> 00:00:55.680]  所以去年大家記得我是說瑪利亞
[00:00:55.680 --> 00:00:59.280]  用一個講故事的形式
[00:00:59.280 --> 00:01:02.680]  去給大家一個體會
[00:01:02.680 --> 00:01:04.120]  原來你不知道大家知不知道
[00:01:04.120 --> 00:01:08.480]  現在港島最新的研究訓練
[00:01:08.480 --> 00:01:10.360]  開始是講故事的
[00:01:10.360 --> 00:01:11.120]  所謂Narrative
[00:01:11.120 --> 00:01:13.640]  一些技術式的港島方法
[00:01:13.640 --> 00:01:16.160]  是給更多的匯眾空間
[00:01:16.160 --> 00:01:19.880]  去參與進入信息當中
[00:01:19.880 --> 00:01:21.800]  去個別的
[00:01:21.800 --> 00:01:24.760]  去讓神光照去體驗
[00:01:24.760 --> 00:01:27.120]  神要在這個信息裏面
[00:01:27.120 --> 00:01:30.360]  對自己有什麼提醒
[00:01:30.360 --> 00:01:31.760]  經過了一年的操練
