
[00:00:00.000 --> 00:00:05.040]  好 我們開始的時候一起做個祈禱
[00:00:05.040 --> 00:00:06.560]  諾迪天父我們感謝你
[00:00:06.560 --> 00:00:10.960]  因為你將這本聖經放在我們當中
[00:00:10.960 --> 00:00:13.760]  正如剛才Dennis說的那篇道
[00:00:13.760 --> 00:00:16.640]  你的道常與你的子民同在
[00:00:16.640 --> 00:00:19.680]  是你的道創造了你的子民
[00:00:19.680 --> 00:00:22.080]  當主耶穌基督來到這個世界
[00:00:22.080 --> 00:00:23.280]  道成了肉身
[00:00:23.280 --> 00:00:27.520]  這個道不是一個突然間發生的事情
[00:00:27.520 --> 00:00:32.480]  而是經歷到過去整本舊約聖經不斷傳講你的道
[00:00:32.480 --> 00:00:38.400]  只是耶穌基督成為那個道最終的高峰
[00:00:38.400 --> 00:00:44.720]  祂是成就了過往所有道的寓言
[00:00:44.720 --> 00:00:46.400]  我們讀聖經也是一樣
[00:00:46.400 --> 00:00:48.160]  我們讀的是舊約
[00:00:48.160 --> 00:00:51.040]  我們所看見的
[00:00:51.040 --> 00:00:54.320]  未是最終那個實體
[00:00:54.320 --> 00:00:59.440]  但我們知道這一切的影子都是指向在新約裏面
[00:00:59.440 --> 00:01:04.880]  在耶穌基督裏面真正要成就的寓言
[00:01:04.880 --> 00:01:08.400]  求主祢幫助我們今天既可以回到舊約
[00:01:08.400 --> 00:01:13.040]  也都是通過舊約的眼鏡
[00:01:13.040 --> 00:01:16.720]  可以看見新約裏面最終的成就
[00:01:16.720 --> 00:01:18.800]  幫助我們有清晰的頭腦
[00:01:18.800 --> 00:01:20.480]  幫助我們有好的記憶
[00:01:20.480 --> 00:01:26.080]  可能我們已經有一段時間都沒有再看這個生命記
[00:01:26.080 --> 00:01:32.240]  幫助我們記起當中一些很重要的經文
[00:01:32.240 --> 00:01:36.880]  以致祂成為我們生命中
[00:01:36.880 --> 00:01:38.560]  改變我們生命的真理
[00:01:38.560 --> 00:01:40.960]  再次多謝你讓我們有這樣的機會在一起
[00:01:40.960 --> 00:01:42.800]  祈禱去奉祭耶穌基督明求
[00:01:42.800 --> 00:01:44.320]  阿門
[00:01:44.320 --> 00:01:48.960]  歡迎大家來聽我們這個舊約聖經講座
[00:01:48.960 --> 00:01:51.440]  今天是一個「Milestone」
[00:01:51.440 --> 00:01:53.520]  今天是一個很特別的里程碑
[00:01:53.520 --> 00:01:57.520]  因為今天我們將會讀完摩西五經
[00:01:57.520 --> 00:02:03.200]  如果你計算葉數或者章數
[00:02:03.200 --> 00:02:05.040]  當你讀完摩西五經的時候
[00:02:05.040 --> 00:02:09.600]  你大概讀完舊約的五分之一左右
[00:02:09.600 --> 00:02:11.600]  但如果你問一些猶太人
[00:02:11.600 --> 00:02:16.400]  他會覺得其實摩西五經已經是八成了
[00:02:16.400 --> 00:02:17.440]  你明白嗎
[00:02:17.440 --> 00:02:19.920]  其實我們讀的這兩成
[00:02:19.920 --> 00:02:23.280]  如果你明白究竟這兩成講什麼
[00:02:23.280 --> 00:02:28.880]  你發現後面的八成都是翻炒這兩成裡面的主題
[00:02:28.880 --> 00:02:30.960]  相反如果你看完這兩成
