
[00:00:00.000 --> 00:00:03.880]  今日的講題是「屬靈身份」和「屬靈的照明」
[00:00:03.880 --> 00:00:05.440]  第十節那裡說到
[00:00:05.440 --> 00:00:07.680]  所以你們要更加努力
[00:00:07.680 --> 00:00:08.960]  殷勤努力
[00:00:08.960 --> 00:00:11.040]  叫你們的「蒙照」
[00:00:11.040 --> 00:00:12.320]  即是照明
[00:00:12.320 --> 00:00:15.080]  跟你們的被選、你們的揀選
[00:00:15.080 --> 00:00:16.280]  更加甚麼?
[00:00:16.280 --> 00:00:18.080]  堅定
[00:00:18.080 --> 00:00:19.880]  這裏說到
[00:00:19.880 --> 00:00:22.280]  怎樣可以令到我們的屬靈生命
[00:00:22.280 --> 00:00:25.160]  我們被揀選的那個位份
[00:00:25.160 --> 00:00:30.080]  以及我們屬靈的人生的照明更加堅定不移
[00:00:30.080 --> 00:00:31.440]  以致我們
[00:00:31.440 --> 00:00:32.520]  第十一節那裡說到
[00:00:32.520 --> 00:00:37.040]  以致我們可以豐豐富富地進入神的國
[00:00:37.040 --> 00:00:41.200]  今日我們就從這段聖經去尋找答案
[00:00:41.200 --> 00:00:43.640]  我們再一次在上帝面前一起禱告
[00:00:43.640 --> 00:00:49.280]  慈悲人愛天父
[00:00:49.280 --> 00:00:51.520]  求祢潔淨我們的罪
[00:00:51.520 --> 00:00:54.040]  我們或有隱而未現的罪
[00:00:54.040 --> 00:00:56.960]  或有一些我們在祢面前
[00:00:56.960 --> 00:01:00.000]  我們未完全承認
[00:01:00.000 --> 00:01:03.360]  未完全回轉、遠離的罪惡
[00:01:03.360 --> 00:01:04.920]  求祢潔淨我們
[00:01:04.920 --> 00:01:06.800]  求聖靈光照我們
[00:01:06.800 --> 00:01:08.360]  叫我們醒悟
[00:01:08.360 --> 00:01:11.080]  叫我們知道要來到祢神面前
[00:01:11.080 --> 00:01:13.400]  我們要守潔心清
[00:01:13.400 --> 00:01:16.200]  求祢讓我們敏感祢的心意
[00:01:16.200 --> 00:01:18.440]  繼續在生命裏面
[00:01:18.440 --> 00:01:21.600]  知道祢給我們人生有甚麼計劃
[00:01:21.600 --> 00:01:25.000]  叫我們懂得真正不枉此生
[00:01:25.000 --> 00:01:27.720]  是走在祢的旨意上
[00:01:27.720 --> 00:01:30.640]  求祢帶領我們教會
[00:01:30.640 --> 00:01:34.320]  帶領我們每一個弟兄姊妹的人生
[00:01:34.320 --> 00:01:35.680]  多謝你聽我們祈禱
[00:01:35.680 --> 00:01:37.280]  奉耶穌基督的聖名
[00:01:37.280 --> 00:01:44.080]  我去了溫哥華頭尾十天
[00:01:44.080 --> 00:01:46.720]  去頭那兩天有點睏
[00:01:46.720 --> 00:01:48.560]  接著有些活動
[00:01:48.560 --> 00:01:51.840]  沒有甚麼機會休息
[00:01:51.840 --> 00:01:55.720]  但很開心見到很多朋友
[00:01:55.720 --> 00:01:57.720]  在那邊我聽到一個新聞
[00:01:57.720 --> 00:02:04.480]  有一個前特首判了監禁
[00:02:04.480 --> 00:02:07.480]  聽說應該判多久?
[00:02:07.480 --> 00:02:09.080]  判了二十個月
[00:02:09.080 --> 00:02:12.160]  好像已經減刑了
[00:02:12.160 --> 00:02:13.680]  對了
[00:02:13.680 --> 00:02:15.160]  已經減刑了
[00:02:15.160 --> 00:02:17.680]  是不是?志偉是不是已經減刑了?
[00:02:17.680 --> 00:02:22.360]  志偉好像已經減刑了
[00:02:22.360 --> 00:02:25.400]  這位曾蔭權先生
[00:02:25.400 --> 00:02:29.000]  英文名叫Donald Zeng
[00:02:29.000 --> 00:02:33.120]  他和特朗普差不多
[00:02:33.120 --> 00:02:35.960]  你想想這兩個政治人物是很特別的
[00:02:35.960 --> 00:02:37.800]  從他們兩個身上
[00:02:37.800 --> 00:02:40.400]  特朗普也好
[00:02:40.400 --> 00:02:44.000]  你會發覺原來一個人的遺憤
[00:02:44.000 --> 00:02:47.680]  就影響他要做些甚麼
[00:02:47.680 --> 00:02:51.880]  你記得曾蔭權當選特首之後
[00:02:51.880 --> 00:02:56.480]  他還說他每天都去聖堂祈禱
[00:02:56.480 --> 00:03:01.120]  他說每天上班前都去聖堂安靜一下
