
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹,網上的弟兄姊妹,大家早安
[00:00:03.000 --> 00:00:05.800]  讓我們再次回來,在主的說話面前
[00:00:05.800 --> 00:00:08.200]  我們一起同心去預備
[00:00:08.200 --> 00:00:12.400]  我們心思意念,來明白認識我們的主愛之神
[00:00:12.400 --> 00:00:15.000]  我們一起同心低頭禱告
[00:00:15.000 --> 00:00:22.600]  父神多謝祢,讓我們可以再次來到崇拜的地方
[00:00:22.600 --> 00:00:26.800]  一起將祂心緊貼上主祢的胸膛
[00:00:27.200 --> 00:00:32.600]  很想我們能夠從當中去細聽上主祢的心思意念
[00:00:32.600 --> 00:00:36.400]  求祢的帶領,讓我們藉著祢的啟示
[00:00:36.400 --> 00:00:38.800]  更明白上主祢的心
[00:00:38.800 --> 00:00:43.200]  也讓我們學曉怎樣能夠在這個地上
[00:00:43.200 --> 00:00:46.200]  活出一個合神心意的生命
[00:00:46.200 --> 00:00:48.400]  讓人見到我們的時候
[00:00:48.400 --> 00:00:51.600]  就讓他們可以同時讚歎
[00:00:51.600 --> 00:00:54.000]  這位認識上主的人
[00:00:54.000 --> 00:00:57.800]  他們怎樣在地上顯出上主的榮美
[00:00:57.800 --> 00:01:00.000]  所以祈求主祢給我們有智慧
[00:01:00.000 --> 00:01:04.800]  求祢讓我們在這份侍奉裡面有所擔當
[00:01:04.800 --> 00:01:07.400]  並且能夠竭力做好
[00:01:07.400 --> 00:01:10.800]  我們知道很多時候我們或許會有一些挑戰
[00:01:10.800 --> 00:01:15.800]  或者會重新受到我們本身罪的誘惑
[00:01:15.800 --> 00:01:20.000]  從而我們在上主祢的見證上面有所虧欠
[00:01:20.000 --> 00:01:24.200]  祈求主祢的赦免,也讓悔改的心
[00:01:24.200 --> 00:01:28.000]  與追求主道的心思能夠並行
[00:01:28.000 --> 00:01:31.600]  讓我們帶著守潔心清的生命
[00:01:31.600 --> 00:01:36.400]  來到上主祢這條永恆的道路上面一直奔跑
[00:01:36.400 --> 00:01:38.800]  多謝祢積著聖靈的引導
