
[00:00:00.000 --> 00:00:02.280]  我們時時都會祈禱
[00:00:02.280 --> 00:00:05.600]  所以今天剛剛在《馬福音》第七章裏面
[00:00:05.600 --> 00:00:09.840]  也是一個講到祈禱學習的一個功課
[00:00:09.840 --> 00:00:15.520]  我們一起來看《馬福音》第七章二十四到三十節
[00:00:15.520 --> 00:00:23.040]  延續上一次我在五月第一個禮拜講的七章一到二十三節
[00:00:23.040 --> 00:00:25.680]  這裏有一個耶穌的經歷
[00:00:25.680 --> 00:00:30.040]  去遇到一個愛邦的婦人 一位母親
[00:00:30.040 --> 00:00:34.200]  怎樣讓這位母親來到耶穌面前祈求
[00:00:34.200 --> 00:00:36.920]  成為我們一個禱告的學習
[00:00:36.920 --> 00:00:40.040]  我想和大家一起來先讀完這一段經文
[00:00:40.040 --> 00:00:45.640]  讓我們一起來認識多一點加深印象
[00:00:45.640 --> 00:00:48.800]  我們看到的請一起來讀完這一段經文
[00:00:48.800 --> 00:00:50.400]  預備起
[00:00:50.400 --> 00:00:56.280]  耶穌從那裡起身往泰爾西頓的境內去
[00:00:56.280 --> 00:01:01.760]  進了一家不願意人知道卻隱藏不住
[00:01:01.760 --> 00:01:04.280]  當下有一個婦人
[00:01:04.280 --> 00:01:07.720]  她的小女兒被污鬼附著
[00:01:07.720 --> 00:01:13.280]  聽見耶穌的事就來俯伏在她腳前
[00:01:13.280 --> 00:01:18.720]  這婦人是希臘人屬敘利菲利基族
[00:01:18.720 --> 00:01:24.080]  她求耶穌趕出那鬼離開她的女兒
[00:01:24.080 --> 00:01:26.000]  耶穌對她說
[00:01:26.000 --> 00:01:28.800]  「讓兒女們先吃飽
[00:01:28.800 --> 00:01:32.960]  不好那兒女的餅叼給狗吃」
[00:01:32.960 --> 00:01:34.800]  婦人回答說
[00:01:34.800 --> 00:01:36.600]  「主啊 不錯
[00:01:36.600 --> 00:01:42.840]  但是狗在桌子底下也吃孩子們的睡渣兒」
[00:01:42.840 --> 00:01:44.840]  耶穌對她說
[00:01:44.840 --> 00:01:46.480]  「因這句話
[00:01:46.480 --> 00:01:51.680]  你回去吧 鬼已經離開你的女兒了
[00:01:51.680 --> 00:01:53.600]  下午回家去
[00:01:53.600 --> 00:01:56.760]  見小孩子躺在床上
[00:01:56.760 --> 00:01:59.680]  鬼已經出去了」
[00:01:59.680 --> 00:02:03.320]  我們在這段經文
[00:02:03.320 --> 00:02:06.680]  大家有機會或者可以回去溫習的時候
[00:02:06.680 --> 00:02:09.760]  可以看馬太福音的第十五章
[00:02:09.760 --> 00:02:13.000]  同樣都是記載這位媽媽
[00:02:13.000 --> 00:02:15.280]  來到耶穌面前的祈求
[00:02:15.280 --> 00:02:20.480]  稍後我們也會看馬太福音第十五章的經文
[00:02:20.480 --> 00:02:22.800]  這段經文的重點是甚麼呢?
[00:02:22.800 --> 00:02:25.000]  我們怎樣來學習祈禱
[00:02:25.000 --> 00:02:26.520]  雖然我們也會覺得
[00:02:26.520 --> 00:02:29.080]  祈禱也是作為基督徒
[00:02:29.080 --> 00:02:31.840]  很多弟兄姊妹已經很熟悉的
[00:02:31.840 --> 00:02:35.680]  一個在你的信仰生活裏面會做的
[00:02:35.680 --> 00:02:37.440]  我們還可以學到甚麼呢?
[00:02:37.440 --> 00:02:38.840]  我也相信聖經
[00:02:38.840 --> 00:02:42.760]  我們也有機會學到不同祈禱的功課
[00:02:42.760 --> 00:02:46.240]  聖經的一些不同的經文,無論是福音書、耶穌的教導
[00:02:46.240 --> 00:02:50.160]  或者在其他新舊約的聖經也有講到禱告
[00:02:50.160 --> 00:02:52.440]  都是我們要不斷地學習
[00:02:52.440 --> 00:02:58.480]  但我相信在西頓的婦人這位媽媽身上
[00:02:58.480 --> 00:03:00.760]  其實也是一個很好的教導
[00:03:00.760 --> 00:03:04.400]  我們做一次怎樣來祈禱
[00:03:04.400 --> 00:03:05.240]  祈禱是甚麼呢?
[00:03:05.240 --> 00:03:06.480]  在這段經文提醒我們
[00:03:06.480 --> 00:03:11.440]  是一個表達我們和神之間的關係
[00:03:11.440 --> 00:03:15.400]  這個可能是我們比較少去想或留意到的
[00:03:15.400 --> 00:03:19.440]  但在這段經文其實是透過這位媽媽去祈禱
[00:03:19.440 --> 00:03:21.320]  向耶穌祈求的時候
[00:03:21.320 --> 00:03:26.280]  其實是在講或是很重點地告訴耶穌
[00:03:26.280 --> 00:03:28.200]  或是表達祂和神
[00:03:28.200 --> 00:03:33.560]  一個祈禱的人和神之間的關係
[00:03:33.560 --> 00:03:35.640]  這個關係其實另一個反應就是
[00:03:35.640 --> 00:03:39.040]  我向神傳授一個怎樣的心
[00:03:39.040 --> 00:03:41.640]  不知道大家還有沒有印象
[00:03:41.640 --> 00:03:46.560]  剛才幼兒啟蒙師班獻唱了一首詩歌
[00:03:46.560 --> 00:03:48.200]  如果大家看回程序表
[00:03:48.200 --> 00:03:50.440]  這首詩歌的名字叫甚麼?
[00:03:50.440 --> 00:03:54.200]  叫做「祈禱要用心」
[00:03:54.200 --> 00:03:55.600]  其實正正就是提醒我們
[00:03:55.600 --> 00:03:59.880]  我們向神傳授一個怎樣的心呢?
[00:03:59.880 --> 00:04:03.680]  一個是否對神渴求的心
[00:04:03.680 --> 00:04:08.480]  或者無論是這首小朋友詩班裏面
[00:04:08.480 --> 00:04:09.600]  講到要用心
[00:04:09.600 --> 00:04:12.760]  是要用一個真心也好
[00:04:12.760 --> 00:04:15.120]  或者其實我們在一般
[00:04:15.120 --> 00:04:19.480]  我們中國人一些傳統家庭裏面成長的
[00:04:19.480 --> 00:04:22.520]  我們的父母時不時都教我們
[00:04:22.520 --> 00:04:24.280]  以前我也是這樣
[00:04:24.280 --> 00:04:28.320]  他們又拜很多不同的偶像神明
