
[00:00:00.000 --> 00:00:01.860]  很願意做神
[00:00:01.860 --> 00:00:05.360]  很開心又可以來到大家當中
[00:00:05.360 --> 00:00:07.140]  分享神的訊息
[00:00:07.140 --> 00:00:10.760]  在聽道之前我們先低頭祈禱
[00:00:10.760 --> 00:00:17.380]  (低頭祈禱)
[00:00:17.380 --> 00:00:19.080]  祈禱上帝我們感謝禰
[00:00:19.080 --> 00:00:21.080]  因爲是禰的保守
[00:00:21.080 --> 00:00:23.640]  讓我們可以有這樣的福氣
[00:00:23.640 --> 00:00:27.160]  我們可以現在坐在禰的聖殿當中
[00:00:27.160 --> 00:00:28.640]  去敬拜禰
[00:00:28.640 --> 00:00:29.960]  特別是在這個時候
[00:00:29.960 --> 00:00:33.040]  主啊我們要聽禰親自對我們講說話
[00:00:33.040 --> 00:00:34.840]  主禰使用禰的福音
[00:00:34.840 --> 00:00:37.400]  禰使用祂所預備的訊息
[00:00:37.400 --> 00:00:38.560]  禰幫助我們
[00:00:38.560 --> 00:00:41.160]  都可以謙卑地安靜我們的心
[00:00:41.160 --> 00:00:44.680]  讓我們可以真真正正在安靜當中
[00:00:44.680 --> 00:00:47.280]  去聽到主禰自己的聲音
[00:00:47.280 --> 00:00:48.520]  對我們講說話
[00:00:48.520 --> 00:00:50.080]  原主禰與我們同在
[00:00:50.080 --> 00:00:51.960]  帶領我們以下時間
[00:00:51.960 --> 00:00:55.000]  禰除去十八年一切狗咬的作爲
[00:00:55.000 --> 00:00:58.920]  禰讓我們這個會場單單的屬於禰
[00:00:58.920 --> 00:01:01.080]  禰在當中作主作王
[00:01:01.080 --> 00:01:01.840]  我們感謝禰
[00:01:01.840 --> 00:01:03.200]  聽我們禱告
[00:01:03.200 --> 00:01:05.040]  供主耶穌的聖命
[00:01:05.040 --> 00:01:07.840]  Amen
[00:01:07.840 --> 00:01:09.840]  我們很熟悉的
[00:01:09.840 --> 00:01:14.720]  在以往如果我們要去衡量一件事
[00:01:14.720 --> 00:01:16.120]  可不可以做
[00:01:16.120 --> 00:01:18.800]  在基督教的圈子當中
[00:01:18.800 --> 00:01:25.520]  在我們基督教當中我們就會問一句話
[00:01:25.520 --> 00:01:28.280]  就是WWJD
[00:01:28.280 --> 00:01:30.960]  WWJD是什麼意思呢
[00:01:30.960 --> 00:01:33.800]  你當然知道已經說了出來
[00:01:33.800 --> 00:01:35.760]  What would Jesus do?
[00:01:35.760 --> 00:01:37.840]  主耶穌會做什麼呢
[00:01:37.840 --> 00:01:39.320]  如果我要做這件事
[00:01:39.320 --> 00:01:42.120]  我又不知道聖經有什麼標準
[00:01:42.120 --> 00:01:46.200]  或者說聖經可能沒有很清楚地去指示我的
[00:01:46.200 --> 00:01:48.800]  譬如說可不可以吸菸
[00:01:48.800 --> 00:01:49.840]  可不可以要賭錢
[00:01:49.840 --> 00:01:51.760]  好像沒有說到
[00:01:51.760 --> 00:01:53.480]  我們就會說
[00:01:53.480 --> 00:01:56.200]  如果耶穌祂是怎麼做呢
[00:01:56.200 --> 00:01:58.000]  所以我們就有這句話
[00:01:58.000 --> 00:01:59.520]  What would Jesus do?
[00:01:59.520 --> 00:02:02.240]  但是原來在基督教的圈子當中
[00:02:02.240 --> 00:02:04.360]  有另外一句話
[00:02:04.360 --> 00:02:10.320]  就是WDJD
[00:02:10.320 --> 00:02:12.360]  這個你都知道了
[00:02:12.360 --> 00:02:13.880]  What did Jesus do?
[00:02:13.880 --> 00:02:17.720]  這個就是讓我們去仿效主耶穌的
