
[00:00:00.000 --> 00:00:03.840]  今年的感恩節,不曉得大家有沒有喫到火雞呀?
[00:00:03.840 --> 00:00:11.000]  跟你旁邊說感謝神喫到火雞了
[00:00:11.000 --> 00:00:14.080]  如果沒有的話,也感謝神沒喫到火雞,好不好?
[00:00:14.080 --> 00:00:23.800]  剛纔我們讀的這個詩篇
[00:00:23.800 --> 00:00:28.420]  我們其實只是把它抽出來了這幾集
[00:00:28.920 --> 00:00:31.740]  但是在整個詩篇五詩篇裏面呢
[00:00:31.740 --> 00:00:34.300]  它的內容
[00:00:34.300 --> 00:00:37.360]  其實第一節到第六節
[00:00:37.360 --> 00:00:39.420]  是在講到說
[00:00:39.420 --> 00:00:45.560]  他神要以色列的百姓預備好要接受審判
[00:00:45.560 --> 00:00:48.380]  爲什麼呢?
[00:00:48.380 --> 00:00:50.940]  接着他在第七節到十五節就講了
[00:00:50.940 --> 00:00:54.520]  因爲這些聽到神話語的人呢
[00:00:54.520 --> 00:00:58.100]  他們對獻祭有不正確的態度
[00:00:59.900 --> 00:01:02.980]  接着到十六節到二十三節呢
[00:01:02.980 --> 00:01:06.300]  他就斥責那些
[00:01:06.300 --> 00:01:08.600]  言行不一致
[00:01:08.600 --> 00:01:14.480]  也就是說他的行事爲人跟他自己所信仰的不相稱的這些人
[00:01:14.480 --> 00:01:20.120]  所以在這個中間呢,他連續的兩次出現了類似的話
[00:01:20.120 --> 00:01:24.220]  就是應當以感謝爲祭獻給神
[00:01:24.220 --> 00:01:28.060]  應當以感謝爲祭獻給神
[00:01:29.080 --> 00:01:29.900]  親愛的同志們
[00:01:29.900 --> 00:01:32.980]  在舊約裏面
[00:01:32.980 --> 00:01:35.540]  我們知道在舊約裏面
[00:01:35.540 --> 00:01:38.860]  特別在立位祭裏面提到說
[00:01:38.860 --> 00:01:40.640]  要有五種的祭
[00:01:40.640 --> 00:01:42.940]  以色列的獻祭有五種的祭
[00:01:42.940 --> 00:01:44.740]  有這個
[00:01:44.740 --> 00:01:47.820]  贖罪祭,有贖圈祭
[00:01:47.820 --> 00:01:51.400]  有這個贖祭,有平安祭,還有藩祭
[00:01:51.400 --> 00:01:56.520]  那麼每一個祭的做法目的都不太一樣
