
[00:00:00.000 --> 00:00:03.600]  我們今天的主題是愛人如己
[00:00:03.600 --> 00:00:07.680]  愛人如己的題目我們是學習一個人際關係的功夫
[00:00:07.680 --> 00:00:10.000]  我們今個月的主題
[00:00:10.000 --> 00:00:12.080]  是教會的主題就是人際關係
[00:00:12.080 --> 00:00:15.360]  怎樣作百般恩賜的管家
[00:00:15.360 --> 00:00:18.960]  就是一個人際關係我們一門很大的學問
[00:00:18.960 --> 00:00:21.680]  這個學問很多時候
[00:00:21.680 --> 00:00:24.880]  坊間很多時候形容
[00:00:24.880 --> 00:00:28.240]  很多時候人很有智慧
[00:00:28.240 --> 00:00:29.360]  很有智商
[00:00:29.360 --> 00:00:31.840]  但是和人相處
[00:00:31.840 --> 00:00:35.120]  就有一種叫情緒相掃的關係在裏面
[00:00:35.120 --> 00:00:39.360]  這種天生的或者是
[00:00:39.360 --> 00:00:42.880]  有些坊間的書籍就說怎樣可以增強人際關係
[00:00:42.880 --> 00:00:45.360]  雖然是EQ低一點但是怎樣可以做呢
[00:00:45.360 --> 00:00:49.760]  很多坊間的書籍是教人怎樣可以
[00:00:49.760 --> 00:00:52.560]  對人人際關係之間做得好
[00:00:52.560 --> 00:00:54.560]  所以IQ好又未必EQ好
[00:00:54.560 --> 00:00:59.280]  其實就是人際關係是一個很大的學問
[00:00:59.280 --> 00:01:04.400]  很多時候提到EQ這個相掃的時候
[00:01:04.400 --> 00:01:08.400]  但究竟知道EQ我們有這樣的困難
[00:01:08.400 --> 00:01:12.400]  譬如說見到小朋友他們的情緒相掃低一點
[00:01:12.400 --> 00:01:14.400]  那怎樣可呢?怎樣算呢?
[00:01:14.400 --> 00:01:19.280]  其實我們知道這個相掃之後就不知道有什麼出路
[00:01:19.280 --> 00:01:20.480]  很多時候就是這樣
[00:01:20.480 --> 00:01:26.960]  但是我們就可以在今天的經文裏面學到一個功課
[00:01:26.960 --> 00:01:29.840]  聖經裏面其實有教到我們人際關係的功課
[00:01:29.840 --> 00:01:34.640]  我們今天就首先請小朋友上來前面
[00:01:34.640 --> 00:01:37.840]  我們有些示範
[00:01:37.840 --> 00:01:40.880]  大家坐前一點就會看得清楚一點
[00:01:54.480 --> 00:01:59.200]  我就借用了我的道具
[00:01:59.200 --> 00:02:07.920]  其實我們讀書的時候也有些科學學會
[00:02:07.920 --> 00:02:12.400]  我們學一些電腦版的科學常識
[00:02:12.400 --> 00:02:17.120]  那時候那個年代要懂得燒焊才有得玩
[00:02:17.120 --> 00:02:19.280]  因為不懂燒焊根本做不到電腦
[00:02:19.280 --> 00:02:22.160]  但是現在這個年代小朋友非常幸福
[00:02:22.160 --> 00:02:27.280]  因為有些磁鐵的就駁好電腦出來
[00:02:27.280 --> 00:02:30.720]  其實我們日常生活也有很多電腦
[00:02:30.720 --> 00:02:31.760]  怎樣電腦呢?
[00:02:31.760 --> 00:02:34.400]  譬如說大家的手提電話
[00:02:34.400 --> 00:02:39.840]  就算簡單到一個電筒也是
[00:02:39.840 --> 00:02:44.720]  但是這個訊息我們上個星期
[00:02:44.720 --> 00:02:46.720]  記不記得上個星期小朋友我們學過些什麼?
