
[00:00:00.000 --> 00:00:06.000]  很高興今天在講台上和大家見面
[00:00:06.000 --> 00:00:11.000]  大家知道這一期我是講詩篇
[00:00:11.000 --> 00:00:16.000]  先後講了三篇了
[00:00:16.000 --> 00:00:21.000]  今天第四篇是講詩篇二十三篇
[00:00:21.000 --> 00:00:28.000]  詩篇二十三篇是詩篇裏面的詩篇
[00:00:28.000 --> 00:00:31.000]  我們叫做神級的詩篇
[00:00:31.000 --> 00:00:36.000]  很多人由小到大都會背過詩篇二十三篇
[00:00:36.000 --> 00:00:42.000]  因為它只有六節
[00:00:42.000 --> 00:00:48.000]  但隱藏了一些很深的道理
[00:00:48.000 --> 00:00:52.000]  還有一些很安慰的話
[00:00:52.000 --> 00:00:56.000]  對我來講是很有幫助的
[00:00:56.000 --> 00:00:59.000]  你可能說我聽過詩篇二十三篇很多次了
[00:00:59.000 --> 00:01:02.000]  可能你們都聽過詩篇二十三篇很多次了
[00:01:02.000 --> 00:01:09.000]  今天我特別去講走過死蔭幽谷這個話題
[00:01:09.000 --> 00:01:11.000]  今天我特別要講的就是
[00:01:11.000 --> 00:01:13.000]  怎麼樣走過死蔭的幽谷
[00:01:13.000 --> 00:01:15.000]  就是第四節那裏
[00:01:15.000 --> 00:01:16.000]  就是第四節那邊
[00:01:16.000 --> 00:01:19.000]  未講之前都要講一下第一節
[00:01:19.000 --> 00:01:21.000]  因為第一節是大家很熟悉的
[00:01:21.000 --> 00:01:24.000]  第一節就是大家都很熟悉的
[00:01:24.000 --> 00:01:26.000]  耶和華是我的目者
[00:01:26.000 --> 00:01:31.000]  我必不自缺乏
[00:01:31.000 --> 00:01:36.000]  這句話真的是神的啟示
[00:01:36.000 --> 00:01:38.000]  大衛寫這句話的時候
[00:01:38.000 --> 00:01:45.000]  他很清楚知道自己在講什麼
[00:01:45.000 --> 00:01:49.000]  你不要看它是短短的一句話
[00:01:49.000 --> 00:01:53.000]  但它的意義是很大的
[00:01:53.000 --> 00:01:57.000]  他說我必不自缺乏
[00:01:57.000 --> 00:02:00.000]  留意那個必字
[00:02:00.000 --> 00:02:04.000]  不是說我可能不缺乏
[00:02:04.000 --> 00:02:08.000]  不是說我或者不缺乏
[00:02:08.000 --> 00:02:10.000]  而大衛很清楚很肯定的
[00:02:10.000 --> 00:02:13.000]  他必然一定不會缺乏
[00:02:13.000 --> 00:02:15.000]  大衛很肯定的說
[00:02:15.000 --> 00:02:17.000]  我必然不會缺乏的
[00:02:17.000 --> 00:02:21.000]  如果我們看原文
[00:02:21.000 --> 00:02:25.000]  或者看最初的英文的英皇音定版
[00:02:25.000 --> 00:02:29.000]  或者是英語的英版
[00:02:29.000 --> 00:02:31.000]  英皇的英版
[00:02:31.000 --> 00:02:33.000]  是最早期的英文譯本
[00:02:33.000 --> 00:02:37.000]  就是早期的英文的譯本
[00:02:37.000 --> 00:02:38.000]  他說The Lord is my shepherd
[00:02:38.000 --> 00:02:40.000]  I shall not want
[00:02:40.000 --> 00:02:45.000]  他說The Lord is my shepherd
[00:02:45.000 --> 00:02:48.000]  神就是我的拯救
[00:02:48.000 --> 00:02:56.000]  我並不會覺得缺乏
[00:02:56.000 --> 00:02:58.000]  其實我以為修太是翻譯的
[00:02:58.000 --> 00:03:00.000]  照英文講就行了
[00:03:00.000 --> 00:03:02.000]  為什麼要說I shall not want呢
[00:03:02.000 --> 00:03:05.000]  為什麼他說我必不然呢
[00:03:05.000 --> 00:03:06.000]  讀英文的人都知道
