
[00:00:00.000 --> 00:00:02.800]  人世當中我們有時候會有憂愁
[00:00:02.800 --> 00:00:04.800]  有苦難 有疾病
[00:00:04.800 --> 00:00:06.800]  亦都有困難
[00:00:06.800 --> 00:00:14.300]  但是它不代表我們永遠都在這些低谷當中
[00:00:14.300 --> 00:00:16.800]  更加的耶穌應許我們
[00:00:16.800 --> 00:00:18.300]  祂是我們隨時的幫助
[00:00:18.300 --> 00:00:19.300]  是我們的力量
[00:00:19.300 --> 00:00:20.800]  有一節的經文
[00:00:20.800 --> 00:00:23.800]  就是在《尼西米基里八章》
[00:00:23.800 --> 00:00:24.800]  第十節的下半節
[00:00:24.800 --> 00:00:26.800]  這節經文是很寶貴的
[00:00:26.800 --> 00:00:28.300]  我們一齊來讀一讀
[00:00:28.300 --> 00:00:31.300]  請大家同聲在銀幕當中一起讀出
[00:00:31.300 --> 00:00:32.300]  請讀
[00:00:32.300 --> 00:00:34.300]  你們不要憂愁
[00:00:34.300 --> 00:00:40.300]  因靠耶和華而得的喜樂是你們的力量
[00:00:40.300 --> 00:00:41.300]  再讀一次
[00:00:41.300 --> 00:00:43.300]  你們不要憂愁
[00:00:43.300 --> 00:00:49.300]  因靠耶和華而得的喜樂是你們的力量
[00:00:49.300 --> 00:00:53.300]  在英文的翻譯
[00:00:53.300 --> 00:01:01.300]  「The joy of the Lord is your strength」
[00:01:01.300 --> 00:01:03.300]  所以這裏有三個重要的字
[00:01:03.300 --> 00:01:04.300]  第一個就是喜樂
[00:01:04.300 --> 00:01:06.300]  第二個就是主裏面的喜樂
[00:01:06.300 --> 00:01:08.300]  或者是神給我們的喜樂
[00:01:08.300 --> 00:01:10.300]  屬於神的喜樂
[00:01:10.300 --> 00:01:11.300]  第三個字就是strength
[00:01:11.300 --> 00:01:12.300]  就是我們的力量
[00:01:12.300 --> 00:01:14.300]  所以在這裏告訴你
[00:01:14.300 --> 00:01:19.300]  我們能夠靠著神給我們的喜樂
[00:01:19.300 --> 00:01:22.300]  成為我們人生的甚麼人
[00:01:22.300 --> 00:01:26.300]  成為我們人生的甚麼
[00:01:26.300 --> 00:01:30.300]  這節經文是尼希米的
[00:01:30.300 --> 00:01:35.300]  尼希米的背景就是當時他們是秘魯的一班認識的人
[00:01:35.300 --> 00:01:40.300]  他們自己的國家是亡國
[00:01:40.300 --> 00:01:44.300]  秘魯是一個損失的當中
[00:01:44.300 --> 00:01:47.300]  是一個仇苦的當中
[00:01:47.300 --> 00:01:49.300]  但是神給他們恩典
[00:01:49.300 --> 00:01:52.300]  藉著尼希米回到耶路撒冷
[00:01:52.300 --> 00:01:55.300]  重建聖城的城牆
[00:01:55.300 --> 00:01:59.300]  在城牆上他們面對攻擊困難
[00:01:59.300 --> 00:02:02.300]  但是靠著神給他們的力量和恩典
[00:02:02.300 --> 00:02:05.300]  他們能夠成功的建成
[00:02:05.300 --> 00:02:09.300]  所以眾民和領袖都非常高興
[00:02:09.300 --> 00:02:12.300]  更重要的是當他們聚集在一起的時候
[00:02:12.300 --> 00:02:15.300]  在尼希米記有一段重要的記載
[00:02:15.300 --> 00:02:18.300]  就是說他們朝聚所有的會眾
[00:02:18.300 --> 00:02:24.300]  然後讓文士以斯拉來講解宣讀上帝的律法
[00:02:24.300 --> 00:02:27.300]  所以當時他們大為擇心
[00:02:27.300 --> 00:02:31.300]  因著神的話語他們非常的擇心
[00:02:31.300 --> 00:02:34.300]  然後所有的領袖們勉勵會眾
[00:02:34.300 --> 00:02:36.300]  他們說你們不要憂愁
[00:02:36.300 --> 00:02:40.300]  因為我們可以靠著耀華而得的力量
[00:02:40.300 --> 00:02:43.300]  而得的喜樂成為我們的力量
[00:02:43.300 --> 00:02:47.300]  所以當時就鼓勵這些會眾
[00:02:47.300 --> 00:02:55.300]  他們能夠繼續將這種為侍奉神和重建城牆的這種喜樂
[00:02:55.300 --> 00:02:57.300]  因為神的話語的激勵
[00:02:57.300 --> 00:03:00.300]  他們來除去憂愁
[00:03:00.300 --> 00:03:03.300]  面對前面更加得力的人生
[00:03:03.300 --> 00:03:08.300]  因為他們能夠將這個喜樂來維持在他們的中間
[00:03:08.300 --> 00:03:10.300]  這個是從神而來的喜樂
[00:03:10.300 --> 00:03:11.300]  所以感謝神
[00:03:11.300 --> 00:03:13.300]  今天我們作為神的子民
[00:03:13.300 --> 00:03:14.300]  耶穌基督已經得聖了
[00:03:14.300 --> 00:03:18.300]  祂已經是榮耀勝過死亡的主
[00:03:18.300 --> 00:03:23.300]  所以因著在基督裡面賜給我們這種得聖的喜樂
[00:03:23.300 --> 00:03:27.300]  我們要靠著神來維持它
[00:03:27.300 --> 00:03:30.300]  來成為我們奔跑人生的力量
[00:03:30.300 --> 00:03:32.300]  成為我們跟隨主道路的
[00:03:32.300 --> 00:03:36.300]  雖然人生仍然有挑戰有困難
[00:03:36.300 --> 00:03:40.300]  有憂愁有哀傷有死亡有眼淚
[00:03:40.300 --> 00:03:45.300]  但是我們可以靠著神基督得聖的喜樂
[00:03:45.300 --> 00:03:49.300]  在我們的心中來奔跑我們前面的道路
[00:03:49.300 --> 00:03:52.300]  所以教徒的喜樂是神賜給我們一種福分
[00:03:52.300 --> 00:03:54.300]  也是神的心意
[00:03:54.300 --> 00:04:01.300]  所以在聖經裡面有很多很多地方提到這種在主裡面的喜樂
[00:04:01.300 --> 00:04:02.300]  你估計一下
[00:04:02.300 --> 00:04:05.300]  整本聖經有不止十次
[00:04:05.300 --> 00:04:06.300]  不止八次
[00:04:06.300 --> 00:04:08.300]  不止一百兩百
[00:04:08.300 --> 00:04:13.300]  總共有超過五百處的經文
[00:04:13.300 --> 00:04:25.300]  提到喜樂、歡樂、歡呼、快樂、歡笑、喜笑等等字眼
[00:04:25.300 --> 00:04:29.300]  所以加起來總共有五百多次
[00:04:29.300 --> 00:04:36.300]  相比起聖經裡面也記載有憂愁、哀傷、困苦、眼淚
[00:04:36.300 --> 00:04:39.300]  這些字眼
[00:04:39.300 --> 00:04:42.300]  你估計一下有哪些比較多呢?
[00:04:42.300 --> 00:04:44.300]  究竟是喜樂、歡呼、歡笑比較多
[00:04:44.300 --> 00:04:47.300]  還是憂愁、哀傷、眼淚
[00:04:47.300 --> 00:04:48.300]  這些比較多呢?
[00:04:48.300 --> 00:04:52.300]  哪些比較多?
[00:04:52.300 --> 00:04:57.300]  聖經沒有取消了或者忽視了
[00:04:57.300 --> 00:04:58.300]  或者逃避了
[00:04:58.300 --> 00:05:04.300]  人生是會有憂傷、有憂愁、有眼淚
[00:05:04.300 --> 00:05:08.300]  所以聖經裡面有158次之多提到這些字眼
[00:05:08.300 --> 00:05:10.300]  這個大概數字
[00:05:10.300 --> 00:05:18.300]  但是比起喜樂、歡呼、歡樂、歡笑等等
[00:05:18.300 --> 00:05:20.300]  相比只有三分之一
[00:05:20.300 --> 00:05:22.300]  可以說是三對一
[00:05:22.300 --> 00:05:29.300]  所以我們看到這個訊息已經值得我們感恩
[00:05:29.300 --> 00:05:32.300]  值得我們去銘記於心
[00:05:32.300 --> 00:05:35.300]  就是原來在上帝的話語和神的心意當中
