
[00:00:00.000 --> 00:00:02.300]  其實思考和大家分享
[00:00:02.300 --> 00:00:04.060]  我都很努力上網搜尋
[00:00:04.060 --> 00:00:07.100]  有沒有其他教會講過「即稱主日」
[00:00:07.100 --> 00:00:09.200]  人家用什麼經文
[00:00:09.200 --> 00:00:12.980]  人家大約的範圍是關於什麼
[00:00:12.980 --> 00:00:14.980]  讓我搜尋搜尋
[00:00:14.980 --> 00:00:17.720]  讓我開心大發現
[00:00:17.720 --> 00:00:19.720]  認識了一樣我不認識的東西
[00:00:19.720 --> 00:00:22.740]  但發現它是一個挺好的
[00:00:22.740 --> 00:00:25.600]  挺有啟發性的一個類比
[00:00:25.600 --> 00:00:27.300]  讓我們去思考
[00:00:27.300 --> 00:00:32.360]  特別是我們職場人生的那種沉索是什麼
[00:00:32.360 --> 00:00:35.620]  這就叫做Light Painting
[00:00:35.620 --> 00:00:37.380]  我不知道在座有沒有
[00:00:37.380 --> 00:00:38.440]  弟兄姊妹都是
[00:00:38.440 --> 00:00:39.800]  我也是今晚第一次聽
[00:00:39.800 --> 00:00:41.020]  Janice傳到不知道是什麼來的
[00:00:41.020 --> 00:00:42.360]  我舉一舉手
[00:00:42.360 --> 00:00:44.840]  如果你是第一次認識什麼叫Light Painting
[00:00:44.840 --> 00:00:47.240]  都有不少人不是第一次
[00:00:47.240 --> 00:00:49.620]  我希望我不是在大家面前
[00:00:49.620 --> 00:00:50.920]  班門弄斧
[00:00:50.920 --> 00:00:52.920]  我們下去看一看
[00:00:52.920 --> 00:00:59.900]  下一張我特別做的簡單版的圖片
[00:00:59.900 --> 00:01:01.880]  Light Painting
[00:01:01.880 --> 00:01:05.640]  其實中文翻譯叫做「光畫」
[00:01:05.640 --> 00:01:10.480]  現在就見到一個比較複雜
[00:01:10.480 --> 00:01:11.520]  一個簡單的圖畫
[00:01:11.520 --> 00:01:13.520]  稍後你會見到一些複雜的東西
[00:01:13.520 --> 00:01:14.600]  它是怎麼做的呢
[00:01:14.600 --> 00:01:16.840]  我都特意上網搜尋YouTube
[00:01:16.840 --> 00:01:17.560]  今時今日
[00:01:17.560 --> 00:01:20.000]  找YouTube很多東西你都會學到
[00:01:20.000 --> 00:01:23.120]  就發現其實要做Light Painting
[00:01:23.120 --> 00:01:25.800]  如果你不是構圖很複雜
[00:01:25.800 --> 00:01:27.600]  一個比較構圖簡單
[00:01:27.600 --> 00:01:29.080]  和技巧高
[00:01:29.080 --> 00:01:29.760]  即是技巧
[00:01:29.760 --> 00:01:32.080]  你本身也是一個技巧比較高的人
[00:01:32.080 --> 00:01:34.360]  其實一個人就已經可以製作
[00:01:34.360 --> 00:01:37.520]  哪怕是一幅都蠻複雜的Light Painting
