
[00:00:00.000 --> 00:00:04.340]  今天我的講道題目是「分真辨假」
[00:00:04.340 --> 00:00:07.780]  我們每個人的相貌都不一樣
[00:00:07.780 --> 00:00:13.100]  但此起上來有時真真假假都不容易分辨
[00:00:13.100 --> 00:00:20.540]  這與我們在信仰上所遭遇的差異有相似之處
[00:00:20.540 --> 00:00:25.240]  司徒保羅之所以寫《哥羅西書》
[00:00:25.240 --> 00:00:27.240]  其中一個很重要的原因是
[00:00:27.240 --> 00:00:33.160]  當時哥羅西教會正面對異端思想的衝擊
[00:00:33.160 --> 00:00:35.400]  這些傳講異端道理的人
[00:00:35.400 --> 00:00:42.680]  他們的講論有很濃厚猶太教的色彩
[00:00:42.680 --> 00:00:47.020]  同時亦夾雜了一些外邦宗教的色彩
[00:00:47.020 --> 00:00:48.520]  成為一個大混合
[00:00:48.520 --> 00:00:51.080]  令人難以分辨
[00:00:51.080 --> 00:00:54.520]  為了防止這種異端道理
[00:00:54.520 --> 00:00:57.180]  混亂真道 迷惑人心
[00:00:57.180 --> 00:01:02.940]  所以保羅寫《哥羅西書》以正視聽
[00:01:02.940 --> 00:01:06.080]  昔日哥羅西教會所面對的異端
[00:01:06.080 --> 00:01:08.920]  其實我們今天都很難去稽考
[00:01:08.920 --> 00:01:14.100]  不過從這本書中我們可以找到一些端倪
[00:01:14.100 --> 00:01:17.200]  知道這些異端和特點
[00:01:17.200 --> 00:01:22.640]  而這些特點與我們今天在信仰上所面對的衝擊
[00:01:22.640 --> 00:01:25.440]  其實都有相似的地方
[00:01:25.440 --> 00:01:27.040]  第一個相似的地方
[00:01:27.040 --> 00:01:29.120]  第一個特點就是
[00:01:29.120 --> 00:01:32.320]  這些異端都是出於仁義
[00:01:32.320 --> 00:01:34.320]  不是利至臣
[00:01:34.320 --> 00:01:40.720]  保羅如何形容哥羅西教會所面對的異端呢?
[00:01:40.720 --> 00:01:45.400]  他在剛才那段經文第八節有提及
[00:01:45.400 --> 00:01:48.360]  不過我發覺在這節經文中
[00:01:48.360 --> 00:01:52.040]  有另外一個譯本譯得比和合本更好
[00:01:52.040 --> 00:01:54.960]  這個譯本是《聖經新譯本》
[00:01:54.960 --> 00:01:56.760]  我們一起來讀
[00:01:56.760 --> 00:01:58.680]  「你們要謹慎
[00:01:58.680 --> 00:02:01.800]  免得有人不照著基督
[00:02:01.800 --> 00:02:06.480]  而照著人的傳統和世俗的言論
[00:02:06.480 --> 00:02:11.960]  藉著哲學和騙人的空談把你們擄去」
[00:02:11.960 --> 00:02:16.120]  在這裡保羅形容這些異端是哲學
[00:02:16.120 --> 00:02:18.120]  是騙人的空談
[00:02:18.120 --> 00:02:23.360]  騙人的空談在和合本譯作虛空的妄言
[00:02:23.360 --> 00:02:27.840]  意思是指一些虛無飄渺的虛妄言論
[00:02:27.840 --> 00:02:31.400]  而哲學又是什麼呢?
[00:02:31.400 --> 00:02:32.640]  大家知不知道哲學是什麼?
[00:02:32.640 --> 00:02:34.720]  其實我們每個人都有自己的哲學
[00:02:34.720 --> 00:02:35.800]  我們經常說哲學
[00:02:35.800 --> 00:02:38.080]  到底哲學是什麼呢?
[00:02:38.080 --> 00:02:42.400]  我們在網上看看這個字
[00:02:42.400 --> 00:02:48.800]  哲學原來在希臘文原文是philosophia
[00:02:48.800 --> 00:02:53.560]  而英文philosophy其實也是這個字
[00:02:53.560 --> 00:02:55.280]  中文是哲學
[00:02:55.280 --> 00:02:57.560]  哲學到底是什麼呢?
[00:02:57.560 --> 00:03:01.360]  我在網上維基百科找到這個定義
[00:03:01.360 --> 00:03:05.520]  哲學是對普遍而基本問題的研究
[00:03:05.520 --> 00:03:07.280]  在日常用語裡
[00:03:07.280 --> 00:03:17.240]  哲學這個字可以引申為個人或團體最基本的信仰概念和態度
[00:03:17.240 --> 00:03:19.960]  剛才我說我們每個人都有自己的哲學
[00:03:19.960 --> 00:03:21.640]  不單止我們人有自己的哲學
[00:03:21.640 --> 00:03:24.360]  其實每個學科都有他們的哲學
[00:03:24.360 --> 00:03:26.800]  教育有教學哲學
[00:03:26.800 --> 00:03:30.240]  藝術也有藝術的哲學
[00:03:30.240 --> 00:03:33.200]  哲學其實是問三個問題
[00:03:33.200 --> 00:03:36.600]  英文是what why和how
[00:03:36.600 --> 00:03:38.520]  人是怎麼來的呢?
[00:03:38.520 --> 00:03:39.800]  人是什麼呢?
[00:03:39.800 --> 00:03:42.240]  為什麼人要存在這個世上呢?
[00:03:42.240 --> 00:03:44.520]  人可以怎樣活得更好呢?
[00:03:44.520 --> 00:03:48.920]  這些就是哲學家所問的問題
[00:03:48.920 --> 00:03:54.800]  而這些哲學其實保羅不是否定所有人間的哲學
[00:03:54.800 --> 00:03:57.160]  他否定的是什麼呢?
[00:03:57.160 --> 00:03:59.200]  他所關注的是什麼呢?
[00:03:59.200 --> 00:04:01.560]  他所關心的就是這些哲學
[00:04:01.560 --> 00:04:05.480]  或者那些虛妄的言論
[00:04:05.480 --> 00:04:09.120]  他們是來自人的傳統和世俗的言論
[00:04:09.120 --> 00:04:10.520]  而不是來自神的
[00:04:10.520 --> 00:04:11.640]  換句話說
[00:04:11.640 --> 00:04:14.320]  當這些人的說話
[00:04:14.320 --> 00:04:15.720]  這些言論
[00:04:15.720 --> 00:04:20.280]  和我們的信仰和聖經的說話有違背的時候
[00:04:20.280 --> 00:04:22.360]  我們就要小心謹慎
[00:04:22.360 --> 00:04:27.760]  我們不要受它迷惑
[00:04:27.760 --> 00:04:32.160]  其實哥羅西是一個很特別的城市
[00:04:32.160 --> 00:04:35.640]  在這個城市中間有一條河
[00:04:35.640 --> 00:04:37.880]  這條河叫利加斯
[00:04:37.880 --> 00:04:41.360]  這條河將這個城市一分為二
[00:04:41.360 --> 00:04:45.400]  而這條河的河水裡也有豐富的礦物質
[00:04:45.400 --> 00:04:50.480]  這些礦物質影響到農作物的收成
[00:04:50.480 --> 00:04:55.840]  而這個地方也經常有地震和火山爆發
[00:04:55.840 --> 00:04:58.840]  所以那裡是有一定的危險的
[00:04:58.840 --> 00:05:05.040]  不過在這個城市裡面沒有被河水覆蓋的土地
[00:05:05.040 --> 00:05:07.200]  是非常肥沃的
[00:05:07.200 --> 00:05:12.880]  所以也造就了他們的畜牧業有很好的發展
[00:05:12.880 --> 00:05:19.000]  同時因為這裡一帶有很多火山和地震的緣故
[00:05:19.000 --> 00:05:22.160]  這裡也有很多的溫泉
[00:05:22.160 --> 00:05:25.840]  而這些溫泉的泉水也有治病的功能
[00:05:25.840 --> 00:05:30.280]  所以各地也有很多人來到哥羅西這個地方
[00:05:30.280 --> 00:05:35.040]  基於哥羅西這個地方有這麼特別的地理背景
[00:05:35.040 --> 00:05:38.280]  所以也特別多迷信的思想
[00:05:38.280 --> 00:05:41.840]  而哥羅西教會當時自身其中
[00:05:41.840 --> 00:05:49.400]  就是面對著這麼多混雜的思想來衝擊著
[00:05:49.400 --> 00:05:52.720]  香港其實也是一個先進的國際都市
[00:05:52.720 --> 00:05:57.840]  我們每一天都面對著日新月異的信仰和思想的衝擊
[00:05:57.840 --> 00:06:00.960]  舉例今年的七月
[00:06:00.960 --> 00:06:08.480]  評姬會推出了《歧視條例檢討公眾諮詢文件》
[00:06:08.480 --> 00:06:14.520]  在這個文件裡面他們提出了一個事實婚姻的制度
[00:06:14.520 --> 00:06:20.040]  這個制度其實是建議將同居關係
[00:06:20.040 --> 00:06:25.640]  這個同居關係是包括同性戀的同居和異性的同居
[00:06:25.640 --> 00:06:28.920]  他們提倡這個同居關係
[00:06:28.920 --> 00:06:31.600]  也能夠跟婚姻關係
[00:06:31.600 --> 00:06:36.000]  就是註冊的婚姻關係有同等的權利
[00:06:36.000 --> 00:06:39.680]  享受同等的福利和認可
[00:06:39.680 --> 00:06:41.760]  換句話說
[00:06:41.760 --> 00:06:47.600]  現在一男一女在婚姻註冊處註冊
[00:06:47.600 --> 00:06:50.040]  成為正式的夫婦
[00:06:50.040 --> 00:06:52.640]  他們就可以申請公屋
[00:06:52.640 --> 00:06:55.920]  可以領養小孩
[00:06:55.920 --> 00:07:00.800]  但是如果這個事實婚姻制度一經通過的時候
[00:07:00.800 --> 00:07:04.800]  就是說只要你證明你們兩個人是同居的
[00:07:04.800 --> 00:07:06.400]  同居一段時間
[00:07:06.400 --> 00:07:08.560]  你們的關係就被認可
[00:07:08.560 --> 00:07:14.560]  你就可以享有剛才我所說的權利
[00:07:14.560 --> 00:07:17.760]  贊成這個建議的人就認為
[00:07:17.760 --> 00:07:22.640]  婚姻所謂註冊不過是一紙婚書
[00:07:22.640 --> 00:07:27.200]  對於兩個人的關係其實是沒有實際重要的作用
[00:07:27.200 --> 00:07:29.320]  兩個人在一起
[00:07:29.320 --> 00:07:30.400]  真心相愛
[00:07:30.400 --> 00:07:32.880]  這個才是最重要
[00:07:32.880 --> 00:07:36.880]  所以同居的人不應該受到歧視
[00:07:36.880 --> 00:07:40.320]  應該享有一般人的權利
[00:07:40.320 --> 00:07:45.920]  而同居 無論同居還是同性戀
[00:07:45.920 --> 00:07:47.760]  這些其實都是兩個人的事
[00:07:47.760 --> 00:07:49.800]  他們兩個人情投意合
[00:07:49.800 --> 00:07:51.720]  跟其他人沒有關係
[00:07:51.720 --> 00:07:54.200]  也不應該受到歧視
[00:07:54.200 --> 00:07:59.240]  況且同居和同性戀
[00:07:59.240 --> 00:08:02.920]  其實在很多先進國家已經被認同
[00:08:02.920 --> 00:08:04.880]  這是大勢所趨
[00:08:04.880 --> 00:08:06.560]  香港也是一個大都市
[00:08:06.560 --> 00:08:07.880]  不應該落伍的
[00:08:07.880 --> 00:08:10.120]  應該去效法
[00:08:10.120 --> 00:08:13.040]  這些就是這些支持者的言論
[00:08:13.040 --> 00:08:15.240]  面對這些言論
[00:08:15.240 --> 00:08:18.120]  你的立場又是怎樣呢?
[00:08:18.120 --> 00:08:20.840]  你贊成還是不贊成呢?
[00:08:20.840 --> 00:08:25.160]  而你的立場背後又是基於什麼原則呢?
[00:08:25.160 --> 00:08:27.480]  剛才我所說的是
[00:08:27.480 --> 00:08:34.240]  保羅的意思絕對不是反對人間一切的思想哲學
[00:08:34.240 --> 00:08:37.480]  他是要我們小心去分辨
[00:08:37.480 --> 00:08:41.800]  到底這些哲學或者信念思想
[00:08:41.800 --> 00:08:46.360]  到底跟我們的《聖經》有沒有相違背呢?
[00:08:46.360 --> 00:08:47.360]  換句話說
[00:08:47.360 --> 00:08:50.000]  我們去分辨我們的立場的時候
[00:08:50.000 --> 00:08:51.920]  我們就要了解
[00:08:51.920 --> 00:08:55.800]  到底這些思想合不合乎《聖經》
[00:08:55.800 --> 00:08:57.640]  然後我們去作出決定
[00:08:57.640 --> 00:09:00.000]  在這個諮詢文件裏面
[00:09:00.000 --> 00:09:02.880]  他所提出的人人都要平等
[00:09:02.880 --> 00:09:04.560]  不受歧視
[00:09:04.560 --> 00:09:08.320]  這些其實是跟我們的《聖經》很吻合的
[00:09:08.320 --> 00:09:09.640]  我們生而為人
[00:09:09.640 --> 00:09:11.920]  我們每個人都是上帝所創造的
[00:09:11.920 --> 00:09:13.360]  有尊貴的身份
[00:09:13.360 --> 00:09:14.360]  我們是平等
[00:09:14.360 --> 00:09:17.720]  也不應該是歧視
[00:09:17.720 --> 00:09:19.640]  這個觀念是正確的
[00:09:19.640 --> 00:09:20.960]  我們可以去支持
[00:09:20.960 --> 00:09:22.400]  不過呢
[00:09:22.400 --> 00:09:24.560]  如果我們接納同居
[00:09:24.560 --> 00:09:26.720]  以及同性戀的話
[00:09:26.720 --> 00:09:31.640]  無形中就是破壞了上帝所設立的
[00:09:31.640 --> 00:09:34.880]  一男一女一夫一妻的婚姻制度
[00:09:34.880 --> 00:09:37.200]  這個是神不喜悅
